year,son_DET or_NOUN,son_DET fort_ADJ
1800,1.25452167765161e-06,5.942470906461494e-07
1801,1.0381955606320048e-06,4.0956339342201886e-07
1802,9.95838888684375e-07,5.326059522303694e-07
1803,1.0044246694373982e-06,5.207405457952063e-07
1804,1.2977217114240602e-06,3.0156582075946403e-07
1805,9.950072372699736e-07,2.956592766167887e-07
1806,7.578790048867745e-07,3.774986634397237e-07
1807,9.394952158459091e-07,3.074711401040986e-07
1808,1.0741191260876803e-06,4.056272522312554e-07
1809,9.82678247218871e-07,3.0271007744886447e-07
1810,9.407309633502337e-07,3.416585028226393e-07
1811,1.0178731670862362e-06,3.309341316537484e-07
1812,6.107906798114016e-07,2.85391281718006e-07
1813,8.655982277616658e-07,3.134558519413133e-07
1814,9.471498465529749e-07,2.6117419338334e-07
1815,1.1220449911419905e-06,1.726223075593225e-07
1816,1.0614625640670283e-06,3.360525759887878e-07
1817,9.761595762824982e-07,2.6778221884349307e-07
1818,8.750144031566265e-07,4.208175488074062e-07
1819,1.1613878356797613e-06,3.3123360942965974e-07
1820,1.301752971194503e-06,4.4261975862269765e-07
1821,8.924646834884697e-07,6.350798571475025e-07
1822,8.431543250253526e-07,5.624370800205725e-07
1823,9.872803836685762e-07,5.198293377972618e-07
1824,1.142745000848322e-06,5.086352317107412e-07
1825,1.0997997854644836e-06,4.790161085566069e-07
1826,1.026130223347188e-06,5.091014685376649e-07
1827,6.885303113213226e-07,4.3044665209990285e-07
1828,7.989074619629832e-07,5.650137495649687e-07
1829,9.207591245008473e-07,2.7777089250946574e-07
1830,7.723258761416218e-07,3.047555994228901e-07
1831,6.89131281594868e-07,3.663933343389658e-07
1832,8.104451931778556e-07,3.3824922796021895e-07
1833,1.0911778209887757e-06,2.895907114108809e-07
1834,9.455880087827495e-07,2.9870500384276966e-07
1835,8.417716941266917e-07,5.498365069911415e-07
1836,8.078341666717392e-07,5.201860673320624e-07
1837,9.170500074873189e-07,4.453050088670807e-07
1838,9.076888827230789e-07,4.6709999246274947e-07
1839,7.858418245021426e-07,3.495737477265948e-07
1840,8.917564064958583e-07,2.9555354608135076e-07
1841,8.539329705570253e-07,3.113965938439378e-07
1842,1.0042272644561479e-06,3.521839029296814e-07
1843,9.297478165137818e-07,3.7863299695573005e-07
1844,9.270180119091975e-07,3.2931368165733943e-07
1845,8.05226888278554e-07,2.8403361618245526e-07
1846,8.418772874385638e-07,3.5068462045373394e-07
1847,8.612977966393487e-07,2.9015542146737516e-07
1848,8.302668921267298e-07,3.5398974240763437e-07
1849,8.320759299351721e-07,2.3043390728894053e-07
1850,8.106061244461671e-07,2.3965156437100177e-07
1851,8.010203007557948e-07,2.6184721790833976e-07
1852,7.747549211067906e-07,2.858129342087068e-07
1853,8.181546871099954e-07,3.326366009304138e-07
1854,6.785537687292731e-07,3.56942139401184e-07
1855,8.761753029773445e-07,2.9878057006271774e-07
1856,6.947788167011026e-07,2.3193807052734883e-07
1857,8.630508023799166e-07,4.3006096372977254e-07
1858,8.015841483910435e-07,3.1515273768434326e-07
1859,9.57837786197402e-07,3.2386222326152847e-07
1860,9.07655541837471e-07,2.62272641382566e-07
1861,8.328392091527803e-07,3.5747005444619617e-07
1862,8.588691873256948e-07,3.2665040849977345e-07
1863,8.161210391932627e-07,3.2914552061669156e-07
1864,7.091402398629043e-07,3.135752191241181e-07
1865,8.458199216576645e-07,3.0594487920865276e-07
1866,8.037992778042735e-07,3.5664943176527686e-07
1867,8.201251535666643e-07,3.2756476286976977e-07
1868,6.871364561789051e-07,3.917320055002449e-07
1869,7.676892104235833e-07,2.9935971390671057e-07
1870,7.012741516376764e-07,3.566578428149114e-07
1871,6.691341827291808e-07,3.451882533145323e-07
1872,6.839540471759165e-07,2.969243464434612e-07
1873,5.596914229855088e-07,3.202512472988417e-07
1874,6.10007602652729e-07,2.993279308860508e-07
1875,6.60264239726871e-07,3.558789911650706e-07
1876,6.511557675281665e-07,3.391814207276411e-07
1877,6.957918161631937e-07,2.8512001337688275e-07
1878,5.284202395650084e-07,3.2611079259226017e-07
1879,6.763023017164471e-07,4.276527740820768e-07
1880,6.052028771463824e-07,2.624899018144333e-07
1881,6.066081423838909e-07,2.775058089987681e-07
1882,6.442412558982369e-07,3.7469819336166665e-07
1883,5.207135540530317e-07,3.292375634345035e-07
1884,6.03395125864381e-07,3.3008485011976063e-07
1885,5.240301841347161e-07,2.320428871271929e-07
1886,6.434103374530764e-07,3.2525456994392243e-07
1887,4.642065440929599e-07,2.735619482052698e-07
1888,5.788981156662487e-07,3.2400540384003307e-07
1889,4.836685678633046e-07,3.1263033140049856e-07
1890,4.771593222763215e-07,2.2874808891515386e-07
1891,5.341596658325898e-07,2.645301200310257e-07
1892,5.353309795452788e-07,2.3444235930369928e-07
1893,5.129961102579017e-07,2.74665382438144e-07
1894,4.801772890417055e-07,2.3441726071382618e-07
1895,6.157042493626363e-07,2.913009460314697e-07
1896,4.876842885082056e-07,2.659560207618483e-07
1897,4.876959378563583e-07,2.161710734860378e-07
1898,4.6002423870206144e-07,2.2350502426604635e-07
1899,5.162758043297799e-07,2.498465452305254e-07
1900,5.684203263633947e-07,2.5332338804417986e-07
1901,4.4989349268220735e-07,2.4087464867150743e-07
1902,4.104997359810625e-07,1.9493827152494703e-07
1903,3.866557785059399e-07,1.792873129957684e-07
1904,3.568751072435816e-07,1.9832367481598112e-07
1905,4.2576262693216904e-07,2.399753014081796e-07
1906,4.0381847998816056e-07,1.8776273069676108e-07
1907,3.908560906040748e-07,2.0314231541362915e-07
1908,4.543034899384679e-07,1.866327821176128e-07
1909,4.2357574336904236e-07,2.513949590721154e-07
1910,4.6440669576597315e-07,1.9185500477192363e-07
1911,4.080726885291597e-07,2.4686536193030406e-07
1912,4.3550760508992425e-07,1.9743706936026229e-07
1913,4.5923891800470074e-07,2.137104853638938e-07
1914,5.156492521862788e-07,2.926477069564726e-07
1915,7.056676145644758e-07,2.356152353222285e-07
1916,8.735032057671788e-07,2.615016079232646e-07
1917,7.204940737359777e-07,2.6758074245236685e-07
1918,6.133725038992566e-07,3.078348944640652e-07
1919,5.312928510470272e-07,3.7383864381901333e-07
1920,6.125935283485262e-07,2.3625363487767004e-07
1921,4.369475385956889e-07,2.2415331990544018e-07
1922,5.179310766934009e-07,2.6781905315687027e-07
1923,5.509677052373263e-07,3.0149293195336213e-07
1924,5.053516742847819e-07,2.565433225854008e-07
1925,5.279125154800113e-07,2.9035189186288335e-07
1926,5.305561736612674e-07,2.9760189690364314e-07
1927,4.86106193520186e-07,2.9545447066681163e-07
1928,4.821789429954038e-07,2.113817614279867e-07
1929,3.7654574125411955e-07,3.1972964897875045e-07
1930,4.190937912262882e-07,3.203599012735481e-07
