year,en_ADP oies_NOUN,en_ADP foies_NOUN
1800,9.432493897065797e-09,3.144164484325529e-09
1801,0.0,0.0
1802,6.713520406265161e-09,0.0
1803,1.950339267864365e-08,0.0
1804,1.9774807569206132e-08,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,1.9928686256776018e-08,0.0
1808,2.039466551195801e-08,1.1330369531492579e-08
1809,2.4849335034105025e-08,2.259030518203531e-09
1810,2.106114038724627e-08,0.0
1811,2.5070768572277302e-08,0.0
1812,5.3344164641089264e-09,0.0
1813,1.1502966579257645e-08,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,0.0
1816,4.6352077731626196e-09,0.0
1817,0.0,0.0
1818,2.384235475716423e-09,0.0
1819,1.035105001712111e-09,0.0
1820,1.3053129244156025e-08,0.0
1821,1.1833785507064931e-08,0.0
1822,3.0076847679083585e-09,0.0
1823,2.668325471688604e-08,0.0
1824,0.0,0.0
1825,3.522177216552791e-09,0.0
1826,0.0,0.0
1827,1.8434546111834038e-09,0.0
1828,4.586150570418113e-09,0.0
1829,5.143905745796928e-09,0.0
1830,8.349468672008697e-09,0.0
1831,3.1182412207897414e-09,0.0
1832,0.0,0.0
1833,2.548398292390175e-08,0.0
1834,2.42697808516823e-08,0.0
1835,5.294161553592858e-09,0.0
1836,6.720750067579218e-10,0.0
1837,0.0,4.174734336004349e-09
1838,1.8936485712828244e-09,1.2624323808552163e-09
1839,1.2584655095793096e-08,6.9914751765765e-10
1840,1.4650283985950807e-08,6.369688665408546e-10
1841,5.778493683550323e-09,0.0
1842,1.341653010911159e-08,0.0
1843,4.7255288571079745e-09,1.7720733769266417e-09
1844,9.330554162634286e-09,0.0
1845,3.9061593959388574e-09,0.0
1846,9.367202347121406e-09,0.0
1847,9.168480197274675e-09,5.393223645455691e-10
1848,1.287235473768078e-08,0.0
1849,1.1731180693530519e-08,0.0
1850,6.1100964288129944e-09,6.788996032014438e-10
1851,6.449438760824933e-10,6.449438760824933e-10
1852,5.208436348880241e-09,1.3021090872200602e-09
1853,2.9859659189668264e-09,0.0
1854,5.195664343204953e-09,0.0
1855,4.776243400783642e-09,0.0
1856,3.106313539724681e-09,0.0
1857,9.763018171682347e-10,3.4170564155999728e-09
1858,1.468102750479261e-09,0.0
1859,3.5645213447565993e-09,0.0
1860,5.95033897154984e-09,4.577183909670879e-10
1861,8.017138342086838e-09,0.0
1862,9.035972525772706e-10,1.3553959066214816e-09
1863,4.9946209945694875e-09,0.0
1864,9.589455896019672e-10,9.589455896019672e-10
1865,3.2947911621228343e-09,0.0
