year,prochain_ADJ enfant_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,7.795603274018958e-09
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,6.048674894287842e-09
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,2.5682194149112547e-09
1842,2.0124795163667386e-09
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,8.045221711050488e-10
1849,0.0
1850,6.788996032014438e-10
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,5.177189232874468e-10
1857,0.0
1858,0.0
1859,5.092173349652285e-09
1860,9.154367819341758e-10
1861,0.0
1862,0.0
1863,4.994620828036034e-10
1864,4.794727948009836e-10
1865,0.0
1866,4.865612912574591e-10
1867,2.91168689159349e-09
1868,2.9639244392143382e-09
1869,3.906815315701806e-09
1870,0.0
1871,0.0
1872,0.0
1873,4.788803575905831e-09
1874,0.0
1875,2.2886108563824337e-09
1876,3.02300739996042e-09
1877,2.4739263970730008e-09
1878,6.039088673581716e-10
1879,1.221865053580018e-09
1880,3.8507077526617195e-09
1881,2.7890030285249168e-09
1882,1.2645231528551903e-08
1883,0.0
1884,2.6406787867472303e-09
1885,0.0
1886,2.5813855497602844e-09
1887,1.3057849024278312e-08
1888,1.3315291091942072e-08
1889,2.5060546970934183e-09
1890,1.3108772956016423e-09
1891,2.5496880162734215e-09
1892,2.5074049503359674e-09
1893,4.926733243593162e-09
1894,1.449354058991048e-08
1895,7.824199066419624e-09
1896,4.717623180994224e-09
1897,5.2440420894583895e-09
1898,2.8291773368493978e-09
1899,4.4220627160029835e-09
1900,5.19105292084987e-09
1901,2.794369402536745e-09
1902,6.874397495693074e-09
1903,0.0
1904,4.837162670412454e-09
1905,1.0321518084666081e-09
1906,0.0
1907,3.0857059130084963e-09
1908,6.384805573134145e-09
1909,1.1001967115120692e-09
1910,1.6032452032632705e-09
1911,2.128149656499545e-09
1912,2.0837684910901544e-09
1913,5.833288518886093e-09
1914,5.357394972094198e-09
1915,3.534228465440492e-09
1916,3.2962386153911893e-09
1917,2.1932848870420685e-09
1918,5.743188147278033e-09
1919,0.0
1920,3.786115865267448e-09
1921,1.1359120755116692e-08
1922,5.164555005876537e-09
1923,2.1231896241147297e-09
1924,1.289162443462999e-09
1925,2.1996355847875293e-09
1926,0.0
1927,7.804457524684949e-09
1928,3.4278122562625413e-09
1929,0.0
1930,8.402882833991043e-09
1931,1.1405356659111021e-09
1932,1.0959536611565568e-09
1933,5.735331320977366e-09
1934,5.990790086229936e-09
1935,8.377798899061872e-09
1936,4.849885826274658e-09
1937,8.813782592653752e-09
1938,5.186085783037697e-09
1939,1.070583532936098e-08
1940,0.0
1941,8.854508237732261e-09
1942,1.517105907566929e-08
1943,0.0
1944,3.2131861615880553e-09
1945,4.357008087652048e-09
1946,4.1763312808029696e-09
1947,5.960435700558264e-09
1948,1.0871887834440486e-09
1949,4.908504269707237e-09
1950,5.317680518146517e-09
1951,6.396841278899501e-09
1952,8.435843135146115e-09
1953,0.0
1954,1.4658803948464083e-08
1955,8.447047505910632e-09
1956,0.0
1957,3.534015080575159e-09
1958,9.926692356998501e-09
1959,1.007597205671118e-08
1960,6.920833239831836e-09
1961,7.64297514166401e-09
1962,3.170978146727066e-09
1963,5.1728425987107585e-09
1964,1.2167936880302932e-08
1965,3.2832261354087677e-09
1966,3.3234448526542337e-09
1967,4.437302081328198e-09
1968,4.940557296606585e-09
1969,5.450109252791435e-09
1970,2.7592350626548523e-09
1971,3.5968783507200897e-09
1972,7.182205497002769e-09
1973,3.859242703185828e-09
1974,2.2502286700643026e-09
1975,9.709516746170266e-09
1976,9.712995741040231e-09
1977,1.645498848290572e-08
1978,1.7821774278559133e-08
1979,9.363157360553487e-09
1980,7.95921106799824e-09
1981,9.488323904349727e-09
1982,1.3035754697909852e-08
1983,1.515675762675528e-08
1984,2.4355836458767044e-08
1985,1.2632671797518924e-08
1986,1.558566253834215e-08
1987,6.721898593298192e-09
1988,1.9188972188999287e-08
1989,1.7013178421620978e-08
1990,7.628111475810329e-09
1991,1.0550637696837839e-08
1992,1.1570882918476855e-08
1993,9.970573700002205e-09
1994,1.5297286992677073e-08
1995,1.4098372247417501e-08
1996,2.028474987980644e-08
1997,9.110299181713799e-09
1998,6.198567881199324e-09
1999,8.683382013430219e-09
2000,8.394259509714175e-09
2001,1.0076787404500465e-08
2002,1.5334276071143904e-08
2003,9.58392298855415e-09
2004,1.3654853248112886e-08
2005,1.306087415997581e-08
2006,1.4000825387938676e-08
2007,1.0385647009059085e-08
2008,2.1287197782271505e-08
2009,1.2397300963584712e-08
2010,1.6060896612657416e-08
2011,2.141424282342541e-08
2012,2.0425515501187874e-08
2013,1.6455837581474952e-08
2014,1.9705550968751595e-08
2015,1.9284206231873213e-08
2016,1.677785377296459e-08
2017,1.5848351964109497e-08
2018,2.4265787601507327e-08
2019,2.0663000199760972e-08
