year,ton_DET or_NOUN,ton_DET fort_ADJ
1800,8.489243885634323e-08,6.288328968651058e-09
1801,5.000483582762172e-08,1.4287095950749062e-08
1802,8.727576528144709e-08,8.951360541686881e-09
1803,1.677291692203653e-07,3.120542824142092e-08
1804,1.038177401824214e-07,1.4831105232815389e-08
1805,1.5635827521620627e-07,1.7057265822018053e-08
1806,5.187004248341509e-08,1.4408345627714425e-08
1807,1.2526602510831708e-07,1.4234775136401367e-08
1808,4.5321478125970316e-08,2.039466551195801e-08
1809,5.1957703028904234e-08,1.129515236897305e-08
1810,2.574139346123161e-08,2.106114038724627e-08
1811,1.0279014617253779e-07,1.504245972228091e-08
1812,5.3344165529267684e-08,2.6672082320544632e-09
1813,8.339650747757332e-08,0.0
1814,6.293354370967563e-08,1.5733386149463513e-08
1815,4.8550024445148665e-08,5.394447111228828e-09
1816,4.4034472068688046e-08,6.952811659743929e-09
1817,3.580808893843823e-08,7.784366928831332e-09
1818,7.629553699928238e-08,1.9073883805731384e-08
1819,6.003609098748086e-08,1.8631890696951814e-08
1820,6.76389415588119e-08,1.1866481131050932e-08
1821,1.4003314019461754e-07,1.577838126820552e-08
1822,7.21844344298006e-08,9.023054303725075e-09
1823,6.917880635004536e-08,5.929612356680991e-09
1824,7.242156652154108e-08,1.2631669044083083e-08
1825,7.220463604795668e-08,8.805443485471187e-09
1826,5.196710661792281e-08,3.5231937367541377e-09
1827,4.7929820112813104e-08,1.8434546111834038e-09
1828,1.0915038473058303e-07,9.172301251858528e-10
1829,5.572564276690173e-08,1.800366966620004e-08
1830,4.696576283436116e-08,1.7742621594152297e-08
1831,1.1225668572478753e-07,2.182768810143898e-08
1832,7.441482807735156e-08,2.0294953273491956e-08
1833,1.1699465041203894e-07,3.243415958031903e-08
1834,1.0267983929779234e-07,1.4935249481595747e-08
1835,6.958040899007756e-08,6.806779140333674e-09
1836,1.1694105372939134e-07,1.6129799718100912e-08
1837,7.862416850912268e-08,2.0873671680021744e-09
1838,4.1660269900489766e-08,5.680945491803868e-09
1839,9.50840624014404e-08,2.866504900111977e-08
1840,5.6690229399691816e-08,1.2739377330817092e-09
1841,7.255219980351058e-08,2.8892467973662406e-08
1842,9.056157512787877e-08,1.60998356868447e-08
1843,1.1636614738463891e-07,5.31621990873532e-09
1844,4.8299337418455934e-08,3.2931368743049916e-09
1845,7.644912036752771e-08,5.5802281129224696e-09
1846,8.196302081486806e-08,1.7563504428608212e-08
1847,5.662884650092792e-08,6.47186837454683e-09
1848,4.263967567919025e-08,3.218088684420195e-09
1849,5.614208120618969e-08,3.3517659758786067e-09
1850,3.937617609750532e-08,6.1100964288129944e-09
1851,7.22337163416853e-08,3.2247193804124663e-09
1852,5.9245962802378926e-08,6.510545436100301e-10
1853,5.4344578614973216e-08,5.971931837933653e-10
1854,5.6632741163298306e-08,5.7152309551611324e-09
1855,8.331890910540096e-08,3.714855978387277e-09
1856,4.245295315286057e-08,9.318940286107136e-09
1857,1.1081025430570435e-07,3.905207268672939e-09
1858,9.542668333306636e-08,1.2234189661342043e-08
1859,6.517981754328162e-08,1.2730433596175317e-08
1860,8.833965159382728e-08,1.6477862629926676e-08
1861,8.064297785104202e-08,6.6023493339173456e-09
1862,9.713670667821361e-08,7.680577063240435e-09
1863,7.541877550254483e-08,2.9967726078439227e-09
1864,1.0212770851225628e-07,8.63051052846231e-09
1865,6.636650229374652e-08,8.001635798393636e-09
1866,8.855415245534459e-08,6.3252967308358166e-09
1867,6.551295683721037e-08,5.338092634588065e-09
1868,6.4218362849644e-08,1.7289560005906424e-08
1869,7.422949188651273e-08,1.8069020057964735e-08
