year,en_ADP orge_NOUN,en_ADP forge_NOUN
1800,1.4180181993062035e-06,1.2576657937302116e-08
1801,1.8025552459555172e-06,6.191074675143682e-08
1802,5.012761903344654e-07,2.6854081625060644e-08
1803,4.875847992025228e-07,5.851017448321727e-09
1804,4.029116922321663e-07,3.213406074564773e-08
1805,2.3311597785458105e-07,1.7057265822018053e-08
1806,4.0919702826158755e-07,6.339671898558663e-08
1807,3.1316506010625744e-07,1.1387820464392462e-08
1808,5.143988204281413e-07,9.064295980465431e-09
1809,5.737937271987903e-07,1.129515236897305e-08
1810,2.0827127888978225e-07,4.680253340438867e-08
1811,3.785685951385176e-07,3.008491944456182e-08
1812,1.9203899759290266e-07,3.7340914360584065e-08
1813,2.5594099395398473e-07,0.0
1814,9.754698915287463e-08,0.0
1815,1.4565007688815967e-07,8.091670444798638e-09
1816,3.267821533370352e-07,2.3176038865813098e-09
1817,1.1987924608547473e-07,2.80237220096069e-08
1818,1.6451225071101305e-07,4.172412104708201e-08
1819,1.852837965277132e-07,1.5526575580793178e-08
1820,9.967844150082783e-08,3.085285271708926e-08
1821,1.3608854487756616e-07,5.9168927535324656e-09
1822,1.804610860745015e-07,1.303330066093622e-08
1823,1.818414328003115e-07,2.3817275973669894e-07
1824,1.9958037178469112e-07,9.263223965660927e-09
1825,1.2063456722444243e-07,1.0566531649658373e-08
1826,1.321197709014399e-07,2.1139161532346407e-08
1827,1.1798109633698317e-07,1.7512819638909605e-08
1828,1.4492235794749675e-07,1.9261833017480967e-08
1829,1.9203913836918218e-07,8.573175946935407e-09
1830,1.3046044111675315e-07,2.817945699007396e-08
1831,1.2472964794341124e-07,9.354723218280014e-09
1832,1.6641861710908756e-07,6.764984572527055e-09
1833,2.6526510055191466e-07,1.1583628278799551e-08
1834,2.5483268251136337e-07,5.600718555598405e-09
1835,1.4899283939939778e-07,3.100866052818674e-08
1836,1.660025215066696e-07,1.6129799718100912e-08
1837,1.0019363116953173e-07,1.948209416013924e-08
1838,1.123564798977128e-07,2.2723781967215473e-08
1839,1.230499671045493e-07,1.957613093850341e-08
1840,1.3503740614595472e-07,7.0066574764382494e-09
1841,1.592295992836057e-07,1.9903700021473014e-08
1842,1.274570311515788e-07,6.842430622100437e-08
1843,1.80160792617734e-07,5.1390127708828004e-08
1844,7.574214638816912e-08,6.037417232818143e-09
1845,1.0825642249301382e-07,2.4553003186156275e-08
1846,1.2762813472733114e-07,2.1661655580373917e-08
1847,1.5101025763186726e-07,1.3483059113639229e-08
1848,1.4642303702849802e-07,2.252662056889676e-08
1849,1.1731181004392965e-07,2.513824526317876e-08
1850,7.19633606038883e-08,1.425689166723032e-08
1851,1.3479327365395477e-07,3.2247193804124663e-09
1852,7.942865143384381e-08,2.8646400807019745e-08
1853,1.7318601908122844e-07,1.6124216628554677e-08
1854,9.040455994924201e-08,2.0263090760863633e-08
1855,1.209981661531856e-07,2.5473298137512757e-08
1856,1.1493360019265708e-07,3.7793480345271746e-08
1857,1.1520361486994091e-07,3.270611159678083e-08
1858,1.2968241969169014e-07,1.761723389392955e-08
1859,1.1304624547570086e-07,2.036869339860914e-08
1860,7.689668957144846e-08,9.15436793036406e-09
1861,5.3761986862355116e-08,4.7631232291678316e-08
1862,8.810073387488515e-08,4.9697849391350246e-08
1863,1.163746681243083e-07,1.897955925755923e-08
1864,8.198984580154445e-08,2.0137857603685916e-08
1865,7.107334770717344e-08,2.58876440284439e-08
1866,5.838735406271667e-08,2.1895258939252926e-08
1867,1.2762894208151465e-07,8.73506067478047e-09
1868,1.2695476558910457e-07,1.3831646938911035e-08
1869,8.790334427022373e-08,2.9789466893248573e-08
1870,6.422134912753563e-08,1.548193218070537e-08
1871,8.6031534785036e-08,1.5931766128574054e-08
1872,8.889589042659907e-08,1.9956219787786722e-08
1873,8.20082608488093e-08,5.387403856360606e-09
1874,6.990292344966065e-08,8.961913877669758e-09
1875,1.1843561287250282e-07,1.0298748520654044e-08
1876,8.64580107506896e-08,1.0882827083946722e-08
1877,9.277224100046055e-08,5.566334504436554e-09
1878,9.42097801992503e-08,1.1474268646338714e-08
1879,8.369775317262906e-08,4.581993806596074e-08
1880,8.664092598920092e-08,1.7328185109022343e-08
1881,7.739483409707759e-08,2.5798277292210514e-08
1882,1.1780031328179064e-07,9.983077475794744e-09
1883,1.1058843496503101e-07,1.64302811356265e-08
1884,7.591951511898287e-08,2.5086448474098688e-08
