year,en_ADP hôte_NOUN,en_ADP faute_NOUN
1800,0.0,3.898763907272951e-07
1801,0.0,5.048107141192304e-07
1802,0.0,6.489736392722989e-07
1803,0.0,5.090385570838407e-07
1804,2.4718509461507665e-09,1.7327674868283793e-06
1805,0.0,1.111565211431298e-06
1806,0.0,9.077257914213988e-07
1807,1.1387820464392462e-08,1.2640480235859286e-06
1808,2.2660739951163578e-09,1.1919548796868185e-06
1809,0.0,6.460827535192948e-07
1810,2.3401267590372754e-09,8.681870440341299e-07
1811,1.7549536934780008e-08,8.774768502917141e-07
1812,1.0668832928217853e-08,5.867858021701977e-07
1813,0.0,8.454680369140988e-07
1814,9.440030979135372e-09,5.254950679045578e-07
1815,0.0,4.4773909735340567e-07
1816,1.622322720606917e-08,4.704735943050764e-07
1817,3.113746815941454e-09,3.1293154734157724e-07
1818,3.5763532135746345e-09,5.149948378857516e-07
1819,4.140420006848444e-09,7.825393595339847e-07
1820,0.0,7.440283411597193e-07
1821,1.0847637454958203e-08,8.135727966873674e-07
1822,1.9048670196752937e-08,6.09557446296094e-07
1823,4.941343334508019e-09,7.896267106843879e-07
1824,1.431589158329416e-08,1.1402186146369786e-06
1825,2.993850500843109e-08,8.840664804665721e-07
1826,1.4092774947016551e-08,7.680562248424394e-07
1827,8.295545583791863e-09,1.194558535644319e-06
1828,6.420610709767516e-09,8.603618653069134e-07
1829,0.0,8.950395908868813e-07
1830,7.305785310052215e-09,8.965241704572691e-07
1831,3.1182412207897414e-09,8.356886382898665e-07
1832,5.411987746839486e-09,7.022053978289478e-07
1833,1.1583628278799551e-08,9.347988338959112e-07
1834,1.8669062740173104e-08,1.045467456606275e-06
1835,6.050470346963266e-09,8.758055969337875e-07
1836,1.1425274948351216e-08,9.872782129605184e-07
1837,1.6698937788106605e-08,8.133774258567428e-07
1838,8.2058102535143e-09,1.1942610171900014e-06
1839,9.088918062616358e-09,7.697614137214259e-07
1840,1.4650284319017715e-08,8.261486073024571e-07
1841,1.2841097074556274e-09,9.040132340487617e-07
1842,6.708265054555795e-09,9.418404260941315e-07
1843,8.860366662588604e-09,8.240140800808149e-07
1844,1.811225303072206e-08,1.0938703098872793e-06
1845,8.37034175305007e-09,1.222069954565086e-06
1846,2.6345256642912318e-08,1.1410422757762717e-06
1847,5.3932236454556914e-09,1.1811159765784396e-06
1848,2.252662056889676e-08,9.308321295975475e-07
1849,3.6869426622843093e-08,8.496726877638139e-07
1850,2.4440385715251978e-08,8.540557132619142e-07
1851,1.870337307252612e-08,9.570967449690215e-07
1852,3.906327350478023e-08,9.902539659378817e-07
