year,en_ADP oie_NOUN,en_ADP fois_NOUN
1800,3.144164484325529e-09,1.5720821977538435e-08
1801,1.666827853519237e-08,9.524730337773235e-09
1802,2.0140561218795483e-08,2.2378401354217203e-08
1803,9.751696339321825e-09,7.801356671777171e-09
1804,1.2359254952798437e-08,2.4718509461507665e-09
1805,3.695740957709859e-08,8.528632911009026e-09
1806,1.4408345627714425e-08,2.881669125542885e-09
1807,0.0,1.4234775136401367e-08
1808,1.0877154998922833e-07,4.5321479902327155e-09
1809,0.0,9.036122072814123e-09
1810,2.3401266702194334e-08,2.106114038724627e-08
1811,1.504245972228091e-08,1.7549536490690798e-08
1812,2.6672082320544632e-09,1.0668832928217853e-08
1813,5.751483289628823e-09,1.1502966579257645e-08
1814,1.1642705288750221e-07,3.1466771410748606e-09
1815,0.0,2.697223555614414e-09
1816,2.3176038865813098e-09,1.622322720606917e-08
1817,4.670620334934483e-09,7.784366928831332e-09
1818,4.768470951432846e-09,1.6689648552059566e-08
1819,4.140420006848444e-09,6.210630232317271e-09
1820,2.3732962262101864e-09,9.493184904840746e-09
1821,1.577838126820552e-08,8.875339463365606e-09
1822,1.0025615893027862e-09,1.1028177482330648e-08
1823,1.9765373782121287e-09,5.929612356680991e-09
1824,1.9368560089105813e-08,1.0947446504872005e-08
1825,7.924898959288385e-09,1.584979747448756e-08
1826,3.5231937367541377e-09,1.3211976290783412e-08
1827,1.8434546111834038e-09,1.566936447261469e-08
1828,7.337841001486822e-09,1.1923991571904935e-08
1829,9.430493719264632e-09,1.3717081526198882e-08
1830,2.0873671680021744e-09,9.39315203396518e-09
1831,1.5591206103948707e-09,1.5591206103948707e-09
1832,2.0294953273491956e-08,5.411987746839486e-09
1833,2.3167257001688313e-09,1.0425265983826648e-08
1834,3.733812370398937e-09,1.9602515832772838e-08
1835,7.563087933704082e-09,3.781543966852041e-09
1836,2.016224964762614e-09,1.6801874724858834e-08
1837,1.3915781860163179e-09,9.045258320128369e-09
1838,4.418513332993257e-09,9.468242634369517e-09
1839,2.0974426639952526e-09,4.194884994923598e-09
1840,5.732719632334238e-09,1.0191502197720581e-08
1841,2.3113974734201292e-08,8.346713098461578e-09
1842,1.341653010911159e-09,2.2808102073668124e-08
1843,1.7720733214154905e-09,2.008349803128695e-08
1844,3.2931368743049916e-09,1.0428266306039546e-08
1845,3.9061593959388574e-09,7.254296385816872e-09
1846,2.9272506640865004e-09,2.0490754870650107e-08
1847,7.011190739092399e-09,1.294373674909366e-08
1848,4.82713291560799e-09,8.045221766561639e-09
1849,1.9272654583346593e-08,3.267971671050418e-08
1850,6.788996032014438e-09,1.2899092460827433e-08
1851,1.0964046337491595e-08,5.804494884742439e-09
1852,5.208436348880241e-09,2.539112742283578e-08
1853,1.791579506971175e-08,1.4929829150744922e-08
1854,7.79349651480743e-09,1.8704392368285028e-08
1855,1.0083180512765466e-08,2.1227748447927297e-09
1856,1.3978411317339123e-08,8.283502495043393e-09
1857,1.4156376515472857e-08,7.810414537345878e-09
1858,1.5659763041853125e-08,8.319249067412215e-09
1859,2.036869339860914e-09,7.129042689513199e-09
1860,4.57718396518203e-09,1.1900678442700041e-08
1861,7.073945706981277e-09,1.084671663598158e-08
1862,1.490935469528054e-08,7.68057684119583e-09
1863,3.9956967790022446e-08,2.4973103585068657e-09
1864,1.4384183844029508e-09,1.582260222843246e-08
1865,1.3179164426446732e-08,4.706844247692743e-09
1866,1.702964580463373e-08,1.897589108068587e-08
1867,1.4073153309368536e-08,7.76449837758264e-09
1868,1.2349685274415378e-08,9.385760946223343e-09
