year,un_DET or_NOUN,un_DET fort_NOUN
1800,4.4961552170263985e-07,2.829747991484055e-08
1801,5.762461718905598e-07,2.3811825844433088e-09
1802,6.019789964284428e-07,8.280008501060365e-08
1803,3.335080056565687e-07,6.241085515057421e-08
1804,6.67399774556543e-07,2.2493843232496147e-07
1805,4.264316615376629e-07,4.5486043376286034e-08
1806,4.2072369854651015e-07,3.1698359492793315e-08
1807,4.128084847287994e-07,7.686778502602465e-08
1808,5.053345026873046e-07,6.798221985349073e-09
1809,2.6430655797327063e-07,7.680704072754452e-08
1810,3.5803939590906e-07,4.68025347366563e-08
1811,7.420947225611485e-07,3.259199621297171e-08
1812,4.4275655497472144e-07,5.601137331723294e-08
1813,4.486157074712338e-07,2.8757416004054903e-08
1814,2.5488085952929396e-07,1.5733386149463513e-08
1815,2.8051123601713357e-07,2.697223555614414e-09
1816,3.3373494900956757e-07,2.0858434979231788e-08
1817,3.596377702308473e-07,1.556873407970727e-09
1818,4.1128063266171466e-07,1.192117715653751e-08
1819,4.3370898339389896e-07,1.2421260464634543e-08
1820,5.339916668845035e-07,2.0173017034608165e-08
1821,3.9939027973723285e-07,8.875339574387908e-09
1822,4.210758675071702e-07,7.017931125119503e-09
1823,3.3996441639594366e-07,7.906149512848515e-09
1824,3.9747652991195537e-07,7.57900142644985e-09
1825,3.971254782797473e-07,1.7610886082763955e-09
1826,3.1796822663743285e-07,4.403992281964975e-09
1827,3.659257501453794e-07,2.7651818612639545e-09
1828,3.3754069272973197e-07,1.4675682002973645e-08
1829,2.700550321144135e-07,4.286588084490006e-09
1830,2.661393030400916e-07,2.5048406016026092e-08
1831,3.3677005895071943e-07,1.4032085715598441e-08
1832,3.084832966848694e-07,2.1647950987357945e-08
1833,3.312917766784551e-07,3.4750886612755494e-09
1834,4.2005388944943434e-07,6.534171426153534e-09
1835,4.00843653380889e-07,6.050470346963266e-09
1836,3.803944532698722e-07,9.4090498725663e-09
1837,3.0266826422931103e-07,1.8090516640256737e-08
1838,4.336455154962948e-07,5.049729523420865e-09
1839,2.712692359629898e-07,1.5381244722334486e-08
1840,3.044711236466213e-07,1.719815967415883e-08
1841,3.890852333654493e-07,5.200644226377449e-08
1842,3.0790937222135994e-07,1.1404051036834062e-08
1843,3.142476772133307e-07,1.3585895075607368e-08
1844,2.969311720946166e-07,5.488561272137815e-10
1845,2.818015216732306e-07,9.486387508861327e-09
1846,2.359364073001302e-07,8.781752214304106e-09
1847,2.389198110464008e-07,5.3932236454556914e-09
1848,2.622742316660265e-07,1.528592136201823e-08
1849,2.1702684072089085e-07,1.4245005175439474e-08
1850,2.4033045598059743e-07,6.788996032014438e-10
1851,2.8313036226634836e-07,3.2247193804124663e-09
1852,2.994851013848887e-07,9.114763610540422e-09
1853,3.039713381003395e-07,4.777545470346922e-09
1854,3.0342679568917674e-07,3.6369650624479277e-09
1855,3.157627688210596e-07,9.552486801567284e-09
1856,3.05454175508757e-07,1.4496129630003907e-08
1857,4.0760602182388084e-07,3.4170564155999728e-09
1858,2.8089699988242955e-07,1.2234189661342043e-08
1859,2.8261562801112916e-07,2.6479302084325695e-08
1860,2.3984443742186556e-07,8.238931398230065e-09
1861,2.801282459330423e-07,7.545541802489453e-09
1862,3.203252283423552e-07,1.0391368654438793e-08
1863,3.156600310028068e-07,1.2986014596982898e-08
1864,3.04944698381604e-07,9.589456340108882e-09
1865,2.7676245673013966e-07,8.236977283582192e-08
1866,3.4643163537850796e-07,2.092213513549268e-08
1867,2.9747733343299387e-07,1.6014277903764196e-08
1868,2.657652117266096e-07,4.44588676984381e-09
1869,2.1878165790134574e-07,6.8369265804335555e-09
1870,2.6204603731372345e-07,4.587239033071455e-09
1871,1.6993883589222492e-07,2.4428708167434365e-08
1872,2.666876723900202e-07,4.8378714367913744e-09
1873,2.3405277038701655e-07,9.577607318345116e-09
1874,1.8162811832311831e-07,1.2546678973546221e-08
1875,2.385876887167626e-07,4.00506905418041e-09
1876,1.8682186286866909e-07,7.859819239897092e-09
1877,2.2389034581848932e-07,6.184815992682502e-10
1878,1.7332184998331002e-07,1.0870359501424787e-08
1879,1.9549841123733813e-07,1.2829583506679398e-08
1880,1.8675932844658405e-07,3.2089231272180996e-09
1881,2.168449799722083e-07,3.904604384263877e-08
1882,1.6571908467710728e-07,2.5956001126203887e-08
1883,1.9526757766286096e-07,2.8437025456629073e-08
1884,1.7956616193970376e-07,2.442627788923346e-08
1885,1.7983322930792411e-07,7.734762830224895e-09
1886,1.6327263929749591e-07,2.1296430285921986e-08
1887,1.912974973983239e-07,9.140494583448344e-09
1888,1.6739223385187074e-07,9.510922049926762e-09
1889,2.1677373718276272e-07,5.638623068460191e-09
1890,1.8811089363968136e-07,1.5730527991308918e-08
1891,2.581559104264386e-07,7.649063937797962e-09
1892,2.062340609398916e-07,9.402768119670668e-09
1893,2.0630695130030574e-07,2.4633666773077323e-09
1894,1.7959387621502287e-07,1.2603078580752936e-08
1895,2.2028128654483226e-07,8.426059849853118e-09
1896,2.305738274754887e-07,1.0614652545815062e-08
1897,1.526598898404785e-07,9.90541271228551e-09
1898,1.9691074593097824e-07,5.658354784721098e-09
1899,2.1391728921571485e-07,1.2713430308508578e-08
1900,2.429412844229262e-07,1.1420316803345543e-08
1901,1.9616473878603102e-07,1.397184767881754e-08
1902,2.3569362550546202e-07,6.874397606715377e-09
1903,1.7064696722357553e-07,1.0800440541913758e-08
1904,1.5102696426794182e-07,5.912087708281888e-09
1905,2.2758947837431265e-07,4.128607178355281e-09
1906,1.9599343009657488e-07,3.6009290549365858e-09
1907,1.7279953024029737e-07,1.2342823985100893e-08
1908,2.2445048664110345e-07,8.349361646509124e-09
1909,2.4644406049212364e-07,6.601180380094718e-09
