year,son_DET are_NOUN,son_DET phare_NOUN
1800,1.5720821977538435e-08,2.2009152278457123e-08
1801,4.7623651688866175e-09,1.4287095950749062e-08
1802,3.3567602031325805e-08,1.7902721083373763e-08
1803,2.3404070459420723e-08,1.950339223455444e-09
1804,9.887403784603066e-09,2.4718509461507665e-09
1805,2.842877711017877e-08,6.822906661874129e-08
1806,2.881669125542885e-09,7.204172902675055e-08
1807,2.2775641372874134e-08,8.540865348294346e-09
1808,1.5862518409903714e-08,2.2660739951163578e-09
1809,2.259030518203531e-09,2.710836710662079e-08
1810,2.106114127542469e-08,2.3401266702194334e-08
1811,1.2535383842049441e-08,1.504245972228091e-08
1812,1.600324850414836e-08,2.1337665856435706e-08
1813,1.1502966579257645e-08,2.8757416448144113e-09
1814,9.440030979135372e-09,0.0
1815,1.3486117778072071e-08,3.506390555685357e-08
1816,1.1588019432906549e-08,2.3176038865813098e-09
1817,9.341240336802059e-09,1.556873407970727e-09
1818,9.536942124910297e-09,2.384235475716423e-09
1819,7.24573512300708e-09,1.1386155129855524e-08
1820,9.493184904840746e-09,3.5599443393152796e-09
1821,1.2819934447350079e-08,2.6626018279074515e-08
1822,1.303330066093622e-08,8.02049271442229e-09
1823,8.89441820195458e-09,2.174191138237802e-08
1824,5.052667617633233e-09,1.0947446504872005e-08
1825,7.044354433105582e-09,2.641632912414593e-09
1826,3.5231937367541377e-09,0.0
1827,1.1060728055678481e-08,2.949527333484525e-08
1828,6.420610709767516e-09,1.559291185060374e-08
1829,1.1145128819833872e-08,4.372319750700626e-08
1830,1.2524203008013046e-08,1.0436835395921662e-08
1831,7.795603274018958e-09,3.585977381703742e-08
1832,1.2176972541411146e-08,5.411987658021644e-08
1833,2.432561940768352e-08,4.633451422542123e-08
1834,1.4001796166951408e-08,5.600718511189484e-08
1835,9.832014313815307e-09,3.1764969321557146e-08
1836,7.392825185359442e-09,4.032450107160912e-08
1837,1.600314980532147e-08,4.383471441382625e-08
1838,6.312161682231476e-09,3.219202682203104e-08
1839,1.5381244722334486e-08,1.6080392573059044e-08
1840,6.369688498875092e-09,1.9746034474188434e-08
1841,1.3483151484194877e-08,3.017657812520724e-08
1842,1.475818312002275e-08,1.542900918138912e-08
1843,1.8311424432315704e-08,3.1306629344474146e-08
1844,5.488561161115513e-09,3.2931367854871496e-08
1845,9.486387508861327e-09,2.1762889268472918e-08
1846,1.2879903366069811e-08,2.4003455667553908e-08
1847,6.47186837454683e-09,7.011190739092399e-09
1848,1.206783295515379e-08,1.045878805783218e-08
1849,4.1897072478036534e-09,1.3407063903514427e-08
1850,1.425689166723032e-08,1.5614690873633208e-08
1851,7.094382636907426e-09,1.289887774369447e-08
1852,1.6276363368206148e-08,1.6276363590250753e-08
1853,8.360704129017904e-09,1.3735443005202796e-08
1854,1.4028293915391288e-08,5.3515343101384616e-08
1855,1.3798036491152743e-08,1.8574279891936385e-08
1856,8.283502495043393e-09,2.8474541557965694e-08
1857,9.274867207587079e-09,2.8800904050552134e-08
1858,7.3405139189297586e-09,1.761723389392955e-08
1859,8.14747713739905e-09,1.5785737161877478e-08
1860,8.238931314963338e-09,1.5562425292880988e-08
1861,1.0846716413936974e-08,2.7352590414864153e-08
1862,1.1746764505549123e-08,3.027050793358299e-08
1863,1.0988166210257333e-08,1.7980635647063536e-08
1864,9.58945578499737e-09,3.164520445686492e-08
1865,1.2708479713019472e-08,3.106517176831858e-08
1866,7.298419646417642e-09,2.238181906477621e-08
1867,1.4073153309368536e-08,3.9307774812868956e-08
1868,8.39778580008499e-09,3.260316838726851e-08
1869,1.0743742562269176e-08,4.78584865071241e-08
1870,7.454263428741115e-09,2.2936195165357276e-08
1871,7.434824311758348e-09,2.3366590440332402e-08
1872,4.837871325769072e-09,3.205089860180976e-08
1873,7.183205141814142e-09,3.4718827257584906e-08
1874,5.974608974224083e-09,3.883495924839053e-08
1875,5.721527251978387e-09,3.718992530599152e-08
1876,6.04601479992084e-09,2.176565305767042e-08
1877,4.9478527941460015e-09,5.566334460027633e-08
1878,1.2078177347163432e-08,3.0799351513621787e-08
1879,6.109325489944695e-09,3.421222016797287e-08
1880,1.0910338854586143e-08,4.941741593711413e-08
1881,5.578006112560985e-09,4.9504802035471585e-08
1882,3.9932310791357395e-09,3.6604619557678575e-08
1883,6.319339107552224e-09,3.602023063153936e-08
1884,8.582206056928499e-09,4.621187876807653e-08
1885,9.023890135129164e-09,3.6095558597626365e-08
1886,8.38950331427668e-09,2.3877817056927597e-08
1887,1.1752064432712928e-08,3.395040931719606e-08
1888,8.876860135842435e-09,2.916682784182001e-08
1889,7.518164202302557e-09,5.7639258144170924e-08
1890,8.520702365899524e-09,4.9157899362217705e-08
1891,5.736797814570593e-09,3.633305456496316e-08
1892,3.761107425503951e-09,2.883515670681902e-08
1893,5.542574843531156e-09,3.94138661707899e-08
1894,4.411077725308132e-09,3.3398159793307514e-08
1895,8.426059849853118e-09,4.6343332060772013e-08
1896,7.66613794667137e-09,2.240870955461105e-08
1897,2.9133566670225264e-09,3.554295346930303e-08
1898,6.2241901632731356e-09,3.621347133275776e-08
1899,7.738609753005221e-09,2.984892333302014e-08
1900,6.2292638824956725e-09,3.218453115128028e-08
1901,5.029864968975062e-09,3.8562298410038665e-08
1902,5.4013122863239005e-09,4.2228439411928775e-08
1903,1.1340462346964841e-08,4.104167317109386e-08
1904,5.912087708281888e-09,3.2247750247904605e-08
1905,2.5803795211665204e-09,2.528772019561032e-08
1906,5.658602919567102e-09,2.1091156987562698e-08
1907,8.742833457198174e-09,2.879992366811024e-08
1908,7.858222295098471e-09,2.4065807124884486e-08
1909,2.7504918342913243e-09,5.555993237704726e-08
1910,1.1757131934686527e-08,2.939282950364941e-08
1911,5.852411444351446e-09,2.4473720938722465e-08
