year,en_ADP ail_NOUN,en_ADP faille_NOUN
1800,1.2576658381391326e-08,9.432493897065797e-09
1801,3.809892001882531e-08,1.6668277424969347e-08
1802,5.370816325012129e-08,6.489736392722989e-08
1803,5.070882025393075e-08,3.900678446910888e-09
1804,7.909923027682453e-08,2.7190360185613827e-08
1805,2.5585899399160894e-08,1.1371510844071508e-08
1806,6.627838811112952e-08,1.4408345627714425e-08
1807,1.2241906865995134e-07,1.4234775136401367e-08
1808,1.0877154954513912e-07,1.1330369531492579e-08
1809,9.93973401364201e-08,4.518061036407062e-09
1810,2.9251585464962204e-07,3.978215445954447e-08
1811,1.253538335355131e-07,1.2535384286138651e-08
1812,1.8137015445063298e-07,6.668020802180763e-08
1813,1.2078114730584844e-07,5.751483289628823e-09
1814,1.0698702368472368e-07,6.293354282149721e-09
1815,5.664169577812572e-08,2.6972236000233352e-08
1816,4.6352077731626196e-08,1.3905623319487859e-08
1817,3.892183608744659e-08,4.0478710161551135e-08
1818,5.602953323524673e-08,2.384235386898581e-08
1819,1.2214239364372048e-07,1.5526575580793178e-08
1820,2.966620371580575e-08,4.746592452420373e-09
1821,4.43766958735381e-08,1.676452932031225e-08
1822,3.107940926838637e-08,2.3058916553964082e-08
1823,3.755420863171821e-08,1.680056804787e-08
1824,3.3684449896043134e-08,3.2000230021367315e-08
1825,3.258013947515792e-08,1.8491430608946757e-08
1826,2.4662355713189754e-08,3.2589543508265706e-08
1827,4.147772969531616e-08,1.8434546333878643e-08
1828,4.3109815550668174e-08,1.559291185060374e-08
1829,1.0545006362550069e-07,3.5150023336427694e-08
1830,6.053364676184003e-08,1.2524203008013046e-08
1831,7.483779085326603e-08,1.091384405071949e-08
1832,7.035583848846727e-08,3.2471927369215337e-08
1833,3.938433579264711e-08,2.548398292390175e-08
1834,7.000897994657862e-08,1.8669062740173104e-08
1835,5.596685070941021e-08,2.949604294144592e-08
1836,6.653542283796554e-08,3.5619976301859424e-08
1837,7.792837530828933e-08,1.6003149028165353e-08
1838,6.754013526233393e-08,1.830527018853445e-08
1839,1.2095251933352813e-07,2.4470162784950844e-08
1840,1.031889566571742e-07,2.7389662093924017e-08
1841,1.3097919682181214e-07,2.0545755319290038e-08
1842,1.2745704225380905e-07,2.884553929050071e-08
1843,1.3763102491015644e-07,2.3627643841450663e-08
1844,1.4764229661068384e-07,1.4270259640625227e-08
1845,1.5345627124574435e-07,1.1160455670733427e-08
1846,1.042101231973902e-07,3.0443406018321184e-08
1847,1.6341467112823693e-07,2.6426796750911308e-08
1848,8.447483018647617e-08,5.148941895072312e-08
1849,1.2233945301254323e-07,2.3462362719328667e-08
1850,1.1677072819793466e-07,1.1541293254424545e-08
1851,1.2253933023842478e-07,1.805842941848823e-08
1852,1.608104709394098e-07,2.3437962681782665e-08
1853,1.5228425720437144e-07,2.149895550473957e-08
1854,1.6158516574771298e-07,2.0263090760863633e-08
1855,1.363882802252192e-07,1.326734277995456e-08
1856,1.1545131700652078e-07,1.501384794266869e-08
1857,1.4693341654492542e-07,1.3668225662399891e-08
1858,9.983099408250595e-08,3.131952652779546e-08
1859,1.2221216127983325e-07,3.971895168319861e-08
1860,9.428998692939672e-08,1.785101666484934e-08
1861,9.903523690013571e-08,2.8295781717702084e-08
1862,1.3825037833981035e-07,2.1686334505943705e-08
1863,1.0788380760962113e-07,3.845858032036631e-08
1864,8.822299402133638e-08,3.452204211384924e-08
1865,1.148470044065597e-07,1.6473954644879996e-08
1866,1.19694079148136e-07,3.2113046444237625e-08
1867,9.56003880503431e-08,3.930777126015528e-08
1868,5.433861460790723e-08,3.853101659956337e-08
1869,7.325278816860958e-08,4.0533208789383934e-08
1870,3.870482885304227e-07,3.669791226457164e-08
1871,1.125844788507635e-07,1.5931766483845422e-07
1872,2.382651729249119e-07,3.313942045224394e-07
1873,8.021246022948958e-08,1.0714948217582787e-07
1874,3.017177579445196e-07,3.542943147749611e-07
