year,on_PRON eut_VERB,on_PRON fût_VERB
1800,5.929894314249395e-06,4.464713470042625e-07
1801,6.338708203657006e-06,4.0956339830700017e-07
1802,6.118254759712727e-06,4.788977889802482e-07
1803,5.84906729272916e-06,5.070882025393075e-07
1804,5.180999664844421e-06,7.118930511751387e-07
1805,5.964357342236326e-06,5.42989653240511e-07
1806,6.129310122560128e-06,5.849788067280315e-07
1807,5.394980007622507e-06,6.832692065472656e-07
1808,5.309411108100903e-06,3.9429687603842467e-07
1809,6.39757422504772e-06,4.6536027298316185e-07
1810,5.94626214933669e-06,4.516444676028186e-07
1811,5.294946163303393e-06,4.0113229715643683e-07
1812,5.590468617810984e-06,5.147712158759532e-07
1813,6.223104946911917e-06,5.492666446116345e-07
1814,6.721302270307206e-06,5.003216756449547e-07
1815,6.51109769478353e-06,6.958836706871807e-07
1816,4.994436494598631e-06,5.933065949648153e-07
1817,6.2788705008642864e-06,6.507730745397566e-07
1818,6.5864506950674695e-06,5.889061753805436e-07
1819,6.886553592266864e-06,5.051312541581865e-07
1820,6.812546871515224e-06,6.704561883452698e-07
1821,6.403064276128134e-06,5.433680030364485e-07
1822,8.401466288887605e-06,7.168315505623468e-07
1823,7.708495559199946e-06,9.517027592664817e-07
1824,7.4358423489684355e-06,6.812680339862709e-07
1825,7.584128184134897e-06,6.489611337201495e-07
1826,6.572518032044172e-06,5.725189566874178e-07
1827,5.951593379904807e-06,5.77001287638268e-07
1828,6.473810344687081e-06,8.548584560230665e-07
1829,6.829392077634111e-06,6.927126037226117e-07
1830,6.741152219547075e-06,5.802880878036376e-07
1831,4.992304184270324e-06,4.911229893878044e-07
1832,5.789473789263866e-06,4.924908694192709e-07
1833,5.417662919171562e-06,5.189465355215361e-07
1834,5.154527798367781e-06,5.143326688994421e-07
1835,5.631475232803496e-06,5.233656565906131e-07
1836,5.711293511012627e-06,5.752962124461192e-07
1837,6.700448921037605e-06,5.795923243567813e-07
1838,6.978726105444366e-06,5.478956381921307e-07
1839,6.307009698502952e-06,5.341486826182518e-07
1840,5.6779405213092105e-06,5.210405333855306e-07
1841,5.287963972477883e-06,4.7447852580262406e-07
1842,6.060917598915694e-06,5.245863121672301e-07
1843,5.129561486683087e-06,4.84957411117648e-07
1844,5.679014179804653e-06,5.466607149173797e-07
1845,5.694064725503267e-06,4.7097123001549335e-07
1846,5.426537086350436e-06,5.415413966147753e-07
1847,5.063697926743771e-06,5.285359065965167e-07
1848,4.845636908612505e-06,4.296148290450219e-07
1849,4.795539098267909e-06,4.147810273025243e-07
1850,5.515380507858936e-06,4.596150233737717e-07
1851,5.200182386033703e-06,4.3211238676121866e-07
1852,4.107503059458395e-06,4.531339641289378e-07
1853,4.636607968677708e-06,4.5506121182370407e-07
1854,5.385305939853424e-06,4.6501196493409225e-07
1855,5.199206270845025e-06,3.948361211314477e-07
1856,5.794310254714219e-06,4.928684234073444e-07
1857,7.3940220772783505e-06,5.540512688639865e-07
1858,5.994753337290604e-06,3.6213202747603646e-07
1859,5.51329605968931e-06,5.081989229438477e-07
1860,4.991419018551824e-06,4.741962413845613e-07
1861,4.3820735982080805e-06,4.1547639284544857e-07
1862,4.632291279449419e-06,5.403511522672488e-07
1863,4.422237225298886e-06,3.9357612990897906e-07
1864,4.7103408178372774e-06,3.485767194888467e-07
1865,4.395721816763398e-06,4.622121139163937e-07
1866,4.833013349525572e-06,4.330395597662573e-07
1867,4.213696229271591e-06,4.037539156342973e-07
1868,4.1534461843184545e-06,3.527070191466919e-07
1869,4.215453714095929e-06,3.7407755826279754e-07
1870,4.3429686229501385e-06,4.0883767837840423e-07
1871,4.152880364927114e-06,4.768908752339485e-07
1872,4.466564746508084e-06,3.785634419273265e-07
1873,4.214745899844274e-06,4.657111389860802e-07
1874,4.445706736078137e-06,4.1045564103114884e-07
1875,4.488538138502918e-06,4.0966133951769734e-07
1876,4.1378925743629225e-06,4.286624459837185e-07
1877,4.263193659426179e-06,3.587193191378901e-07
1878,4.427859835232084e-06,3.973720481553755e-07
1879,4.30707439136313e-06,3.445659331191564e-07
1880,3.902692355950421e-06,3.4592190445437154e-07
1881,3.839759983748081e-06,3.7930442431388656e-07
1882,4.167602241977875e-06,3.54066486352167e-07
1883,4.014044066025235e-06,3.342930199323746e-07
1884,4.695786969932669e-06,3.4988994457307854e-07
1885,4.865810296905693e-06,2.977883752919297e-07
1886,4.25670486947638e-06,3.975333697781025e-07
1887,3.6881895084661664e-06,3.035949873719801e-07
1888,4.122033715248108e-06,3.2020105322771997e-07
1889,3.915710408364248e-06,3.001000550284516e-07
1890,3.5596873431131826e-06,2.851158171779389e-07
1891,3.5383294516577735e-06,3.0341286105795007e-07
1892,3.7203620877335197e-06,3.3160429779854894e-07
1893,3.751091526282835e-06,3.153109275899624e-07
1894,3.580534553293546e-06,2.848295821422653e-07
1895,3.696031058098015e-06,2.9250466582197987e-07
1896,3.6361080901770038e-06,2.836470969214133e-07
1897,3.618971845753549e-06,3.0823315455563716e-07
1898,3.6304006130194466e-06,3.015903189407254e-07
1899,3.547599874309526e-06,2.9904200005148596e-07
1900,3.509151952130196e-06,3.135396013931313e-07
1901,3.4108074373762065e-06,2.9955640457046684e-07
1902,3.3959522625082172e-06,2.278371766806231e-07
1903,3.422659631269198e-06,2.6353075099905254e-07
1904,3.4569590070532286e-06,2.0369829201172251e-07
1905,3.404036704068858e-06,2.62166565789812e-07
1906,3.401334822683566e-06,3.256268712448218e-07
1907,3.3197053426192724e-06,3.157705918965803e-07
