year,son_DET âne_NOUN,son_DET ane_NOUN,son_DET fan_NOUN
1800,5.91102930602716e-07,4.4018303668735825e-08,6.288328968651058e-09
1801,2.7145480885337747e-07,2.3811825400343878e-08,1.904946067554647e-08
1802,8.056224487518193e-07,2.9091921760482364e-08,0.0
1803,3.4130937143217466e-07,8.581492316750428e-08,0.0
1804,2.546006498960196e-07,3.460591280202152e-08,2.4718509461507665e-09
1805,5.884757108276517e-07,3.4114532976303735e-08,0.0
1806,3.976703339958476e-07,3.1698360380971735e-08,0.0
1807,8.142291769708265e-07,2.562259560079383e-08,0.0
1808,6.435650101721535e-07,9.064295980465431e-09,4.5321479902327155e-09
1809,5.850889124303649e-07,6.551188569403621e-08,0.0
1810,1.4110964912106283e-06,2.574139479349924e-08,0.0
1811,3.560049037787394e-07,5.766276522933822e-08,2.5070767684098882e-09
1812,6.588004453078611e-07,4.800974906515876e-08,0.0
1813,4.3998847343296177e-07,5.7514832008109806e-08,0.0
1814,2.7690759907272877e-07,3.776012569289833e-08,0.0
1815,2.724195871106616e-07,1.3486117778072071e-08,2.697223555614414e-09
1816,1.8309070526356663e-07,2.0858434979231788e-08,0.0
1817,4.1724206489845983e-07,3.42512151974006e-08,0.0
1818,3.993594361872965e-07,2.3842354535119625e-08,4.768470951432846e-09
1819,5.97255558787424e-07,1.9666995698663925e-08,3.105315005136333e-09
1820,8.86426164470322e-07,2.7292906601417144e-08,1.1866481131050932e-09
1821,7.544038336249059e-07,3.845980489636247e-08,1.97229765852569e-09
1822,5.554191204737435e-07,2.606660132187244e-08,9.023054303725075e-09
1823,3.2118732140595796e-07,1.1859224269272772e-08,0.0
1824,5.482144516122389e-07,4.126345309884982e-08,0.0
1825,7.238074086757251e-07,3.962449479644192e-08,6.163809906922779e-09
1826,7.310626899403871e-07,1.761596868377069e-08,1.7615968683770689e-09
1827,3.0693519015301263e-07,3.318218311232357e-08,3.6869092223668076e-09
1828,3.9440894283870875e-07,2.2930752408001354e-08,1.8344602503717056e-09
1829,7.56154122427688e-07,2.7434163218931218e-08,0.0
1830,6.857000969251459e-07,2.7135773628117477e-08,0.0
1831,5.223054131420213e-07,1.7150326936388183e-08,1.091384405071949e-08
1832,1.1744013121983699e-06,2.705993873419743e-08,2.705993873419743e-09
1833,3.567757442812791e-07,9.498575137545373e-08,2.3167257001688313e-09
1834,3.1830751368033816e-07,4.293884137140935e-08,0.0
1835,4.749619364474711e-07,3.7059130875150004e-08,2.2689263801112247e-09
1836,5.060724674876838e-07,3.293167516460471e-08,2.016224964762614e-09
1837,8.892184525377544e-07,4.3834711638268686e-08,2.0873671680021744e-09
1838,7.170616196372492e-07,1.641162139520702e-08,6.312161904276081e-10
1839,4.25780829482747e-07,2.307186708350173e-08,1.3982950353153e-09
1840,3.3313470448881333e-07,1.7835128429677383e-08,1.2739377330817092e-09
1841,4.436599052581869e-07,1.5409316489467528e-08,6.420548537278137e-10
1842,4.024959152637564e-07,2.4820580701856443e-08,6.708265054555795e-10
1843,3.9753511171802813e-07,2.362764373042836e-08,5.906911071384968e-10
1844,3.6608704445662e-07,1.3721403124833387e-08,1.097712254427563e-09
1845,5.736474328887908e-07,3.292334460613944e-08,1.1160455892778032e-09
1846,4.636764991960973e-07,2.1661655136284708e-08,4.0981509297211005e-09
1847,5.614345957027922e-07,2.2112216946368335e-08,1.0786447290911383e-09
1848,3.9180230870794475e-07,1.3676876409185468e-08,8.045221711050488e-10
1849,2.497065705320267e-07,1.5920888829512592e-08,1.6758829879393033e-09
1850,6.558169971526695e-07,2.308258650884909e-08,2.7155984128057753e-09
1851,3.424651962014025e-07,3.805168802273329e-08,6.449438760824933e-10
1852,2.8776611005199015e-07,1.1718982007025147e-08,7.1615997576657264e-09
1853,6.360107174252505e-07,1.7318602552052198e-08,6.569124799682413e-09
1854,3.4914865909563275e-07,9.871762740587542e-09,3.117398783558656e-09
1855,3.30622189181895e-07,1.6451505047143655e-08,6.368324534378189e-09
1856,3.0234784276217397e-07,8.283502717087998e-09,5.177189232874468e-10
1857,3.1778623915679205e-07,1.610897992776472e-08,4.881508974818871e-09
1858,6.748379299814644e-07,2.251090980287529e-08,4.404308473482388e-09
1859,4.878301909094773e-07,1.4258085379026397e-08,1.018434669930457e-09
1860,3.7578680411876064e-07,2.0139609424596472e-08,4.577183909670879e-10
1861,5.362050532475848e-07,3.772771028920374e-08,1.4147891747029462e-09
1862,4.5315401608903016e-07,1.9427341291233802e-08,3.614389038064658e-09
1863,4.4452125180782787e-07,1.2486552514179294e-08,1.4983863039219614e-09
1864,4.415944345748102e-07,2.0137857048574404e-08,2.3973640850272204e-09
1865,4.024351945020044e-07,1.0825742080555756e-08,1.882737743486018e-09
1866,6.738873850054006e-07,1.5569961542283295e-08,2.919367858567057e-09
1867,4.6926688135329186e-07,2.135237053835226e-08,3.88224918879132e-09
1868,3.4035732132675633e-07,1.3831647494022548e-08,3.951899252285784e-09
1869,5.450007405372048e-07,1.123209392162039e-08,1.4650557433881772e-09
1870,4.071174526387722e-07,1.3188312220080434e-08,5.734048791339319e-10
1871,3.568715500890107e-07,1.0621177271019633e-08,1.0621177271019633e-09
1872,3.7009716513658475e-07,1.874675115143276e-08,1.2094678591978436e-09
1873,2.4782059426797787e-07,1.2570609331241656e-08,2.9930022904522957e-09
1874,3.501120968141258e-07,1.49365232404719e-08,2.9873046258899194e-09
1875,3.381422621906438e-07,1.2587360043170293e-08,5.721527251978387e-09
1876,3.609470762278022e-07,2.781166741350205e-08,4.232210359944588e-09
1877,5.114842878128911e-07,3.277952420610575e-08,1.2369631985365004e-09
1878,5.411023207280152e-07,2.4156355138416075e-08,9.058632954861423e-09
1879,4.032154615751793e-07,2.3826368766854955e-08,2.443730107160036e-09
1880,4.1266751704682747e-07,1.0268554007097919e-08,0.0
1881,4.4205698124244464e-07,1.3945015142624584e-08,4.183504653809678e-09
1882,3.8534679447366216e-07,2.861815540100565e-08,3.3276925659464496e-09
1883,4.4930499704110005e-07,2.7805091562527195e-08,5.055470986281563e-09
1884,4.0270351231441737e-07,1.914492120391742e-08,4.621187876807653e-09
1885,3.274382867068937e-07,1.0313017106966527e-08,3.2228177904158883e-09
1886,3.65911403399366e-07,1.097088864199236e-08,2.5813855497602844e-09
1887,3.4668588633213204e-07,1.50165264667379e-08,3.9173548849191775e-09
1888,3.6965784810938374e-07,2.0924028287794272e-08,3.804368819970705e-09
1889,3.784142558194148e-07,1.503632812704936e-08,1.8795409673089125e-09
1890,2.857712442239091e-07,7.865263940143308e-09,8.520702365899524e-09
