year,un_DET autographe_NOUN,un_DET photographe_NOUN
1800,3.144164484325529e-09,3.144164484325529e-09
1801,2.3811825844433088e-09,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,0.0
1806,1.4408345627714425e-08,2.881669125542885e-09
1807,0.0,0.0
1808,0.0,2.2660739951163578e-09
1809,0.0,0.0
1810,0.0,0.0
1811,1.2535383842049441e-08,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,6.293354282149721e-09,0.0
1815,0.0,0.0
1816,3.0128852301913867e-08,0.0
1817,0.0,0.0
1818,2.384235475716423e-09,0.0
1819,0.0,0.0
1820,1.1866481131050932e-09,1.1866481131050932e-09
1821,0.0,0.0
1822,6.015369535816717e-09,0.0
1823,8.894418535021487e-09,0.0
1824,8.421112696055388e-10,0.0
1825,0.0,0.0
1826,1.7615968683770689e-09,3.5231937367541377e-09
1827,1.1060727445055818e-08,0.0
1828,2.0179061976932644e-08,0.0
1829,5.829759786024624e-08,8.57317605795771e-10
1830,1.3567886369969528e-08,0.0
1831,2.3386808933878456e-08,0.0
1832,1.8941957335982806e-08,1.3529969367098715e-09
1833,5.791814139399776e-09,0.0
1834,4.760610883280947e-08,9.334530925997342e-10
1835,9.302598158456021e-08,0.0
1836,6.787957929077493e-08,0.0
1837,6.122944018471799e-08,0.0
1838,5.617824272441396e-08,0.0
1839,4.2647997799960535e-08,6.9914751765765e-10
1840,7.707322990935239e-08,3.184844332704273e-09
1841,7.897274478807503e-08,1.926164561183441e-09
1842,7.848670247057044e-08,6.708265054555795e-10
1843,7.856191830413195e-08,5.316219964246471e-09
1844,1.1196665217205748e-07,4.9397050894128824e-09
1845,1.0769840291802169e-07,1.674068439427856e-09
1846,1.0479557510656434e-07,2.3418005312692003e-09
1847,7.65837748772924e-08,5.393223645455691e-10
1848,9.010648427398849e-08,2.413566457803995e-09
1849,2.0613361462196167e-07,0.0
1850,2.287891716079571e-07,2.0366988096043315e-09
1851,2.2186068693308414e-07,6.449438760824933e-09
1852,1.451851618927691e-07,1.0416873141849692e-08
1853,1.5108988149492575e-07,1.2541057081705276e-08
1854,9.508065623720086e-08,2.4939189602335432e-08
1855,2.2660621823433758e-07,4.776243400783642e-08
1856,1.76024427700483e-07,4.297066968916852e-08
1857,9.128422062687491e-08,6.492407056413185e-08
1858,1.2185253228658155e-07,8.857553623897729e-08
