year,bon_ADJ or_NOUN
1800,3.45858084394024e-08
1801,5.952956638743956e-08
1802,8.056224487518193e-08
1803,3.315576790896557e-08
1804,5.6852570651244605e-08
1805,2.55858996212055e-08
1806,6.339671898558663e-08
1807,3.9857372513552036e-08
1808,7.024829073998262e-08
1809,2.4849335034105025e-08
1810,1.4040760110134443e-08
1811,6.016984377410495e-08
1812,1.600324850414836e-08
1813,3.163315875909234e-08
1814,6.608022173892891e-08
1815,5.664169577812572e-08
1816,3.244645441213834e-08
1817,4.670620157298799e-08
1818,3.5763530803478716e-08
1819,6.107119787657211e-08
1820,7.001224133773576e-08
1821,5.127973856655643e-08
1822,4.511527151862538e-08
1823,5.138997138942614e-08
1824,5.642145595174952e-08
1825,9.774041842547376e-08
1826,9.953022128694755e-08
1827,5.069500080834288e-08
1828,8.438517085096464e-08
1829,3.772197487705853e-08
1830,6.366470017837855e-08
1831,4.989185953263586e-08
1832,8.929779937716376e-08
1833,4.865124125785769e-08
1834,5.507373401769655e-08
1835,6.806779140333674e-08
1836,6.183090411893133e-08
1837,8.697363540477454e-08
1838,1.218247263068406e-07
1839,1.0836786401569043e-07
1840,9.427139247009109e-08
1841,6.35634278545183e-08
1842,3.3541326160957396e-08
1843,1.2109167357721162e-07
1844,8.781698307425145e-08
1845,6.02664584903323e-08
1846,6.20577138565892e-08
1847,6.094342808182773e-08
1848,2.3089786793661915e-07
1849,7.373885324568619e-08
1850,1.0522943671986695e-07
1851,5.997978069771648e-08
1852,6.705861865796692e-08
1853,7.882950114890264e-08
1854,6.234797211845944e-08
1855,1.3214273053563375e-07
1856,5.7984518520015627e-08
1857,9.030791758846135e-08
1858,8.270312434888183e-08
1859,6.772590666059841e-08
1860,7.323494441435763e-08
1861,6.838147470489275e-08
1862,6.957699127951855e-08
1863,6.942522734476597e-08
1864,7.767459209162553e-08
1865,1.2755548756127055e-07
1866,4.962925004292629e-08
1867,1.2471726051899168e-07
1868,1.6202786312646822e-07
1869,1.0304225384061283e-07
1870,9.690542412954528e-08
1871,1.1577082958957874e-07
1872,6.228759541482276e-08
1873,1.3229070550124788e-07
1874,7.826737868921185e-08
1875,8.124568529055409e-08
1876,6.166934962692494e-08
1877,1.199854282596391e-07
1878,8.394333572692148e-08
1879,1.1424438006724102e-07
1880,6.99545257276668e-08
1881,7.669758161910067e-08
1882,8.652000360598322e-08
1883,7.64639978001469e-08
1884,6.205595148855991e-08
1885,1.005519196795035e-07
1886,7.550552844071134e-08
1887,8.618180658004349e-08
1888,7.735550155985038e-08
1889,5.701274446989757e-08
1890,7.537544632896243e-08
1891,5.609313546983685e-08
1892,8.274436424926535e-08
1893,7.020594949835868e-08
1894,7.624862519151065e-08
1895,9.569597381187123e-08
1896,6.191880430606034e-08
1897,4.4865694825979574e-08
1898,6.5636914792222e-08
1899,4.311511325738593e-08
1900,4.983411017178696e-08
1901,3.353243371861936e-08
1902,7.021706238674597e-08
1903,5.994244389739833e-08
1904,4.192207825326477e-08
1905,9.753834717685095e-08
1906,4.423998589686562e-08
1907,5.914269962659091e-08
1908,4.7640472899956876e-08
