year,bon_ADJ air_NOUN,bon_ADJ fer_NOUN
1800,7.105811619112501e-07,1.5091990235305275e-07
1801,7.524536727032682e-07,1.73826322225068e-07
1802,6.713520406265161e-07,1.8350289110458107e-07
1803,7.196751994342776e-07,1.4822578009443532e-07
1804,1.3199684190112748e-06,1.928043786847411e-07
1805,6.680762680844055e-07,1.3077237781544682e-07
1806,1.550337970002147e-06,1.3255677799861587e-07
1807,5.181458391234628e-07,6.547996633798903e-08
1808,4.849398576034503e-07,3.580396992219903e-07
1809,4.6084223637166133e-07,2.0331275152329908e-07
1810,1.0881589105338207e-06,1.6848912309797015e-07
1811,1.2911444855490117e-06,3.6101906175645126e-07
1812,7.841592264412611e-07,5.761169745710504e-07
1813,9.144858381660015e-07,6.614205716459765e-08
1814,3.776012533762696e-07,1.541871768040437e-07
1815,3.3985017466875433e-07,3.236668177919455e-08
1816,4.102158772667508e-07,4.8669683394564345e-08
1817,8.593941061008081e-07,2.16405396713526e-07
1818,9.274676244785951e-07,1.5259107044585107e-07
1819,5.527460871235235e-07,5.2790355198339967e-08
1820,8.28280406039994e-07,1.886770490955314e-07
1821,7.632792176082148e-07,6.409967312492881e-08
1822,6.977828377330297e-07,4.912551787583652e-08
1823,7.372484560619341e-07,1.1365089847004128e-07
1824,9.810596566239838e-07,1.1031657720650401e-07
1825,1.3498744237949722e-06,1.2679838334861415e-07
1826,5.460950092128769e-07,1.6294771398861485e-07
1827,5.03263095197326e-07,2.553184685893939e-07
1828,5.971168093310553e-07,1.2657775982916064e-07
1829,6.198406481416896e-07,3.197794740117388e-07
1830,4.98880751820252e-07,1.5968359434737067e-07
1831,3.3365179774591525e-07,1.5903030714525812e-07
1832,6.19672618995537e-07,4.19429042608499e-08
1833,6.278326623032626e-07,1.5174553880115127e-07
1834,4.667265329771908e-07,8.307732457524253e-08
1835,6.723585102008656e-07,2.662206952663837e-07
1836,5.322834226717532e-07,1.0215540413582858e-07
1837,4.007745246781269e-07,2.101283058664194e-07
1838,6.059675570213585e-07,2.2786905162774929e-07
1839,4.1459446720182314e-07,2.3491357126204093e-07
1840,3.59887414425053e-07,4.2039946634986336e-08
1841,4.0898894715368783e-07,8.025685360735224e-08
1842,4.0786251842561683e-07,1.1135720257016146e-07
1843,5.180360744816426e-07,6.911086103400521e-08
1844,4.2975435121661576e-07,1.1416207712500182e-07
1845,4.213072202219337e-07,6.082448322786149e-08
