year,un_DET enfant_NOUN
1800,2.0292437852731382e-05
1801,2.2368829377228394e-05
1802,2.177418446080992e-05
1803,2.264148884023598e-05
1804,2.5173329731842387e-05
1805,2.6097618047060678e-05
1806,2.177677322379168e-05
1807,2.667596936589689e-05
1808,3.0410713407036383e-05
1809,2.217238409230049e-05
1810,2.7608814662016812e-05
1811,2.6527378395257983e-05
1812,2.764561395451892e-05
1813,3.57886028723442e-05
1814,1.876992826055357e-05
1815,1.9870446180902945e-05
1816,1.7344947877973027e-05
1817,1.8726073108155106e-05
1818,2.224253216809302e-05
1819,2.170925722566608e-05
1820,2.1250494569358125e-05
1821,2.4565953140154306e-05
1822,1.999308324229787e-05
1823,1.9410585537116276e-05
1824,2.0235090914866305e-05
1825,2.197486378463509e-05
1826,2.095948002533987e-05
1827,2.5200946993209072e-05
1828,2.239233845102717e-05
1829,2.243771723442478e-05
1830,2.24402410822222e-05
1831,2.4305130864377134e-05
1832,2.5900420382640732e-05
1833,2.403371172476909e-05
1834,2.3505282115365844e-05
1835,2.715602363423386e-05
1836,2.497632419817819e-05
1837,2.35155832797318e-05
1838,2.0252571744094894e-05
1839,2.108209446305409e-05
1840,2.1832107790942246e-05
1841,2.2356350768859556e-05
1842,2.4524745413145865e-05
1843,2.4363053967135784e-05
1844,2.3505860895056685e-05
1845,2.2520683501170424e-05
1846,2.224710544851405e-05
1847,2.1443457285386103e-05
1848,1.987411053505639e-05
1849,1.939247943028022e-05
1850,2.3390806518364116e-05
1851,2.007516752655647e-05
1852,2.3394342974825122e-05
1853,2.3266646849151584e-05
1854,2.2121060624158417e-05
1855,2.9333033467082714e-05
1856,2.3590898535985616e-05
1857,2.1932620370535005e-05
1858,2.262786858864274e-05
1859,2.3485103724851797e-05
1860,2.3545490876131225e-05
1861,2.3659517864871304e-05
1862,2.3839605887587823e-05
1863,2.220958106136095e-05
1864,2.2257606701714394e-05
1865,2.3472091356779856e-05
1866,2.2829942849966756e-05
1867,2.199148582349153e-05
1868,2.1618865048367297e-05
1869,2.4554822061872983e-05
1870,2.1823216911798227e-05
1871,1.811123104289436e-05
1872,1.9814712572951976e-05
1873,2.335499493710813e-05
1874,2.037700119217334e-05
1875,2.3330099111262825e-05
1876,2.2553448502549145e-05
1877,2.1897341639487422e-05
1878,2.1424875058073667e-05
1879,2.2805500293543446e-05
1880,2.1961228867439786e-05
1881,2.2178152107699134e-05
1882,2.198739662162552e-05
1883,2.1337248654162977e-05
1884,2.2427945623348933e-05
1885,2.0852920101788186e-05
1886,2.0490393694672093e-05
1887,2.2809450229033246e-05
1888,2.085745268232131e-05
1889,2.0559046333801234e-05
1890,2.0341538743195997e-05
1891,2.0473994482017588e-05
1892,2.0687343976533157e-05
1893,2.044902191755682e-05
1894,1.967907712696615e-05
1895,2.043921404037974e-05
1896,2.0775822690666246e-05
1897,2.1638083808284136e-05
1898,2.1547016103795613e-05
1899,2.162057091936731e-05
1900,2.0911637648168835e-05
1901,2.0871704805358604e-05
1902,1.849654893248953e-05
1903,1.976642556655861e-05
1904,2.017043129853846e-05
1905,2.0800954871447175e-05
1906,2.0284548668314528e-05
1907,2.0738515104312683e-05
1908,2.169115009564848e-05
1909,2.2060043420424336e-05
1910,2.176672524001333e-05
1911,2.134002033926663e-05
1912,2.1983757847010565e-05
1913,2.160066856049525e-05
1914,2.0029291135870153e-05
1915,1.5596550440477586e-05
1916,1.5708774185441143e-05
1917,1.6683222384017427e-05
1918,1.6323289514730277e-05
1919,1.8031729723588796e-05
1920,1.9171375470250496e-05
1921,1.979970556931221e-05
1922,1.9721959802154743e-05
1923,2.0680928628280526e-05
1924,2.0265633111193893e-05
1925,2.1394756231529755e-05
1926,2.076079761081928e-05
1927,2.3787985696799296e-05
1928,2.0585155311891867e-05
1929,2.012068750900653e-05
1930,2.091372459744889e-05
1931,1.917582562782627e-05
1932,1.7583480598659662e-05
1933,1.8141998907594825e-05
1934,1.8190434388998256e-05
1935,1.941734399224515e-05
1936,1.9599600364017533e-05
1937,1.7334192307316698e-05
1938,1.9032934574170213e-05
1939,1.9134386661789904e-05
1940,1.7570439126757265e-05
1941,1.8479357777323457e-05
1942,1.8335741060582222e-05
1943,2.0148451994828065e-05
1944,1.9272691361038596e-05
1945,1.823843513193424e-05
1946,2.061854695512011e-05
1947,1.960864005923213e-05
1948,1.9164963532602997e-05
1949,1.8129069871974934e-05
1950,2.035714567227842e-05
1951,2.036647515524237e-05
1952,1.953319474523596e-05
1953,1.881002538084431e-05
1954,2.1296310478646774e-05
1955,1.985994538244995e-05
1956,2.1377262328314828e-05
1957,1.867815376499493e-05
1958,1.9573782651605143e-05
1959,1.8603344528855814e-05
1960,1.9929924519601627e-05
1961,1.999958101350785e-05
1962,1.9497075754770776e-05
1963,1.962447163350589e-05
1964,1.9681029698404018e-05
1965,1.8469241126695124e-05
1966,1.9803853206212807e-05
1967,2.041602590452385e-05
1968,2.0029020220135862e-05
1969,1.7861370565697143e-05
1970,1.8948587012346252e-05
1971,1.962405360700359e-05
1972,1.87624859790958e-05
1973,1.9752154344132578e-05
1974,1.858463895132445e-05
1975,1.94652955087804e-05
1976,1.945455892382597e-05
1977,1.952619561507163e-05
1978,2.157979179173708e-05
1979,2.193846228237817e-05
1980,2.0895770489914867e-05
1981,2.2932014644538867e-05
1982,2.1476096094374952e-05
1983,2.1227671140877646e-05
1984,2.243926405753882e-05
1985,2.2498788780467294e-05
1986,2.2019543735041225e-05
1987,2.3084221311364672e-05
1988,2.332179690256453e-05
1989,2.20293220536405e-05
1990,2.262770192373864e-05
1991,2.4133997158060083e-05
1992,2.3005670072961948e-05
1993,2.3932699377837707e-05
1994,2.456216770951869e-05
1995,2.3806727426745056e-05
1996,2.3539384528703522e-05
1997,2.4931053985710605e-05
1998,2.5546682877575222e-05
1999,2.6702314130488958e-05
2000,2.55773103390311e-05
2001,2.519065265005338e-05
2002,2.670661217507586e-05
2003,2.7593780146162317e-05
2004,2.821004488851031e-05
2005,2.871185472486104e-05
2006,2.9371261689448147e-05
2007,3.2013356189963815e-05
2008,3.2150481501957984e-05
2009,3.34245535213995e-05
2010,3.75782460650953e-05
2011,4.011193618680409e-05
2012,4.398158489493653e-05
2013,4.389218224787328e-05
2014,4.3253250169073e-05
2015,4.1529978943799506e-05
2016,4.125550140088308e-05
2017,4.145375214648084e-05
2018,4.297703230804473e-05
2019,4.220150117362209e-05
