year,aucun_DET or_NOUN,aucun_DET fort_ADJ
1800,0.0,9.432493897065797e-09
1801,4.7623651688866175e-09,2.8574191901498125e-08
1802,1.3427040812530322e-08,4.4756802708434407e-08
1803,1.950339223455444e-09,5.851017448321727e-09
1804,2.4718509461507665e-09,9.887403784603066e-09
1805,1.7057265822018053e-08,5.401467717547348e-08
1806,2.881669125542885e-09,8.645007376628655e-09
1807,1.4234775136401367e-08,1.9928686256776018e-08
1808,2.2660739951163578e-09,6.798221985349073e-09
1809,4.518061036407062e-09,5.421673421324158e-08
1810,7.020380277111826e-09,3.042164919975221e-08
1811,1.7549536490690798e-08,0.0
1812,2.1337665856435706e-08,2.6672083208723052e-08
1813,2.8757416448144113e-09,0.0
1814,0.0,4.090680150170556e-08
1815,8.091670444798638e-09,4.315557688983063e-08
1816,4.6352077731626196e-09,4.6352077731626196e-09
1817,1.5568734412774177e-08,1.556873407970727e-09
1818,4.768470951432846e-09,1.9073883805731384e-08
1819,1.035105001712111e-09,2.070209959015301e-08
1820,1.0679833017945839e-08,7.357218123615894e-08
1821,9.861488403650753e-09,4.339054981983281e-08
1822,7.017931125119503e-09,6.717162648328667e-08
1823,9.882686891060644e-10,6.028439258898288e-08
1824,1.51580028528997e-08,3.8737120178211626e-08
1825,9.68598712347557e-09,2.289415235168235e-08
1826,3.5231937367541377e-09,2.4662355713189754e-08
1827,3.6869092223668076e-09,3.410391036240412e-08
1828,5.5033806956039655e-09,1.2841221419535032e-08
1829,2.571952817387313e-09,3.257806824308318e-08
1830,2.922314124020886e-08,1.6698937344017395e-08
1831,1.5591206103948707e-09,2.6505050598757407e-08
1832,2.8412935226818092e-08,3.6530916958099624e-08
1833,5.791814250422078e-09,3.1275796175123105e-08
1834,1.1201437333241415e-08,2.14694217959277e-08
1835,6.050470346963266e-09,1.8907719834260206e-08
1836,1.2097350121642592e-08,7.52724034214225e-08
1837,4.174734336004349e-09,4.87052354003481e-08
1838,1.8936486156917454e-08,4.292270006089893e-08
1839,5.5931801412612e-09,4.544459031308179e-08
1840,7.64362617644565e-09,1.4013314952876499e-08
1841,4.494383976094696e-09,3.5955071808757566e-08
1842,6.708265054555795e-09,2.4149754196400863e-08
1843,2.953455480181333e-09,1.4767278067040479e-08
1844,3.293136707771538e-09,1.5916826967554698e-08
1845,5.580227946389016e-10,1.5066614622583074e-08
1846,7.610851504580296e-09,2.5759806732139623e-08
1847,2.7505439703645607e-08,4.0988498817284835e-08
1848,4.34441957963827e-08,1.367687652020777e-08
1849,6.703531951757213e-09,4.1897072478036534e-09
1850,1.0183494048021657e-08,3.8018377779280854e-08
1851,1.0319102239364497e-08,2.5152811389261842e-08
1852,2.018269107395554e-08,1.8229528109259263e-08
1853,1.4929829816878737e-08,1.6721408258035808e-08
1854,6.754363734984281e-09,3.013485283531736e-08
1855,1.0613874223963649e-09,2.865746040470185e-08
1856,1.1907535180100126e-08,1.7084724746041502e-08
1857,1.2691923956253959e-08,3.5635014938861787e-08
1858,9.787352261980686e-09,2.300027723833864e-08
1859,4.073738679721828e-09,1.629495471888731e-08
1860,1.0985241161165504e-08,1.373155189554609e-08
1861,4.7159637306393165e-09,3.159695793897299e-08
1862,7.228778020618165e-09,2.2589931703009825e-08
1863,1.1987090431375691e-08,2.547256650053953e-08
1864,5.274200631788517e-09,1.1507347075223606e-08
1865,1.4120533631256649e-09,2.729969716952496e-08
1866,4.379051787850585e-09,2.4814626797819983e-08
1867,9.7056229719783e-10,1.8925964795357686e-08
1868,9.87974813071446e-10,1.679557115608077e-08
1869,1.953407657850903e-09,6.8369265804335555e-09
1870,1.3188312664169644e-08,2.1789386295267832e-08
1871,2.1242354542039266e-09,4.2484709306123136e-08
1872,5.442605366390296e-09,1.4513614310374123e-08
1873,1.1972008939764578e-09,1.1373408881354408e-08
1874,5.377148393215236e-09,2.0911132381229436e-08
1875,3.4329162845736505e-09,1.7736734303497315e-08
1876,6.650616279912924e-09,1.3905834261862537e-08
1877,7.421779302241305e-09,5.566334504436554e-09
1878,7.2469061862534545e-09,3.38188961279684e-08
1879,3.6655952717623563e-09,1.4662380642960215e-08
1880,3.8507077526617195e-09,1.7328184442888528e-08
1881,2.7890030285249168e-09,1.6036767080951364e-08
1882,5.989846618703609e-09,2.529046416732683e-08
1883,2.5277355764075082e-09,4.423537369735442e-09
1884,6.601696966868076e-09,1.650424241717019e-08
1885,3.2228177904158883e-09,1.353583467533781e-08
1886,3.872078324640427e-09,1.0325542199041138e-08
1887,6.528924512139156e-09,1.3057849246322917e-08
1888,8.87686035788704e-09,1.7753721825997104e-08
1889,4.385595775424633e-09,8.14467782106476e-09
1890,3.277193239004106e-09,1.5075089176974643e-08
1891,5.736798147637501e-09,2.1672347472190268e-08
1892,6.2685125978845235e-09,4.387958441043338e-09
1893,8.005941742883493e-09,6.158416554491453e-10
1894,3.150769645188234e-09,8.822155006527055e-09
1895,1.1435367985868083e-08,1.5648397688750038e-08
1896,1.7691086373616827e-09,8.845543353341867e-09
1897,5.826713556089658e-09,2.3889525024856084e-08
1898,4.52668391659472e-09,9.619203211741478e-09
1899,4.9748205555033564e-09,1.0502398950507086e-08
1900,3.6337372000261325e-09,1.2458527431924438e-08
1901,2.794369458047896e-09,1.0059729937950124e-08
1902,8.838511256215043e-09,7.365425713778961e-09
1903,3.2401321625741275e-09,1.6200660368781428e-08
1904,8.599400302955473e-09,1.3436562973367927e-08
1905,5.676835002077496e-09,2.0643036169332163e-09
1906,5.144184633820714e-09,6.173021205313489e-09
1907,1.028568674676933e-09,7.714264949054694e-09
1908,1.964555629285769e-09,6.384805573134145e-09
1909,2.2003934230241384e-09,4.400786735025974e-09
1910,2.67207544979442e-09,4.275320542035388e-09
1911,4.788336838146279e-09,1.0640748726586935e-08
1912,9.376958209905695e-09,1.3023552902780011e-08
1913,7.424185766158331e-09,1.1666577037772186e-08
1914,1.3393487430235496e-09,1.2054138576189644e-08
1915,1.5314990164938536e-08,5.301342920205343e-08
1916,1.2086208478478966e-08,4.724608659856244e-08
1917,7.676497326691845e-09,7.676496771580332e-09
1918,1.4932289182922887e-08,1.033773866510046e-08
1919,6.445494027396137e-09,2.762354434082681e-08
1920,6.057785384427916e-09,1.817335615328375e-08
1921,4.543648624011354e-09,3.7863738810983705e-09
1922,8.853522359686394e-09,8.115729144275718e-09
1923,7.431163684401554e-09,6.369568872344189e-09
1924,6.4458122173149945e-09,9.02413699321869e-09
1925,2.1996355847875293e-09,1.8696902470694e-08
1926,1.1146138456652466e-09,4.458455382660986e-09
