year,aucun_DET art_NOUN,aucun_DET fard_NOUN
1800,4.653363534501409e-07,3.144164484325529e-09
1801,3.262220005240124e-07,2.3811825844433088e-09
1802,3.6924362234458386e-07,4.475680270843441e-09
1803,4.07620897036054e-07,1.5602713787643552e-08
1804,4.2763021212977037e-07,3.460591457837836e-08
1805,2.9281640467893055e-07,8.528632911009026e-09
1806,2.9969358461556794e-07,0.0
1807,3.672572095325677e-07,8.540865792383556e-09
1808,2.9232354936681304e-07,3.172503681980743e-08
1809,3.3885456618421017e-07,1.8072244145628247e-08
1810,4.3292344242829017e-07,4.680253518074551e-09
1811,4.4876673888083474e-07,1.504245972228091e-08
1812,2.90725702623007e-07,0.0
1813,3.422132679453682e-07,4.888760685162197e-08
1814,2.3285410222229075e-07,3.1466772298927026e-08
1815,1.3486118088934518e-07,1.0788894222457657e-08
1816,3.082413133626005e-07,9.270415546325239e-09
1817,3.3472779537024877e-07,1.556873407970727e-09
1818,3.6359591715218187e-07,8.344824387052086e-09
1819,4.3681430617059647e-07,1.3456364911235141e-08
1820,4.010870533477373e-07,2.1359666035891678e-08
1821,4.3094705048929427e-07,1.676452932031225e-08
1822,3.699452264527281e-07,1.1028177482330648e-08
1823,2.678208073092492e-07,2.4706716672540097e-08
1824,2.4673860465895814e-07,5.894778887238772e-09
1825,3.592620760883847e-07,2.6416328680056722e-08
1826,3.223722221390446e-07,2.025836387531399e-08
1827,3.5763018146894865e-07,9.217273166939322e-09
1828,2.9993424277563463e-07,3.668920500743411e-09
1829,3.523575387021083e-07,1.2859763920403111e-08
1830,3.7572610267488926e-07,3.1310507520032616e-09
1831,2.9311467653059253e-07,1.7150327380477393e-08
1832,3.0036533260613396e-07,5.411987746839486e-09
1833,1.8881314345353672e-07,1.1583628500844156e-09
1834,2.389639881528183e-07,4.667265685043276e-09
1835,2.942041064102341e-07,1.1344631900556124e-08
1836,1.6197008106955124e-07,2.083432448785061e-08
1837,2.824903803100298e-07,2.1569462660409044e-08
1838,2.2155688839120558e-07,1.1361890983607736e-08
1839,2.0834595781948906e-07,3.4957374772659477e-09
1840,2.8217719427736654e-07,1.273937771939515e-08
1841,2.0353138996398457e-07,3.2102742686390684e-09
1842,1.9923546545896897e-07,1.0733224087289273e-08
1843,2.539971799553342e-07,1.5357969118667825e-08
1844,1.822202317924848e-07,1.097712254427563e-09
1845,2.2209307015685908e-07,6.696273757711424e-09
1846,2.3183824837680334e-07,8.196302303531411e-09
1847,1.828302798045911e-07,1.6179670936367074e-08
1848,2.1239385716853576e-07,5.63165514222419e-09
1849,1.4831564332240532e-07,1.6758829879393033e-09
1850,1.5886250626095944e-07,4.752297222410107e-09
1851,1.7413484876271923e-07,5.8044946626978344e-09
1852,2.0247796683747765e-07,3.906327261660181e-09
1853,1.8931023682000614e-07,1.4332636411040767e-08
1854,2.2445271019577717e-07,1.454786069388092e-08
1855,2.0909331510665652e-07,1.9104973603134567e-08
1856,1.863788181566406e-07,1.0354378465748937e-09
1857,1.5279123666278593e-07,8.298565390418844e-09
1858,1.83023488753431e-07,8.808616946964776e-09
1859,1.7669841834155875e-07,7.129042689513199e-09
1860,1.6477862008201782e-07,2.746310290291376e-09
1861,1.8863855422157627e-07,1.2733101684148096e-08
1862,1.3870218484868246e-07,1.0843167252971853e-08
1863,2.0627783570148495e-07,9.489779628779615e-09
1864,2.008991043522812e-07,9.109982990196386e-09
1865,2.0663046895741388e-07,7.530950973944073e-09
1866,1.552130568516219e-07,1.5083399418358567e-08
1867,1.572310885933348e-07,7.76449837758264e-09
1868,1.556060259533254e-07,1.1361710461343932e-08
1869,1.9582912436089117e-07,3.906815315701806e-09
1870,1.9438425535867054e-07,2.8670243956696595e-09
1871,1.0621176937952725e-07,9.559059321873065e-09
1872,1.390888025865067e-07,1.8746751706544273e-08
1873,1.7060113011169165e-07,3.591602570907071e-09
1874,1.0455565763178853e-07,5.974609251779839e-09
1875,1.7279011910176223e-07,9.154443425529735e-09
1876,1.6384699641491807e-07,1.5115036333668286e-08
1877,2.1399463734361746e-07,3.710889595609501e-09
1878,1.6788667034361993e-07,1.268208649207736e-08
1879,1.857234916968764e-07,1.0996785704264767e-08
1880,2.1628142410357043e-07,1.0910338410496934e-08
1881,1.0807386413569375e-07,1.1853263259808955e-08
1882,1.2578677788255277e-07,3.9932310791357395e-09
1883,1.2765064438813312e-07,1.579834751908038e-08
1884,1.3797546571936437e-07,5.941527270181268e-09
1885,1.2053338704909322e-07,7.7347630522695e-09
1886,9.938334233350332e-08,1.355227396970804e-08
1887,1.2013220995754637e-07,7.1818169189441505e-09
1888,1.0335201872102573e-07,8.876860135842435e-09
1889,1.1841108510379783e-07,6.265136853755848e-09
1890,1.1601264154892377e-07,3.9326319978272295e-09
1891,9.688814439634541e-08,5.099376032546843e-09
1892,1.1157951762541529e-07,6.8953633913793055e-09
1893,8.621783220696955e-08,1.2316833108982905e-09
1894,8.633108894429142e-08,6.9316932194141145e-09
1895,1.0532575256405607e-07,3.0093072478365457e-09
1896,1.1204355349070383e-07,4.1279202278587945e-09
1897,8.448734689636694e-08,2.9133566670225264e-09
1898,9.166534586935171e-08,4.52668391659472e-09
1899,1.0170744424442546e-07,9.39688327150634e-09
1900,1.1368406716005808e-07,5.19105292084987e-09
1901,1.313353630849612e-07,2.794369458047896e-09
1902,8.789407868192711e-08,6.38336894454028e-09
1903,1.1934486887632545e-07,2.7001101354784396e-09
1904,1.1286712631175533e-07,4.837162670412454e-09
1905,1.3159935524642563e-07,1.0321517862621477e-08
