year,ancien_ADJ acteur_NOUN,ancien_ADJ facteur_NOUN
1800,6.288328968651058e-09,0.0
1801,9.524730337773235e-09,0.0
1802,2.2378401354217203e-09,2.2378401354217203e-09
1803,1.950339223455444e-09,0.0
1804,3.460591457837836e-08,0.0
1805,1.7057265822018053e-08,0.0
1806,4.3225035994964855e-08,0.0
1807,3.131650672116848e-08,0.0
1808,5.211970011131939e-08,0.0
1809,4.292158095609011e-08,0.0
1810,6.786367379163494e-08,0.0
1811,6.016983888912364e-08,0.0
1812,5.3344164641089264e-09,0.0
1813,1.4091133948568313e-07,0.0
1814,8.810695817373926e-08,0.0
1815,5.664169577812572e-08,2.697223555614414e-09
1816,1.8540831092650478e-08,2.3176038865813098e-09
1817,2.3353100786493997e-08,1.556873407970727e-09
1818,5.960588467246453e-09,1.9073883805731384e-08
1819,4.140420006848444e-09,2.070210003424222e-09
1820,3.20394981656591e-08,7.119888678630559e-09
1821,1.0847637454958203e-08,0.0
1822,3.308453244699194e-08,0.0
1823,2.668325471688604e-08,0.0
1824,3.873711751367637e-08,0.0
1825,4.578830248291865e-08,0.0
1826,3.170874407487645e-08,0.0
1827,2.5808365222701468e-08,9.217273055917019e-10
1828,2.5682442839070063e-08,1.8344602503717056e-09
1829,6.77280880267972e-08,8.57317605795771e-10
1830,6.053364898228608e-08,1.2524203008013046e-08
1831,6.392394169552063e-08,0.0
1832,2.1647950987357945e-08,0.0
1833,3.1275796175123105e-08,3.4750886612755494e-09
1834,4.573920264761e-08,2.8003592777992026e-09
1835,3.100866052818674e-08,0.0
1836,4.301280043250699e-08,0.0
1837,3.478945487245255e-08,8.349468672008697e-09
1838,4.292270006089893e-08,1.0730675015224733e-08
1839,2.307186797168015e-08,6.292327547896548e-09
1840,8.917564464638872e-09,0.0
1841,3.017657945747487e-08,1.3483152372373297e-08
1842,2.0795620780944546e-08,6.037438549100216e-09
1843,2.126487963494128e-08,2.3627644285539873e-09
1844,2.9089374464774664e-08,6.586273748609983e-09
1845,2.3994980058450466e-08,0.0
1846,7.610851504580296e-09,1.1709002656346001e-09
1847,5.015698079091635e-08,1.240441438454809e-08
1848,4.505324113779352e-08,6.43617736884039e-09
1849,2.76520690789539e-08,4.1897072478036534e-09
1850,7.400005586077896e-08,6.1100964288129944e-09
1851,1.9993260380601896e-08,3.8696632564949596e-09
1852,7.161600201754936e-09,7.161600201754936e-09
1853,4.717826107558665e-08,8.957897534855874e-09
1854,1.4028294081924741e-08,4.676098175337984e-09
1855,4.617035287424187e-08,1.1144567935161831e-08
1856,3.675804194358534e-08,4.659470143053568e-09
1857,1.2203773103180993e-08,2.147863931156735e-08
1858,3.0830157982109085e-08,6.361778659424999e-09
1859,1.629495471888731e-08,1.2730433596175317e-08
1860,2.288591893773173e-08,4.57718396518203e-09
1861,2.9238974796896855e-08,1.3204698667834691e-08
1862,2.8915112193494963e-08,1.536115412648087e-08
1863,1.6482248454963155e-08,7.491931519609807e-09
1864,2.1096803859421698e-08,8.63051052846231e-09
1865,4.848049783845454e-08,1.3649848362717876e-08
1866,4.81695678899996e-08,9.731225603104576e-09
1867,4.852811663624834e-08,1.3102591012170706e-08
1868,2.3217408662290495e-08,1.0867722721741302e-08
