year,bien_ADV aux_ADP,bien_ADV faux_ADJ
1800,1.4431715271712164e-06,1.5720821977538435e-08
1801,1.4715708402945893e-06,4.0480102825313224e-08
1802,1.4657853171229362e-06,6.489736392722989e-08
1803,1.4783571486987057e-06,9.751696339321825e-09
1804,1.5127727692743065e-06,6.921182915675672e-08
1805,1.438496155969915e-06,3.695740957709859e-08
1806,1.115205918722495e-06,5.76333825108577e-08
1807,1.3380689551922842e-06,3.701041606518629e-08
1808,1.4412230484595057e-06,9.064295980465431e-09
1809,1.1792138820965192e-06,4.969867006821005e-08
1810,1.3549333743867464e-06,6.786367379163494e-08
1811,1.060493445947941e-06,5.0141535368197765e-09
1812,1.490969452788704e-06,8.00162425207418e-09
1813,1.5845336065467563e-06,1.6966875193702435e-07
1814,1.2177640655863797e-06,3.4613449884091096e-08
1815,1.2461173355404753e-06,4.8550024445148665e-08
1816,1.2306476264711819e-06,4.4034472068688046e-08
1817,1.3498092812369578e-06,5.916118794857539e-08
1818,1.4722653531862306e-06,6.795070817133819e-08
1819,1.4170587974149385e-06,8.384350280721264e-08
1820,1.5521356999670388e-06,7.357218123615894e-08
1821,1.6656053958286066e-06,7.198886464721e-08
1822,1.7584929992153775e-06,2.5064039732569654e-08
1823,1.6454673641419504e-06,6.81905376609393e-08
1824,1.3650624168803915e-06,6.82110155025839e-08
1825,1.734672309794405e-06,9.069606221601134e-08
1826,1.609218770681764e-06,6.429828403042848e-08
1827,1.5577192016280605e-06,3.502563927781921e-08
1828,1.7500750573162804e-06,3.118582370120748e-08
1829,1.568033894727705e-06,8.830371456269859e-08
1830,1.799310552996758e-06,5.844628248041772e-08
1831,1.6666999727021903e-06,5.456922025359745e-08
1832,1.5735354281787295e-06,6.629684889958298e-08
1833,1.6298165519401664e-06,2.89590715851773e-08
1834,1.7007515680234064e-06,1.213489042584115e-08
1835,1.663123043726955e-06,4.5378527602224494e-08
1836,1.951705826286343e-06,3.091545153210973e-08
1837,1.9502967916196212e-06,2.7831564608504777e-08
1838,1.8172713680542074e-06,2.3354999711955315e-08
1839,1.8031014406005852e-06,2.3771015378315496e-08
1840,1.7389249933330575e-06,2.4841785517537573e-08
1841,1.8600329667606275e-06,5.008027770259105e-08
1842,1.791777549442486e-06,2.683306021822318e-08
1843,1.9823594357148977e-06,2.126487963494128e-08
1844,1.8287886405232712e-06,4.390849017710252e-09
1845,1.7884630096887122e-06,2.4553003186156275e-08
1846,1.8160662875743583e-06,3.9810608143397985e-08
1847,1.9437177343206713e-06,2.480882876909618e-08
1848,2.0346365090517793e-06,2.976732105253177e-08
1849,2.0621739622583846e-06,2.3462362719328667e-08
1850,1.9253593563917093e-06,2.987158254086353e-08
1851,1.8922653453046223e-06,1.483370937194195e-08
1852,1.9056366227232502e-06,2.6042181744401205e-08
1853,1.985667267945246e-06,1.6124216628554677e-08
1854,1.912524112412939e-06,3.636965217879151e-08
1855,2.0771351501025492e-06,2.388121700391821e-08
1856,2.051720002782531e-06,4.245295315286057e-08
1857,1.926731556523009e-06,2.0502337605421417e-08
1858,2.0631737243093085e-06,3.6213201326518174e-08
1859,2.1453327008202905e-06,3.360834455179429e-08
1860,1.9512535800458863e-06,2.8378540406492903e-08
1861,2.083041181322187e-06,4.33868656557479e-08
1862,2.090472207783023e-06,1.355395884417021e-08
1863,2.093245484502404e-06,3.096664968893492e-08
1864,2.2683857423544396e-06,3.0206784629172034e-08
1865,2.0766597117471974e-06,3.95374932793402e-08
1866,2.1471948912221706e-06,1.5083399418358567e-08
1867,2.0920469978591427e-06,2.038180824115443e-08
1868,2.1730506887251977e-06,1.877152122631287e-08
1869,2.150213504137355e-06,3.809144999422642e-08
1870,2.1783650936413324e-06,2.5229814681893004e-08
1871,2.387640734013985e-06,6.37270636261178e-09
1872,2.288917812620639e-06,1.3304146229131675e-08
1873,2.1974622086418094e-06,1.496501056408306e-08
1874,2.321135752936243e-06,2.5093358502203955e-08
1875,2.4419477995252237e-06,2.5174719198162165e-08
1876,2.2642325347987935e-06,2.0556450763820067e-08
1877,2.4374360236834036e-06,1.9172929910382663e-08
1878,2.388459506619256e-06,2.536417298415472e-08
1879,2.306881242475356e-06,5.254019797007459e-08
1880,2.3861553017923143e-06,2.1820676820993867e-08
1881,2.4522310013708193e-06,2.8587281875047665e-08
1882,2.3819623038434656e-06,1.9966154951589488e-08
1883,2.4310497792612296e-06,2.0853818227806187e-08
1884,2.4459286578348838e-06,1.5844072720483382e-08
1885,2.507996896383702e-06,1.6758653131887513e-08
1886,2.48329297392047e-06,9.680196200179125e-09
1887,2.575007783889305e-06,2.6768590899450828e-08
1888,2.6307209282094846e-06,2.028996703984376e-08
1889,2.64075515588047e-06,1.3783300722991498e-08
1890,2.6820548555406276e-06,1.4419650362640368e-08
1891,2.8958081657037837e-06,1.529812720946211e-08
1892,2.8145620944997063e-06,1.3790726782758611e-08
1893,2.952344857476419e-06,2.9560400349737392e-08
1894,2.966764668599353e-06,8.822155450616265e-09
1895,2.862453129637288e-06,1.745398137131815e-08
1896,2.7993196454190183e-06,3.007484750128242e-08
1897,2.826538775480003e-06,9.905413378419325e-09
1898,3.002888888659072e-06,1.3014216371232123e-08
1899,2.6532375159149524e-06,2.266307141951529e-08
1900,2.937097860922222e-06,1.764958135197503e-08
1901,2.9843865831935545e-06,1.7325090695408107e-08
1902,3.038974682567641e-06,8.347482705062248e-09
1903,2.926379465861828e-06,1.7280704867062013e-08
1904,3.02967623611039e-06,9.674325340824907e-09
1905,2.9927241484983824e-06,2.0643035725242953e-08
1906,3.0278670237748884e-06,2.4692084821253957e-08
1907,2.9540492505475413e-06,2.1599941391059474e-08
1908,2.8682511583610903e-06,2.504808449543816e-08
1909,3.0172893730195938e-06,2.585462333115629e-08
1910,2.9002706014580326e-06,8.01622590529405e-09
1911,2.87513012153795e-06,2.3409645777405785e-08
1912,2.84226030089485e-06,2.6047105805560022e-08
1913,3.075733957302873e-06,2.2802856491921375e-08
1914,2.7001269700122066e-06,2.4108278040557707e-08
1915,2.7555201995710377e-06,1.8849219074468238e-08
1916,2.8973936423426494e-06,7.69122365795738e-09
1917,2.914875722126453e-06,1.973956464951243e-08
1918,2.9003099371038843e-06,2.756730310693456e-08
1919,2.8176016257930314e-06,3.1306683467846597e-08
1920,2.951655915239826e-06,1.817335615328375e-08
1921,2.96927419185522e-06,7.572747762196741e-09
1922,3.0065086775721284e-06,1.9182632371439468e-08
1923,2.5499507501081098e-06,2.441668023323018e-08
