year,un_DET âne_NOUN,un_DET ane_NOUN,un_DET fan_NOUN
1800,1.968247005379453e-06,7.860411344040585e-08,3.144164395507687e-08
1801,1.4525213458682629e-06,1.1667795019043581e-07,3.333655573811711e-08
1802,1.8999262181296217e-06,8.056224487518193e-08,1.1189200677108602e-08
1803,2.1648765482495946e-06,2.2818968936633155e-07,3.705644413543041e-08
1804,1.3916520344992023e-06,2.2246658293312294e-08,3.213406074564773e-08
1805,2.80876326996804e-06,3.127165504324125e-08,1.7057265822018053e-08
1806,1.7895165633774468e-06,1.3832011536152322e-07,2.305335300434308e-08
1807,1.6227644152877474e-06,4.839823608548954e-08,1.7081731584767113e-08
1808,2.5719940950352793e-06,6.34500709750796e-08,1.5862517965814504e-08
1809,1.7575257764690377e-06,4.518060991998141e-08,9.036122072814123e-09
1810,2.0101689983675897e-06,8.65846905284684e-08,2.3401266702194334e-08
1811,1.825151883849685e-06,4.262030461887889e-08,3.259199621297171e-08
1812,1.8163688153549629e-06,6.668020668954e-08,2.6672082320544632e-08
1813,1.7340722564540556e-06,4.6011866983164396e-08,1.1502966579257645e-08
1814,1.343631186756511e-06,1.5733385261285093e-08,1.8880061958270744e-08
1815,8.981754504588935e-07,4.585279955726662e-08,2.697223555614414e-09
1816,1.2932229296325204e-06,5.5622493277951435e-08,4.6352077731626196e-09
1817,1.5817834011500054e-06,3.113746827043684e-08,2.0239355080775567e-08
1818,1.7726790346728194e-06,4.53004724842998e-08,9.536941902865692e-09
1819,1.7679593256048065e-06,3.5193570835367893e-08,1.6561680027393777e-08
1820,1.6280812520363952e-06,2.7292906601417144e-08,7.119888678630559e-09
1821,2.1143030721759715e-06,3.352905963982522e-08,2.4653719843392707e-08
1822,1.7905750269164855e-06,2.105379337535851e-08,1.1028177482330648e-08
1823,1.7344115974538e-06,4.4472091786929013e-08,1.482403055863557e-08
1824,1.5806428770304137e-06,2.947389443619386e-08,4.8000343255694133e-08
1825,1.8544262587738558e-06,5.723537999102746e-08,2.993850567456491e-08
1826,1.8990014716280257e-06,3.435113882233054e-08,9.688783109140786e-09
1827,1.376138921926895e-06,5.069500108589864e-08,9.217273166939322e-09
1828,1.645510891989943e-06,3.1185823368140575e-08,2.109629271274116e-08
1829,1.8500913512298212e-06,2.5719527896317373e-08,9.430493719264632e-09
