year,son_DET art_NOUN,son_DET fard_NOUN
1800,9.429349617562366e-06,3.458580977167003e-08
1801,7.50072515387501e-06,2.143064325998978e-08
1802,7.210320831063655e-06,0.0
1803,8.257735927941212e-06,9.751696339321825e-09
1804,1.0690754919551182e-05,4.696516731073075e-08
1805,8.852721435914646e-06,1.9900143755080535e-08
1806,1.11376510858463e-05,2.5935022129885965e-08
1807,9.856158271759341e-06,2.8469550272802735e-08
1808,1.0473793537357778e-05,1.5862517521725295e-08
1809,6.71383854466967e-06,2.2590305626124518e-08
1810,1.107114007936616e-05,1.6380887757350138e-08
1811,1.0111040367632995e-05,5.0141535368197765e-09
1812,1.167170358939984e-05,1.600324939232678e-08
1813,1.2216150807375925e-05,1.1502966579257645e-08
1814,8.367014821430985e-06,1.2586708564299443e-08
1815,6.446364160694884e-06,8.091670666843243e-09
1816,6.21117844445962e-06,5.5622491501594595e-08
1817,7.809276809211951e-06,5.137682246303399e-08
1818,6.792686932044489e-06,3.218717892217171e-08
1819,6.90000979375327e-06,5.175525008560555e-09
1820,7.226686776107272e-06,1.4239777357261119e-08
1821,8.19785518046956e-06,2.1695273910715684e-08
1822,9.42808900106229e-06,2.0051231786055723e-08
1823,9.079224390973195e-06,4.941343334508019e-09
1824,7.807213421529013e-06,1.9368559200927393e-08
1825,8.221642104899729e-06,1.8491431275080572e-08
1826,5.538460349896468e-06,1.2331177634550272e-08
1827,6.381118240028627e-06,5.530363722527909e-09
1828,5.922554905168909e-06,1.0089531543577834e-08
1829,7.336066886409753e-06,1.5431716349212365e-08
1830,6.041884375918016e-06,1.461156973192601e-08
1831,5.023486412625289e-06,4.677361786775691e-08
1832,6.815045551888943e-06,4.058990654698391e-08
1833,5.871741173280043e-06,3.0117434435261714e-08
1834,6.677923273912256e-06,6.534171426153534e-09
1835,5.631475460177171e-06,6.806779140333674e-09
1836,5.702556514108892e-06,3.696412631537527e-08
1837,5.507170861562827e-06,2.1569461661208322e-08
1838,5.211321052911444e-06,8.837027110075724e-09
1839,5.649112125638567e-06,2.9364196407755117e-08
1840,5.762020578004012e-06,1.52872523528913e-08
1841,6.236920846447447e-06,1.8619591202195807e-08
1842,6.659965528399425e-06,3.6224629962333665e-08
1843,6.385370959094416e-06,1.9492807368237663e-08
1844,5.765184795336609e-06,1.4819115712327857e-08
1845,6.1577816836688726e-06,1.7298706300739042e-08
1846,5.876748318200953e-06,1.6978054517835517e-08
1847,6.598069873575696e-06,7.550513103637968e-09
1848,5.613955785577218e-06,9.65426583121598e-09
1849,5.803582666885632e-06,1.256912263158938e-08
1850,6.237050776292108e-06,1.5614690873633208e-08
1851,6.2759488415053966e-06,1.4188765717904062e-08
1852,7.018367981004303e-06,5.859490670445666e-09
1853,6.4514780149238504e-06,2.866527260003693e-08
1854,7.134686221377251e-06,1.6626126253527218e-08
1855,7.226456276043791e-06,4.776243400783642e-08
1856,6.2949444412652156e-06,1.863788057221427e-08
1857,5.937867442185052e-06,2.5871998821092035e-08
1858,5.853325752980254e-06,2.7404585267731818e-08
1859,6.4568756812377615e-06,1.171199848215565e-08
1860,5.873442340487145e-06,1.7393299578394306e-08
1861,6.493881883784525e-06,1.0846716413936974e-08
1862,6.149883049033633e-06,2.25899317307654e-08
1863,5.916128564820156e-06,3.4962344408473456e-08
1864,5.62517487878722e-06,3.8357823917145595e-08
1865,5.3799230030904255e-06,2.2122168596983016e-08
1866,5.481112914651476e-06,1.6056522555984998e-08
1867,5.431266757227604e-06,4.270474107670452e-08
1868,5.46893436847995e-06,2.4699370548830757e-08
1869,5.303990327831798e-06,4.932354202846767e-08
1870,6.145180030614483e-06,2.9243648391741317e-08
1871,3.7970707928991487e-06,1.1683294554032386e-08
1872,4.80158755777893e-06,3.809823923006661e-08
1873,4.779824685385847e-06,5.9860045809045914e-09
1874,4.348320700842123e-06,1.5533982988813477e-08
1875,4.67391539871187e-06,3.089624556196213e-08
1876,5.509128506275829e-06,3.929909553335165e-08
1877,4.843329499237825e-06,4.762308236649915e-08
1878,5.6568143733670695e-06,6.6429977074733415e-09
1879,4.589325207859929e-06,2.7491964260661916e-08
1880,6.126475867063164e-06,3.2089232604448625e-08
1881,4.803360489802344e-06,2.8587281875047665e-08
1882,5.152599115376688e-06,2.4624924321869912e-08
1883,5.379021359885883e-06,2.338155447034751e-08
1884,4.862809916517108e-06,1.4523733327109767e-08
1885,5.103654487470521e-06,2.3848851782304337e-08
1886,5.762943146692123e-06,2.19417763958063e-08
1887,5.4046438009436315e-06,1.7628096316002484e-08
1888,5.2012063491702065e-06,2.2192152115962926e-08
1889,5.148689368184023e-06,1.566284169030041e-08
1890,4.943973564763837e-06,1.4419650362640368e-08
1891,5.016511224198439e-06,2.2309770031370135e-08
1892,4.984093976645454e-06,4.137218190258807e-08
1893,5.550580709723363e-06,1.4164357686752282e-08
1894,5.77536093260278e-06,2.142523314319078e-08
1895,5.7200912664256975e-06,1.3240951446391591e-08
