year,un_DET août_NOUN,un_DET foot_NOUN
1800,1.2576658381391326e-08,0.0
1801,2.3811825844433088e-09,0.0
1802,6.713520406265161e-09,2.2378401354217203e-09
1803,5.851017670366332e-09,0.0
1804,0.0,0.0
1805,1.1371510844071508e-08,0.0
1806,4.034336686942197e-08,0.0
1807,1.7081730252499483e-08,0.0
1808,6.798221985349073e-09,0.0
1809,1.581321340538011e-08,0.0
1810,9.360507036149102e-09,0.0
1811,1.0028307073639553e-08,0.0
1812,0.0,0.0
1813,1.4378708224072057e-08,0.0
1814,2.5173416684509675e-08,0.0
1815,1.0788894222457657e-08,0.0
1816,1.8540831092650478e-08,0.0
1817,1.556873407970727e-09,0.0
1818,8.34482416500748e-09,0.0
1819,4.243930362690662e-08,0.0
1820,9.493184904840746e-09,0.0
1821,4.9307441463142254e-09,0.0
1822,0.0,0.0
1823,7.906149512848515e-09,0.0
1824,6.736890156844311e-09,0.0
1825,1.7610886082763955e-09,0.0
1826,5.284790383086602e-09,0.0
1827,9.217272944894717e-09,0.0
1828,6.420610709767516e-09,9.172301251858528e-10
1829,1.1145128819833872e-08,0.0
1830,7.305785310052215e-09,4.4878394334091354e-08
1831,0.0,0.0
1832,1.3529969367098715e-09,0.0
1833,4.6334514003376626e-09,0.0
1834,7.467624518753269e-09,0.0
1835,1.4369867074037757e-08,5.294161553592858e-09
1836,4.7045251028166035e-09,1.3441500135158435e-09
1837,1.878630495610878e-08,6.957890930081589e-10
1838,1.2624323808552163e-08,0.0
1839,2.4470163673129264e-08,4.894032734625853e-09
1840,2.993753722702053e-08,6.369688665408546e-10
1841,1.1556987367100646e-08,1.2841097074556274e-09
1842,2.0124795163667386e-09,0.0
1843,7.678984337289307e-09,0.0
1844,1.1525978393933656e-08,5.488561272137815e-10
1845,1.618266126657275e-08,0.0
1846,1.2294452345074092e-08,0.0
1847,1.941560512364049e-08,5.393223645455691e-10
1848,4.02261068899179e-09,0.0
1849,2.5976186535103807e-08,0.0
1850,5.431196825611551e-09,0.0
1851,1.2898877521649865e-09,6.449438760824933e-10
1852,6.510545436100301e-09,0.0
1853,2.388772735173461e-09,0.0
1854,1.143046213236687e-08,1.0391328908454511e-09
1855,1.3798036491152743e-08,0.0
1856,1.6049286677422003e-08,0.0
1857,1.3180074864838076e-08,0.0
1858,4.404308306948934e-09,0.0
1859,7.1290429115578036e-09,1.5276520048956854e-09
1860,2.105504681715331e-08,0.0
