year,en_ADP airs_NOUN,en_ADP fers_NOUN
1800,0.0,4.4018303668735825e-08
1801,2.3811825844433088e-09,5.714838380299625e-08
1802,0.0,3.5805442166747525e-08
1803,7.801356671777171e-09,5.812011067973799e-07
1804,2.4718509905596875e-08,1.2606439270257397e-07
1805,3.1271653710973624e-08,1.051864728651708e-07
1806,4.3225035994964855e-08,1.729001475325731e-08
1807,1.4234775136401367e-08,4.555128185756985e-08
1808,2.2660739951163578e-09,9.970725445285211e-08
1809,2.259030518203531e-09,4.066255088197579e-08
1810,9.360507036149102e-09,2.8081521108447305e-08
1811,1.2535384286138651e-08,1.2535383131506705e-07
1812,2.9339290108509886e-08,5.067695729721322e-08
1813,4.3136125782439194e-08,4.026038169513413e-08
1814,0.0,6.293354459785405e-08
1815,3.506390555685357e-08,1.6183340889597275e-08
1816,1.228330006597389e-07,4.8669683394564345e-08
1817,6.227493631882908e-09,6.227493543065066e-08
1818,5.960588467246453e-09,2.1458118837358597e-08
1819,0.0,2.4842520929269085e-08
1820,2.0173018810965004e-08,7.357218478887262e-08
1821,1.676452932031225e-08,2.9584464655840748e-08
1822,1.0025615893027862e-09,2.5064039732569654e-08
1823,1.2847492847356534e-08,4.4472090010572174e-08
1824,1.7684335773537896e-08,8.084268188213173e-08
1825,4.4027217427355936e-09,5.459374596838984e-08
1826,7.0463874735082754e-09,5.813269599030946e-08
1827,5.530363722527909e-09,7.18947319455765e-08
1828,1.0089530988466322e-08,3.118582370120748e-08
1829,1.7146351893870815e-08,7.54439470895818e-08
1830,1.982998831806526e-08,4.279102583382155e-08
1831,0.0,5.456922025359745e-08
1832,2.976593194148336e-08,4.7354894228135436e-08
1833,2.085053074640797e-08,3.4750886612755494e-08
1834,1.8669061851994684e-09,7.280934033460085e-08
1835,6.050470346963266e-09,6.050470346963266e-08
1836,1.1425274948351216e-08,7.997692819117219e-08
1837,2.5048407792382932e-08,8.419048214136637e-08
1838,2.1461350030449466e-08,9.846972393035003e-08
1839,5.2436064379435265e-08,9.648235987924636e-08
1840,7.0066574764382494e-09,3.331347215862479e-07
1841,1.733548060656176e-08,6.099521243640993e-08
1842,6.708265054555795e-09,7.915753030829364e-08
1843,1.3585895075607368e-08,4.8436671562512856e-08
1844,1.0977122322231025e-08,4.720162749549672e-08
1845,5.580227835366713e-09,5.0780073479472776e-08
1846,9.952652035849496e-09,4.9763260401292086e-08
1847,9.168480197274675e-09,7.172987714909596e-08
1848,2.735375304041554e-08,4.505324113779352e-08
1849,6.703531951757213e-09,6.703532151597358e-08
1850,2.0366988096043315e-09,2.851378333446064e-08
1851,3.8696632564949596e-09,5.93348374877678e-08
1852,5.859490670445666e-09,6.185018008864063e-08
1853,1.1943863675867306e-09,1.2839653606988577e-07
1854,7.27393034694046e-09,9.50806624544498e-08
1855,1.2736649068756378e-08,8.384960636931282e-08
1856,1.0872097000458325e-08,1.2632341483964638e-07
1857,7.322263684272912e-09,9.714203441646418e-08
1858,2.4468379322684086e-08,1.0080972501214092e-07
1859,1.3748867822016564e-08,9.01314709533807e-08
1860,1.373155189554609e-08,8.422018260567654e-08
1861,1.2733101684148096e-08,7.969978510491416e-08
