year,mon_DET art_NOUN,mon_DET fard_NOUN
1800,4.62192190298083e-07,0.0
1801,4.857612598829775e-07,0.0
1802,5.616978739908518e-07,0.0
1803,8.132914706138195e-07,0.0
1804,9.318878211317383e-07,0.0
1805,5.628897792320231e-07,2.842877711017877e-09
1806,6.570205428602094e-07,0.0
1807,4.5551283189837477e-07,0.0
1808,4.6454516855476413e-07,2.2660739951163578e-09
1809,5.512034491061968e-07,0.0
1810,7.511806749960215e-07,0.0
1811,6.317833203262069e-07,0.0
1812,6.267939367532449e-07,0.0
1813,8.109591576044295e-07,0.0
1814,8.05549368543268e-07,0.0
1815,3.452446240004292e-07,0.0
1816,2.294427776661223e-07,0.0
1817,6.414318249881035e-07,6.227493631882908e-09
1818,3.385614242290558e-07,0.0
1819,4.771834039019041e-07,1.0351049795076506e-08
1820,6.312968103827643e-07,0.0
1821,6.95234909642295e-07,0.0
1822,5.81485721795616e-07,0.0
1823,5.761606370890959e-07,3.9530747564242574e-09
1824,5.709514461216258e-07,8.421112696055388e-10
1825,5.529818380978213e-07,3.522177216552791e-09
1826,4.6065758851909777e-07,0.0
1827,4.027948388163338e-07,1.8434546111834038e-09
1828,4.29263693035864e-07,9.172301140836225e-09
1829,4.115124605519327e-07,1.714635211591542e-09
1830,5.458465146546132e-07,0.0
1831,4.646179385670024e-07,1.5591206103948707e-09
1832,4.0995807548682706e-07,0.0
1833,6.150906965984859e-07,1.50587169400751e-08
1834,3.957841023805031e-07,0.0
1835,5.279035306671176e-07,3.025235173481633e-09
1836,5.094328638932666e-07,0.0
1837,3.3954507294708947e-07,0.0
1838,4.267021349591005e-07,3.1560809521380406e-09
1839,2.684726539969873e-07,0.0
1840,3.78996487526706e-07,6.369688665408546e-10
1841,3.781703159511096e-07,9.630822805917205e-09
1842,4.5414954419342735e-07,0.0
1843,3.6091227784140756e-07,1.7720733769266417e-09
1844,2.755257848541248e-07,0.0
1845,3.4430005602104075e-07,0.0
1846,2.968232255540215e-07,5.854501328173001e-09
1847,2.3891980394097345e-07,1.0786447290911383e-09
1848,2.308978608311918e-07,0.0
1849,1.6172270367320607e-07,0.0
1850,2.600185489143314e-07,6.1100964288129944e-09
1851,2.405640655567254e-07,0.0
1852,3.05995646820989e-07,6.510545436100301e-10
1853,2.4425201505806626e-07,0.0
1854,3.0394637207109554e-07,6.754363734984281e-09
1855,4.0279652679942046e-07,5.306937111981824e-10
1856,2.842276991543713e-07,0.0
1857,3.3194262449853795e-07,9.763018171682347e-10
1858,3.513659239118283e-07,4.893676019968041e-10
1859,3.8293143322931655e-07,2.036869339860914e-09
1860,3.240646293534155e-07,9.154367819341758e-10
1861,3.070092322587925e-07,0.0
1862,3.406561730479041e-07,3.6143890103090826e-09
1863,3.4313044583456076e-07,2.4973103585068657e-09
1864,2.881631520068595e-07,3.835782358407869e-09
1865,2.913536594206789e-07,1.4120533631256649e-09
1866,2.6031029065620714e-07,3.8924903300596725e-09
1867,2.5234619549507897e-07,0.0
1868,2.2772820074123956e-07,4.93987406535723e-10
1869,3.7944943098722206e-07,4.883519144627257e-10
1870,2.4713749802174334e-07,5.734048791339319e-09
1871,2.1985836617943733e-07,0.0
1872,2.2435628199701796e-07,0.0
1873,2.5859539132255804e-07,5.986004469882289e-10
1874,2.437640485020154e-07,5.974609140757536e-10
1875,3.2212196821035377e-07,1.716458086775674e-09
1876,3.343446195458455e-07,6.04601479992084e-10
1877,2.4677415888518794e-07,6.80329748092845e-09
1878,2.451869975939047e-07,6.039088673581716e-10
1879,2.5170419426512325e-07,4.27652757650776e-09
1880,3.2281767747832646e-07,6.417846254436199e-10
1881,2.3776251412144234e-07,6.972507571312292e-10
1882,3.281104981045502e-07,6.655385131892899e-10
1883,3.2797369975412494e-07,4.423537092179686e-09
1884,2.0531277389324032e-07,4.621187876807653e-09
1885,1.8756799446961736e-07,1.2891271383708158e-09
1886,2.749175616045818e-07,6.453463874400711e-10
1887,2.141487260853836e-07,0.0
1888,2.098743472345177e-07,2.53624587998047e-09
1889,1.7918291117524632e-07,6.265136742733546e-10
1890,2.038414184113435e-07,6.554386478008212e-10
