year,certain_ADJ art_NOUN
1800,1.980823611802407e-07
1801,3.5717739876872656e-08
1802,1.3427040812530322e-07
1803,8.581492494386112e-08
1804,6.673997887673977e-08
1805,3.695740957709859e-08
1806,4.034336598124355e-08
1807,1.1387820109121094e-07
1808,9.744118045773575e-08
1809,2.4849335034105025e-08
1810,8.658469141664682e-08
1811,5.515568801683912e-08
1812,5.067695596494559e-08
1813,1.1502966401621961e-07
1814,8.496028414128887e-08
1815,5.664169577812572e-08
1816,1.5296186006708012e-07
1817,7.317304806520042e-08
1818,4.2916237674717195e-08
1819,3.415846450138815e-08
1820,7.594547923872597e-08
1821,5.029358973729359e-08
1822,8.120748873352568e-08
1823,4.348382276475604e-08
1824,8.084268188213173e-08
1825,6.075755720758025e-08
1826,9.776862697208344e-08
1827,7.465990847776993e-08
1828,4.677873732816806e-08
1829,7.287199821348622e-08
1830,7.827626546941246e-08
1831,4.053713453799901e-08
1832,1.1500473817704915e-07
1833,5.560141858040879e-08
1834,9.147840529522e-08
1835,3.1764969321557146e-08
1836,8.132107609526429e-08
1837,1.0575994480177542e-07
1838,7.890202624594167e-08
1839,6.711816524784808e-08
1840,8.72647376581881e-08
1841,1.1428576129901558e-07
1842,9.726984018243456e-08
1843,1.5180761181454727e-07
1844,5.872760411307354e-08
1845,1.0993048960017404e-07
1846,6.439951505399222e-08
1847,9.546005941274416e-08
1848,6.91889070481011e-08
1849,5.279031256577582e-08
1850,8.554135177973876e-08
1851,1.0383596560359365e-07
1852,1.4778937895698618e-07
1853,1.2660495940508554e-07
1854,1.1378504893855279e-07
1855,1.576160286731465e-07
1856,1.1234500618684251e-07
1857,1.4790973068556923e-07
1858,1.2821431027987273e-07
1859,1.1915685860230951e-07
1860,1.0344435708020683e-07
1861,1.3016060051995737e-07
1862,1.1927484422358248e-07
1863,1.3635315099236323e-07
1864,1.3952657695881499e-07
1865,1.666222857465982e-07
1866,1.2358657386357663e-07
1867,1.2811422323011357e-07
1868,1.4029242834112665e-07
1869,1.1866951865613373e-07
1870,1.4449803131810768e-07
1871,1.401995461947081e-07
1872,1.300177956409243e-07
1873,1.1672708666310427e-07
1874,1.3562362255470362e-07
1875,1.4704325224101922e-07
1876,1.4752275490081956e-07
1877,1.1256365439749061e-07
1878,1.2984040154151444e-07
1879,9.46945419855183e-08
1880,1.0396910710142038e-07
1881,9.064260098057275e-08
1882,1.2379015856822662e-07
1883,1.1185230164301174e-07
1884,8.516189353713344e-08
1885,1.2182250941350503e-07
1886,1.2132511528761825e-07
1887,9.466941008895446e-08
1888,9.510922183153525e-08
1889,1.3908604046264372e-07
1890,9.700492142883377e-08
1891,1.1091142937402765e-07
1892,9.277398049789554e-08
1893,8.067525669730458e-08
1894,9.011201029807125e-08
1895,8.064943557428705e-08
1896,4.48174191092221e-08
1897,5.7684463428131494e-08
1898,8.261198303216588e-08
1899,7.904436927219649e-08
1900,6.436906119233754e-08
1901,5.588739071527016e-08
1902,6.825294462942111e-08
1903,5.562226945698967e-08
1904,6.019580212068831e-08
1905,8.979720433899274e-08
1906,4.73264982758792e-08
1907,8.02283537382209e-08
1908,6.77771723189835e-08
1909,6.381140593703094e-08
1910,6.733630186772643e-08
1911,8.140172269577306e-08
1912,6.303399402440846e-08
1913,7.742364971363713e-08
1914,4.218948390644073e-08
1915,3.887651445211304e-08
1916,3.625862632361532e-08
1917,5.812205117194935e-08
1918,5.054005569604669e-08
1919,6.905886351660229e-08
1920,7.042175553806374e-08
1921,8.178567156846839e-08
1922,7.820611358511087e-08
1923,9.872831441271046e-08
1924,6.574728672603669e-08
1925,6.818870446068104e-08
1926,7.467912865877224e-08
1927,6.020581366783517e-08
1928,7.883968322630608e-08
1929,8.243900850857244e-08
1930,7.457558837131728e-08
1931,8.325910272333203e-08
1932,6.356530946050043e-08
1933,5.047091278242988e-08
1934,6.470052937856963e-08
1935,6.821922227118193e-08
1936,7.274828561776303e-08
1937,6.547381303789734e-08
1938,9.334954143014329e-08
1939,5.6587985852729616e-08
1940,5.325144059042941e-08
1941,2.9515025090631752e-08
1942,6.675266206457309e-08
1943,1.1903264152124393e-07
1944,7.069009200222354e-08
1945,9.803267886354661e-08
1946,8.770295778504078e-08
1947,9.536697120893223e-08
1948,6.52313261184645e-08
1949,6.184715317658629e-08
1950,7.657460088239532e-08
1951,7.676209179408033e-08
1952,7.381363076319758e-08
1953,6.141081598798337e-08
1954,9.186184257714558e-08
1955,7.696198167650437e-08
1956,8.546718532898012e-08
1957,7.244730682032241e-08
1958,9.264912392836777e-08
1959,7.828255377262394e-08
1960,6.990041612198183e-08
1961,8.893643865803824e-08
1962,7.927445722089033e-08
1963,7.500621990175205e-08
1964,1.0342746037395045e-07
1965,9.521355792685426e-08
