year,ancien_ADJ art_NOUN,ancien_ADJ phare_NOUN
1800,0.0,3.144164484325529e-09
1801,2.1430643926123594e-08,1.1905912922216544e-08
1802,2.9091921760482364e-08,6.713520406265161e-09
1803,3.315576790896557e-08,1.950339223455444e-09
1804,4.943701892301533e-09,7.4155526164076946e-09
1805,3.1271653710973624e-08,3.1271653710973624e-08
1806,4.3225035994964855e-08,2.0171682990621775e-08
1807,1.1387820464392462e-08,8.540865792383556e-09
1808,1.5862518409903714e-08,1.1330369975581789e-08
1809,0.0,4.51806094758922e-08
1810,3.2761775514700275e-08,7.020380277111826e-09
1811,1.504245972228091e-08,1.504245972228091e-08
1812,1.0402111882967802e-07,8.00162425207418e-09
1813,8.627224934443234e-09,8.627225156487839e-09
1814,0.0,4.090680150170556e-08
1815,2.1577788444915313e-08,0.0
1816,3.9399267848239106e-08,1.1588019432906549e-08
1817,0.0,6.227493631882908e-09
1818,1.1921176934492905e-08,4.768470773797162e-08
1819,3.3123360054787554e-08,1.449147024601416e-08
1820,1.6613073583471305e-08,1.3053129244156025e-08
1821,5.9168927535324656e-09,1.3806083831724436e-08
1822,7.017931125119503e-09,1.303330066093622e-08
1823,9.882686669016039e-09,1.8777104315859106e-08
1824,4.6316120716483056e-08,2.863178316658832e-08
1825,3.9624492131906663e-08,2.641632912414593e-09
1826,2.906634755106552e-08,3.8755130660206305e-08
1827,1.6591091167583727e-08,1.2904182111750373e-08
1828,1.8344602503717056e-09,1.1006761502230233e-08
1829,1.628903412154159e-08,4.115124596637543e-08
1830,6.575206512593468e-08,5.218417697960831e-09
1831,8.263339346115117e-08,3.1182412207897414e-09
1832,2.17832510363003e-07,0.0
1833,2.559981879812767e-07,1.0425265317692833e-08
1834,5.3206827388407874e-08,2.7070138797213872e-08
1835,5.3697924329298985e-08,1.2100940693926532e-08
1836,1.4785649682380608e-07,1.68018754465038e-08
1837,6.33168089070324e-08,3.2006298056330706e-08
1838,1.1298769919676488e-07,1.3255540221024376e-08
1839,1.3283803035335495e-07,1.8876983975957273e-08
1840,1.4713981072445037e-07,2.0383004395441162e-08
1841,3.653292175442857e-07,1.3483152372373297e-08
1842,2.5625573663035084e-07,1.0733224531378482e-08
1843,2.2091846846317154e-07,1.5357969118667825e-08
1844,4.7036969613722945e-07,1.6465683927435748e-08
1845,2.4720409719236613e-07,1.674068439427856e-09
1846,2.4647449237136243e-07,7.610851726624901e-09
1847,2.8638018623183825e-07,1.1325769655456952e-08
1848,2.9043249982763086e-07,1.045878850192139e-08
1849,5.605828810040236e-07,2.513824526317876e-08
1850,3.23835124049765e-07,8.146795238417326e-09
1851,1.380824805607972e-06,1.0319102017319892e-08
1852,4.1927912763917163e-07,2.018269107395554e-08
1853,2.9799939715857704e-07,1.911018188138769e-08
1854,3.481095305346571e-07,8.832629738719788e-09
1855,2.0431707525858656e-07,1.6982198758341838e-08
1856,2.055344099360923e-07,2.329735160344626e-08
1857,2.7971046467900607e-07,1.4156376737517462e-08
