year,son_DET enfant_NOUN,son_DET fanfan_NOUN
1800,4.6187777300588095e-06,0.0
1801,4.7433157703835604e-06,0.0
1802,5.757962668440086e-06,0.0
1803,5.466800665487881e-06,0.0
1804,6.085697108915156e-06,0.0
1805,6.01552920187487e-06,0.0
1806,4.9507077335420036e-06,0.0
1807,6.459741275222086e-06,0.0
1808,6.0141603555052825e-06,0.0
1809,5.381010517169216e-06,9.036122072814123e-09
1810,5.443134668325911e-06,0.0
1811,5.3074816968035066e-06,2.5070767684098882e-09
1812,5.771838704760057e-06,0.0
1813,6.965046310369871e-06,0.0
1814,4.1756404591808405e-06,0.0
1815,3.970312862477954e-06,0.0
1816,3.661814091060478e-06,0.0
1817,3.5745812567711255e-06,0.0
1818,5.232204902227977e-06,0.0
1819,3.81953754313713e-06,0.0
1820,5.405181980222551e-06,0.0
1821,4.852838166868878e-06,0.0
1822,4.965687423919007e-06,0.0
1823,4.250543543804497e-06,9.882686891060644e-10
1824,5.030772925351812e-06,1.6842225392110777e-09
1825,4.903751287699265e-06,2.641632912414593e-09
1826,4.491191020861152e-06,0.0
1827,5.509164196837446e-06,5.530363722527909e-09
1828,4.688880531844575e-06,0.0
1829,4.4460490009612386e-06,9.430493719264632e-09
1830,4.514975287861489e-06,0.0
1831,5.9121855002786106e-06,0.0
1832,5.655527136383398e-06,2.705993873419743e-09
1833,6.506524314886519e-06,5.791814250422078e-09
1834,6.022639492897497e-06,0.0
1835,5.9453435099499075e-06,0.0
1836,6.6642959488660836e-06,6.720750067579218e-10
1837,6.6830540745854705e-06,0.0
1838,5.816656976520562e-06,0.0
1839,6.619528662099583e-06,4.194885327990505e-09
1840,6.053752109380639e-06,0.0
1841,5.808027985665376e-06,0.0
1842,6.8672509527800685e-06,0.0
1843,5.853158246083012e-06,3.5441467538532834e-09
1844,6.571454377990449e-06,0.0
1845,6.3106796481804395e-06,1.1160455892778032e-09
1846,6.4352676716339374e-06,1.1709002656346001e-09
1847,5.826838609834795e-06,0.0
1848,5.396734721330176e-06,0.0
1849,4.9899415337506525e-06,1.6758829879393033e-09
