year,un_DET art_NOUN,un_DET phare_NOUN
1800,1.1168072575173937e-05,3.395697634189787e-07
1801,7.662645380435151e-06,2.1430643437625463e-07
1802,7.964473468291544e-06,1.5888664961494214e-07
1803,8.7375199058215e-06,2.9255089017965474e-07
1804,9.917066250864082e-06,2.447132352312309e-07
1805,9.119951471348031e-06,1.876299289271799e-07
1806,1.022704354625148e-05,1.8442682403474464e-07
1807,8.512396107107634e-06,2.733077053562738e-07
1808,9.005377933135605e-06,1.4276265858370607e-07
1809,6.908115224746325e-06,1.1746959049929728e-07
1810,9.894055466475038e-06,2.0359102848033217e-07
1811,8.571695602199725e-06,1.6797415014480066e-07
1812,7.65488776011125e-06,1.947062044926895e-07
1813,1.0131237729638087e-05,2.0992914517847794e-07
1814,6.513621855219753e-06,1.8565395576430888e-07
1815,6.527280870471941e-06,2.6702514333010186e-07
1816,6.739592166127295e-06,1.7613790070925006e-07
1817,8.013227336789441e-06,1.4323235664193135e-07
1818,7.951425367025422e-06,2.2888660322628596e-07
1819,7.476563290254035e-06,1.3249344243959627e-07
1820,7.450963330768445e-06,1.5663755359440756e-07
1821,7.815229349006358e-06,2.080773984225459e-07
1822,7.141246328501438e-06,2.977607920229275e-07
1823,6.724180103390154e-06,2.3520795444653686e-07
1824,6.650152876375159e-06,3.368445113949292e-07
1825,7.5770836218680415e-06,3.108321484646126e-07
1826,6.366410921998522e-06,4.351144262670914e-07
1827,6.3562316690024545e-06,3.198393621062223e-07
1828,6.462803479934109e-06,3.6138865766588424e-07
1829,7.83331104514673e-06,4.4580514746428435e-07
1830,6.491711690870261e-06,3.83031865780481e-07
1831,5.743800198132476e-06,3.8042543426541897e-07
1832,7.032878123425235e-06,6.99499421941141e-07
1833,6.752097103657206e-06,4.957792967275054e-07
1834,6.67512324170616e-06,5.414028070305221e-07
1835,6.156353670405679e-06,4.787434733088958e-07
1836,5.654167104296448e-06,4.254234831080339e-07
1837,5.981698816270864e-06,5.169713173103219e-07
1838,5.291485216218916e-06,3.957725596137607e-07
1839,5.60506542868211e-06,5.942753773524601e-07
1840,6.562690131772797e-06,4.917399660797628e-07
1841,5.781062075271848e-06,5.605138930775411e-07
1842,6.143428995741829e-06,5.259279980407428e-07
1843,6.781133954802954e-06,5.15673356460411e-07
1844,6.17408274194986e-06,5.18669033056085e-07
1845,6.4596719866472085e-06,5.206352930997582e-07
1846,6.343351984128276e-06,4.2210955086829927e-07
1847,6.225937603687726e-06,4.0071651596917945e-07
1848,5.6598133788554605e-06,4.296148325977356e-07
1849,5.643535970989433e-06,4.935475637068976e-07
1850,5.885380794268258e-06,5.39046300929158e-07
1851,5.546517435561782e-06,4.927371328733443e-07
1852,6.8842505598354364e-06,5.2344787793146e-07
1853,6.757838090010182e-06,5.297103555790272e-07
1854,6.481591505291817e-06,6.042557778584978e-07
1855,7.038590624119934e-06,7.074147028163225e-07
1856,6.83285424329938e-06,8.495767520599884e-07
1857,7.0039892534623505e-06,5.394067521535817e-07
1858,6.85310406112194e-06,5.275382903846548e-07
1859,7.935642678091881e-06,6.619825541065438e-07
1860,7.1083663968352084e-06,7.698823374369113e-07
1861,7.852079310310955e-06,5.998705869814103e-07
1862,7.5603982736538455e-06,6.194159087868911e-07
1863,8.289572635433728e-06,6.348162777669586e-07
1864,8.288645942045036e-06,8.151037285131224e-07
1865,7.466937692157671e-06,5.601144579259199e-07
1866,7.100875549781449e-06,7.999067470620957e-07
1867,7.793614898332635e-06,8.414775365395144e-07
1868,7.773385497955587e-06,5.591937384252788e-07
1869,7.6246385170009034e-06,6.372992302772218e-07
1870,6.912396038671886e-06,1.1754799551511041e-06
1871,5.039748625534912e-06,5.491148389324962e-07
1872,7.0294273974980115e-06,5.400273863642724e-07
1873,6.679183893965046e-06,6.387066875390701e-07
1874,6.2494411317004506e-06,5.185960496589814e-07
1875,8.08165676602357e-06,6.21930000832549e-07
1876,8.238299557206119e-06,6.106474703670983e-07
1877,7.516406924423791e-06,6.042565487973661e-07
1878,7.8333017654586e-06,6.848326741248911e-07
1879,6.890097115075378e-06,6.317042320347355e-07
1880,7.050646072315203e-06,7.97738291424821e-07
1881,7.180288136510171e-06,8.618019293749057e-07
1882,8.049688602795868e-06,6.861702352978227e-07
1883,7.63755318899939e-06,7.197726930030512e-07
1884,7.465858949728954e-06,8.621816363074686e-07
1885,7.142409039317954e-06,7.986142591676071e-07
1886,7.1943216610748095e-06,6.382475845612134e-07
1887,6.997048593859745e-06,5.960908282531818e-07
1888,7.101488641581e-06,6.625942532423323e-07
1889,8.031278930786812e-06,6.904180516187353e-07
1890,7.159356407271389e-06,6.08247088251801e-07
1891,7.288282994011297e-06,5.220486460899565e-07
