year,en_ADP os_NOUN,en_ADP fosses_NOUN
1800,2.389564883742423e-07,1.2576657937302116e-08
1801,1.7620750725200196e-07,4.7623651688866175e-09
1802,4.184761053238617e-07,6.713520406265161e-09
1803,2.691468239390815e-07,7.801356893821776e-09
1804,1.7055771195373381e-07,2.9662210465630778e-08
1805,3.5820258403873595e-07,0.0
1806,3.976703339958476e-07,0.0
1807,2.391442421867396e-07,3.4163463169534225e-08
1808,1.3369836437959748e-07,0.0
1809,1.9201759471343394e-07,0.0
1810,2.223120389999167e-07,1.4040760554223652e-08
1811,2.8329966994533606e-07,2.0056614147279106e-08
1812,2.2137828636914492e-07,0.0
1813,3.134558426154399e-07,0.0
1814,2.454408161156607e-07,0.0
1815,1.6992508733437717e-07,0.0
1816,2.2248997311180574e-07,4.6352077731626196e-09
1817,1.7748357095115352e-07,3.42512151974006e-08
1818,2.527289666431898e-07,1.9073883805731384e-08
1819,3.105315045104362e-07,1.035105001712111e-09
1820,2.408895625194418e-07,0.0
1821,2.692186171771027e-07,5.9168927535324656e-09
1822,2.7871212182617455e-07,4.010246357211145e-09
1823,3.024102284143737e-07,2.9648061783404955e-09
1824,2.6442293687978236e-07,1.3473780313688621e-08
1825,2.764909083907696e-07,8.805443485471187e-09
1826,2.589547420939198e-07,1.7615968683770689e-09
1827,3.4564774864520587e-07,2.8573547083965423e-08
1828,2.595761259271967e-07,2.2930752408001354e-08
1829,3.0349042390298564e-07,1.1145129263923081e-08
1830,3.1832348668103805e-07,4.0703660886265425e-08
1831,3.492430096230237e-07,2.0268567268999504e-08
1832,3.9236911675288866e-07,9.335678896604804e-08
1833,5.421138098427036e-07,1.0425265983826648e-08
1834,4.5085783995091333e-07,9.334530925997342e-10
1835,5.347102955965966e-07,1.5882484660778573e-08
1836,4.4222534256732615e-07,3.024337402735e-08
1837,5.621976129077666e-07,3.2006298056330706e-08
1838,4.778306674779742e-07,1.0730675015224733e-08
1839,5.411401957644557e-07,3.216078425793967e-08
1840,4.955617782798072e-07,1.7835128929277744e-08
1841,6.670949801446113e-07,1.0272877659645019e-08
1842,5.903273176954826e-07,1.408735705865638e-08
1843,5.03268836382631e-07,3.1306630177141415e-08
1844,4.807979507859272e-07,3.512679214168202e-08
1845,5.864819740963867e-07,2.0088821273134272e-08
