year,en_ADP enfant_NOUN
1800,8.174827570428533e-08
1801,1.4287095462250932e-07
1802,1.1636768704192946e-07
1803,1.170203560718619e-07
1804,1.0628959046243835e-07
1805,2.388017321663938e-07
1806,1.613734639249742e-07
1807,1.0533734240425474e-07
1808,9.064295625194063e-08
1809,1.8072244412081773e-07
1810,2.059311490221205e-07
1811,8.273353557797236e-08
1812,8.001624385300943e-08
1813,1.4378707646756084e-07
1814,1.0698702279654526e-07
1815,1.8071398244501324e-07
1816,2.1785476178592944e-07
1817,1.665854512111764e-07
1818,1.406698946215812e-07
1819,1.0972112818308233e-07
1820,1.0205173506250276e-07
1821,1.646868533766721e-07
1822,1.5539704634193185e-07
1823,2.3026661077896193e-07
1824,1.9284348695691733e-07
1825,1.426481759381204e-07
1826,1.4357013866650448e-07
1827,1.1982454850567592e-07
1828,2.1096292357469792e-07
1829,1.38885445200021e-07
1830,1.1271782374144834e-07
1831,2.2607248695294402e-07
1832,2.0430253888648053e-07
1833,1.3321173497615746e-07
1834,1.0174638997995089e-07
1835,2.0193444072447164e-07
1836,1.4449612217859453e-07
1837,1.76034635313016e-07
1838,1.710595920467739e-07
1839,1.447235329354868e-07
1840,1.3312649116414832e-07
1841,1.2905302915200423e-07
1842,1.8581893668212501e-07
1843,1.5889590360140815e-07
1844,1.5203314707168403e-07
1845,1.6405869662783346e-07
1846,1.3172628143820475e-07
1847,1.2889804956728312e-07
1848,1.3837781714931552e-07
1849,1.298809262362255e-07
1850,1.2084413469892752e-07
1851,1.6188091933599935e-07
1852,1.8620160036064703e-07
1853,1.737832207027168e-07
1854,1.7717216449497641e-07
1855,1.5549325738106745e-07
1856,1.6256373996936802e-07
1857,2.1136934169607713e-07
1858,2.265771987808307e-07
1859,2.077606762185269e-07
1860,1.739329889005603e-07
1861,1.8958174363703506e-07
1862,1.6761728760528172e-07
1863,2.0128322253398778e-07
1864,2.5891529542576563e-07
1865,2.4993343128443257e-07
1866,1.9267827422453365e-07
1867,2.3536135529411695e-07
1868,2.22294325835648e-07
1869,2.1145637307817822e-07
1870,2.16173642986206e-07
1871,1.837463692311303e-07
1872,2.01981138037155e-07
1873,1.873619352998901e-07
1874,1.9895448949425187e-07
1875,1.6020275950268115e-07
1876,1.674746108459857e-07
1877,2.2265337085158876e-07
1878,1.1776223102222261e-07
1879,2.41929283717468e-07
1880,1.5531188513051575e-07
1881,2.0917522602914573e-07
1882,2.202932538608593e-07
1883,1.7125409207396913e-07
1884,1.7626531167991288e-07
1885,1.6049633466685975e-07
1886,1.7488886894234668e-07
1887,1.527768347386882e-07
1888,1.6675816505440366e-07
1889,1.9108666915457206e-07
1890,1.2322246600859899e-07
1891,1.7337877977752214e-07
1892,2.425914185089084e-07
1893,2.0507526710122903e-07
1894,1.9849848520436808e-07
1895,1.8055843042930064e-07
1896,1.922431487333398e-07
1897,1.5732126501522004e-07
1898,1.7597483292774996e-07
1899,2.0175661674670664e-07
1900,1.5884622728279396e-07
1901,1.6039681233204206e-07
1902,1.433802921946281e-07
1903,1.5606635983544948e-07
1904,1.316783224680762e-07
1905,1.1818138156982627e-07
1906,1.460948337306256e-07
1907,1.8102807963771284e-07
1908,1.6895178500675456e-07
1909,1.523772386047284e-07
1910,1.5444595735658595e-07
1911,1.4631028566469695e-07
1912,1.5888734655744585e-07
1913,1.718168691766664e-07
1914,1.5603413522358167e-07
1915,1.3783491636942813e-07
1916,1.3624452321892022e-07
1917,1.1514745568153018e-07
1918,1.206069555337308e-07
