year,en_ADP oie_NOUN,en_ADP foie_NOUN
1800,3.144164484325529e-09,8.174827570428533e-08
1801,1.666827853519237e-08,4.0480102825313224e-08
1802,2.0140561218795483e-08,0.0
1803,9.751696339321825e-09,1.950339267864365e-08
1804,1.2359254952798437e-08,4.943701892301533e-09
1805,3.695740957709859e-08,5.685755422035754e-09
1806,1.4408345627714425e-08,0.0
1807,0.0,2.8469551160981155e-09
1808,1.0877154998922833e-07,1.1330369531492579e-08
1809,0.0,6.7770917766551975e-09
1810,2.3401266702194334e-08,2.3401267590372754e-09
1811,1.504245972228091e-08,1.2535384286138651e-08
1812,2.6672082320544632e-09,0.0
1813,5.751483289628823e-09,1.7254450312975678e-08
1814,1.1642705288750221e-07,6.293354282149721e-09
1815,0.0,0.0
1816,2.3176038865813098e-09,5.5622493277951435e-08
1817,4.670620334934483e-09,1.0898113522728181e-08
1818,4.768470951432846e-09,4.768470951432846e-09
1819,4.140420006848444e-09,2.070210003424222e-09
1820,2.3732962262101864e-09,0.0
1821,1.577838126820552e-08,1.97229765852569e-09
1822,1.0025615893027862e-09,3.0076847679083585e-09
1823,1.9765373782121287e-09,9.882686891060644e-10
1824,1.9368560089105813e-08,3.3684450784221553e-09
1825,7.924898959288385e-09,1.7610886082763955e-09
1826,3.5231937367541377e-09,3.5231937367541377e-09
1827,1.8434546111834038e-09,1.1060727445055818e-08
1828,7.337841001486822e-09,7.337841001486822e-09
1829,9.430493719264632e-09,6.001223074036943e-09
1830,2.0873671680021744e-09,3.1310507520032616e-09
1831,1.5591206103948707e-09,3.1182412207897414e-09
1832,2.0294953273491956e-08,1.3529969367098715e-09
1833,2.3167257001688313e-09,3.4750886612755494e-09
1834,3.733812370398937e-09,7.467624518753269e-09
1835,7.563087933704082e-09,6.806779140333674e-09
1836,2.016224964762614e-09,1.2097349788575684e-08
1837,1.3915781860163179e-09,3.478945576063097e-09
1838,4.418513332993257e-09,1.2624324030596767e-08
1839,2.0974426639952526e-09,2.0974426639952526e-09
1840,5.732719632334238e-09,3.1848443882154243e-09
1841,2.3113974734201292e-08,6.420548537278137e-10
1842,1.341653010911159e-09,6.708265054555795e-09
1843,1.7720733214154905e-09,2.953455480181333e-09
1844,3.2931368743049916e-09,2.7442805805577564e-09
1845,3.9061593959388574e-09,1.1160455892778032e-09
1846,2.9272506640865004e-09,2.9272506640865004e-09
1847,7.011190739092399e-09,9.707802561820245e-09
1848,4.82713291560799e-09,8.045221711050488e-10
1849,1.9272654583346593e-08,0.0
1850,6.788996032014438e-09,9.504594444820214e-09
1851,1.0964046337491595e-08,2.579775504329973e-09
1852,5.208436348880241e-09,3.906327261660181e-09
