year,ancien_ADJ or_NOUN,ancien_ADJ fort_NOUN
1800,1.2576657937302116e-08,0.0
1801,0.0,0.0
1802,0.0,2.2378401354217203e-09
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,0.0
1807,2.2775640928784924e-08,4.839823830593559e-08
1808,0.0,1.8128591960930862e-08
1809,0.0,0.0
1810,4.680253518074551e-09,2.3401267590372754e-09
1811,0.0,0.0
1812,2.6672082320544632e-09,2.6672082320544632e-09
1813,0.0,0.0
1814,0.0,3.1466771410748606e-09
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,0.0,0.0
1818,4.768470951432846e-09,1.1921177378582115e-09
1819,2.070210003424222e-09,0.0
1820,1.1866481131050932e-08,3.5599443393152796e-09
1821,9.86148829262845e-10,0.0
1822,1.0025615893027862e-09,1.0025615893027862e-09
1823,1.9765373782121287e-09,9.882686891060644e-10
1824,2.5263338088166165e-09,3.3684450784221553e-09
1825,3.522177216552791e-09,8.805443041381977e-10
1826,6.1655889282974385e-09,8.807984341885344e-10
1827,4.6086365279585095e-09,0.0
1828,9.172301251858528e-10,1.8344602503717056e-09
1829,1.714635211591542e-09,0.0
1830,0.0,0.0
1831,1.5591206103948707e-09,0.0
1832,1.3529969367098715e-09,0.0
1833,8.108540172635514e-09,6.950177322551099e-09
1834,1.9602515166639023e-08,2.8003592777992026e-09
1835,7.563087933704082e-10,8.31939672707449e-09
1836,3.36037508930076e-09,1.68018754465038e-08
1837,4.174734336004349e-09,6.262101948095733e-09
1838,3.1560809521380406e-09,4.418513555037862e-09
1839,1.3982950353153e-09,6.9914751765765e-10
1840,1.2739377330817092e-09,3.1848443882154243e-09
1841,6.420548537278137e-09,1.0914932957462042e-08
1842,1.341653010911159e-09,2.683306021822318e-09
1843,0.0,2.953455480181333e-09
1844,8.232841963717874e-09,3.841992946007622e-09
1845,3.348136878855712e-09,5.580227946389016e-10
1846,5.854501328173001e-10,1.1709002656346001e-09
1847,0.0,0.0
1848,8.045221711050488e-10,0.0
1849,5.865590679832167e-09,0.0
1850,6.788996032014438e-10,3.394498016007219e-09
1851,1.9348316282474798e-09,6.449438760824933e-10
1852,1.6927418133860783e-08,0.0
1853,2.388772735173461e-09,1.1943863675867306e-09
1854,2.5978321716024766e-09,4.676098175337984e-09
1855,1.0613874223963649e-09,5.306937111981824e-10
1856,0.0,0.0
1857,4.881509085841174e-10,0.0
1858,4.893676019968041e-10,9.787352039936081e-10
1859,5.092173349652285e-10,3.5645213447565993e-09
1860,3.661747127736703e-09,9.154367819341758e-10
1861,9.431927461278633e-10,9.431927461278633e-10
1862,1.3553959066214816e-09,3.162590411776023e-09
1863,9.989241656072068e-10,0.0
1864,0.0,9.589455896019672e-10
1865,4.706844358715045e-10,3.294791106611683e-09
1866,1.9462452205409875e-09,9.731225825149181e-10
1867,5.338092634588065e-09,4.367530337390235e-09
1868,4.93987406535723e-10,9.87974813071446e-10
1869,9.767038289254515e-10,3.4184632902167778e-09
1870,2.2936195165357276e-09,5.734048791339319e-10
1871,4.248470908407853e-09,0.0
1872,1.8142017887967654e-09,0.0
1873,0.0,1.1972008939764578e-09
1874,1.1949218281515073e-09,3.5847653734322193e-09
1875,1.7164581422868253e-09,1.1443054281912168e-09
1876,1.813804439976252e-09,1.813804439976252e-09
1877,6.184815992682502e-09,9.895705588292003e-09
1878,5.435179861734696e-09,1.8117265465633636e-09
1879,6.10932526790009e-10,2.443730107160036e-09
1880,6.417846254436199e-10,3.8507077526617195e-09
1881,1.3945015142624584e-09,6.2752567586699115e-09
1882,2.6621540527571597e-09,1.3310770263785798e-09
1883,1.8958017378167824e-09,3.159669414998234e-09
1884,6.601696966868076e-10,9.902545450302114e-09
