year,son_DET or_NOUN,son_DET fort_NOUN
1800,1.25452167765161e-06,3.144164484325529e-09
1801,1.0381955606320048e-06,1.904946067554647e-08
1802,9.95838888684375e-07,0.0
1803,1.0044246694373982e-06,5.851017448321727e-09
1804,1.2977217114240602e-06,7.4155526164076946e-09
1805,9.950072372699736e-07,2.842877711017877e-09
1806,7.578790048867745e-07,2.305335300434308e-08
1807,9.394952158459091e-07,1.7081731584767113e-08
1808,1.0741191260876803e-06,2.2660739951163578e-09
1809,9.82678247218871e-07,0.0
1810,9.407309633502337e-07,1.1700633351097167e-08
1811,1.0178731670862362e-06,2.5070767684098882e-09
1812,6.107906798114016e-07,2.6672082320544632e-09
1813,8.655982277616658e-07,2.8757416448144113e-09
1814,9.471498465529749e-07,3.1466771410748606e-09
1815,1.1220449911419905e-06,2.697223555614414e-09
1816,1.0614625640670283e-06,2.3176038865813098e-09
1817,9.761595762824982e-07,4.670620334934483e-09
1818,8.750144031566265e-07,2.384235475716423e-09
1819,1.1613878356797613e-06,1.035105001712111e-09
1820,1.301752971194503e-06,4.746592452420373e-09
1821,8.924646834884697e-07,9.86148829262845e-10
1822,8.431543250253526e-07,5.012807946513931e-09
1823,9.872803836685762e-07,7.906149512848515e-09
1824,1.142745000848322e-06,8.421112696055388e-10
1825,1.0997997854644836e-06,1.7610886082763955e-09
1826,1.026130223347188e-06,8.807984341885344e-10
1827,6.885303113213226e-07,0.0
1828,7.989074619629832e-07,9.172301251858528e-10
1829,9.207591245008473e-07,6.858540846366168e-09
1830,7.723258761416218e-07,4.174734336004349e-09
1831,6.89131281594868e-07,0.0
1832,8.104451931778556e-07,2.705993873419743e-09
1833,1.0911778209887757e-06,1.1583628500844156e-09
1834,9.455880087827495e-07,0.0
1835,8.417716941266917e-07,2.2689263801112247e-09
1836,8.078341666717392e-07,1.6129800772812786e-08
1837,9.170500074873189e-07,6.957890930081589e-10
1838,9.076888827230789e-07,2.9035945203759184e-08
1839,7.858418245021426e-07,2.0974426639952526e-09
1840,8.917564064958583e-07,1.2739377330817092e-09
1841,8.539329705570253e-07,5.1364388298225094e-09
1842,1.0042272644561479e-06,2.683306021822318e-09
1843,9.297478165137818e-07,7.088293507706567e-09
1844,9.270180119091975e-07,1.0977122322231025e-08
1845,8.05226888278554e-07,5.580227946389016e-10
1846,8.418772874385638e-07,1.1123552745573306e-08
1847,8.612977966393487e-07,2.1572894581822766e-09
1848,8.302668921267298e-07,1.6090443422100975e-09
1849,8.320759299351721e-07,8.379414939696517e-10
1850,8.106061244461671e-07,0.0
1851,8.010203007557948e-07,1.2898877521649865e-09
1852,7.747549211067906e-07,1.3021090872200602e-09
1853,8.181546871099954e-07,0.0
1854,6.785537687292731e-07,5.195664343204953e-09
1855,8.761753029773445e-07,2.1227748447927297e-09
1856,6.947788167011026e-07,1.5531567143511893e-09
1857,8.630508023799166e-07,5.857811125054013e-09
1858,8.015841483910435e-07,5.872411001917044e-09
1859,9.57837786197402e-07,4.073738679721828e-09
1860,9.07655541837471e-07,1.3731551978812817e-08
1861,8.328392091527803e-07,1.131831295353436e-08
1862,8.588691873256948e-07,1.0391368654438793e-08
1863,8.161210391932627e-07,9.489779628779615e-09
1864,7.091402398629043e-07,2.3973640850272204e-09
1865,8.458199216576645e-07,1.7415323905201063e-08
1866,8.037992778042735e-07,3.503241119418021e-08
1867,8.201251535666643e-07,4.85281148598915e-09
1868,6.871364561789051e-07,4.44588676984381e-09
1869,7.676892104235833e-07,2.9301114867763545e-09
1870,7.012741516376764e-07,1.7202146374017957e-09
1871,6.691341827291808e-07,4.248470908407853e-09
1872,6.839540471759165e-07,1.2094678591978436e-09
1873,5.596914229855088e-07,1.2570609442263958e-08
1874,6.10007602652729e-07,1.7923826867161097e-09
1875,6.60264239726871e-07,3.432916173551348e-09
1876,6.511557675281665e-07,1.209202959984168e-09
1877,6.957918161631937e-07,5.566334504436554e-09
1878,5.284202395650084e-07,4.22736201599605e-09
1879,6.763023017164471e-07,1.221865053580018e-09
1880,6.052028771463824e-07,3.8507077526617195e-09
1881,6.066081423838909e-07,8.367009307619355e-09
1882,6.442412558982369e-07,1.3310770263785798e-08
1883,5.207135540530317e-07,4.423537092179686e-09
1884,6.03395125864381e-07,1.4523733327109767e-08
1885,5.240301841347161e-07,6.445635691854079e-10
1886,6.434103374530764e-07,1.936039106809062e-09
1887,4.642065440929599e-07,1.3057849246322917e-09
1888,5.788981156662487e-07,2.53624587998047e-09
1889,4.836685678633046e-07,3.759081934617825e-09
1890,4.771593222763215e-07,6.554386589030514e-09
1891,5.341596658325898e-07,1.2748440081367107e-09
1892,5.353309795452788e-07,3.1342561879199593e-09
1893,5.129961102579017e-07,8.005941687372342e-09
1894,4.801772890417055e-07,1.8904617871129403e-09
1895,6.157042493626363e-07,4.814891596538473e-09
1896,4.876842885082056e-07,2.3588115349859606e-09
1897,4.876959378563583e-07,6.409385022720926e-09
1898,4.6002423870206144e-07,3.960848538042683e-09
1899,5.162758043297799e-07,3.3165470370022376e-09
1900,5.684203263633947e-07,3.114631885736685e-09
1901,4.4989349268220735e-07,2.7943695135590474e-09
1902,4.104997359810625e-07,4.910283735171106e-09
1903,3.866557785059399e-07,5.400220270956879e-10
1904,3.568751072435816e-07,5.374625189347171e-09
1905,4.2576262693216904e-07,3.6125312741219773e-09
1906,4.0381847998816056e-07,7.716276506641861e-09
1907,3.908560906040748e-07,1.5428529565042481e-09
1908,4.543034899384679e-07,1.8172139126804154e-08
1909,4.2357574336904236e-07,4.950885035270858e-09
1910,4.6440669576597315e-07,0.0
1911,4.080726885291597e-07,3.7242617878519013e-09
1912,4.3550760508992425e-07,2.0837684910901544e-09
1913,4.5923891800470074e-07,2.121195885607108e-09
1914,5.156492521862788e-07,6.696743604095445e-09
1915,7.056676145644758e-07,3.5342285764627945e-09
1916,8.735032057671788e-07,2.197492410260793e-09
1917,7.204940737359777e-07,3.289927441585405e-09
1918,6.133725038992566e-07,2.2972752589112133e-09
1919,5.312928510470272e-07,1.8415696745321952e-09
1920,6.125935283485262e-07,2.2716695191604686e-09
1921,4.369475385956889e-07,1.5145494858259667e-09
1922,5.179310766934009e-07,1.4755870969551665e-09
1923,5.509677052373263e-07,3.1847844361720945e-09
1924,5.053516742847819e-07,1.289162443462999e-09
1925,5.279125154800113e-07,2.1996355847875293e-09
1926,5.305561736612674e-07,0.0
1927,4.86106193520186e-07,2.0068604555945058e-08
1928,4.821789429954038e-07,1.1426041224282812e-09
1929,3.7654574125411955e-07,2.2280812750352652e-09
1930,4.190937912262882e-07,5.2518016602221e-09
1931,4.5621427080533294e-07,1.3686427990933225e-08
1932,5.446889931315368e-07,4.383814644626227e-09
1933,3.590317374513319e-07,0.0
1934,4.52903742953481e-07,7.188948103475923e-09
1935,4.1769310410444405e-07,1.196828414151696e-09
1936,4.38914678824176e-07,6.0623572828433225e-09
1937,4.0669312006968994e-07,8.813782592653752e-09
1938,4.200729367687117e-07,3.889564337278273e-09
1939,3.8235127419739e-07,0.0
1940,4.057252613876017e-07,1.5214697057785997e-08
1941,4.899494241428215e-07,0.0
1942,3.9444752530926053e-07,3.034211770724937e-09
1943,4.412917617990786e-07,5.806470415592457e-09
1944,4.3378013181438746e-07,3.2131861615880553e-09
1945,4.5530733450149796e-07,6.535512131478072e-09
1946,4.329463472174666e-07,2.7842208538686464e-09
1947,3.7073909719964604e-07,4.7683483828109274e-09
1948,4.533577246945697e-07,1.8482209318548826e-08
1949,3.7402802854913375e-07,1.9634016634739737e-09
1950,3.935083658923588e-07,2.1270722960764488e-09
1951,4.2219152396327786e-07,3.1984206394497505e-09
1952,3.4481507549255497e-07,4.2179215675730575e-09
1953,3.436851003790764e-07,2.1547654771580937e-09
1954,3.3617524453077863e-07,9.772536113672459e-10
1955,3.2286490858624006e-07,6.569925492527773e-09
1956,3.505898824585074e-07,1.744228317335228e-09
1957,2.9155624492460674e-07,7.068030161150318e-09
1958,3.069002305622348e-07,3.3088973783179654e-09
1959,2.666257157279972e-07,2.325224457422337e-09
1960,3.4604165533025366e-07,6.920833350854139e-10
1961,3.119723412936537e-07,6.94815938118154e-09
1962,3.7227282811969076e-07,1.9025869213429303e-09
1963,3.4464063247696686e-07,4.526237162849611e-09
1964,3.473945788812216e-07,3.041984220075733e-09
1965,3.5130519604464894e-07,2.73602163147757e-09
1966,4.1266106931558966e-07,5.539074976468328e-09
1967,3.860452744142151e-07,3.944268467392931e-09
1968,4.275827796274001e-07,6.287982134978165e-09
1969,3.9422457165372293e-07,7.266812457329408e-09
1970,3.453642425377268e-07,5.058597540852361e-09
1971,3.653400506564708e-07,4.1107179882260425e-09
1972,3.4474587895516606e-07,2.565073486948677e-09
1973,3.5946089393945613e-07,1.0475087075523248e-08
1974,2.700274317479767e-07,7.875800456247362e-09
1975,2.7357990672882693e-07,5.140332159925265e-09
1976,3.4452568264953243e-07,5.142174241967723e-09
1977,3.2145996753385475e-07,3.526069214387917e-09
1978,3.3326716497583675e-07,1.841583241457556e-08
1979,3.721855139637853e-07,4.096381456264453e-09
1980,2.9505933341056334e-07,2.2740602734216964e-09
1981,3.479052332888699e-07,8.223214609248686e-09
1982,3.1223736085550513e-07,0.0
1983,3.2334418254009734e-07,6.315316269933646e-09
1984,2.992288292702483e-07,4.059306057957457e-09
1985,2.863405677011599e-07,8.421781494405423e-09
1986,2.967270318343651e-07,1.7983456390702202e-09
1987,3.4220575306775913e-07,3.6664902225425067e-09
1988,2.770407956376175e-07,1.798966087207532e-09
1989,2.936145406806645e-07,4.390497743145261e-09
1990,2.8278498986900047e-07,5.993515905799995e-09
1991,2.707997031059506e-07,4.10302547493302e-09
1992,2.8486410208472535e-07,9.366905084906563e-09
1993,3.2902893165598357e-07,8.308811416668505e-09
1994,3.054182382555837e-07,8.967375286772494e-09
1995,2.835941703693834e-07,2.1689803286761844e-09
1996,2.6690460774858593e-07,5.338092190498855e-10
1997,2.5556786820146726e-07,4.123609187445254e-08
1998,2.8561095177792595e-07,6.6753808036779105e-09
1999,2.82438437526622e-07,2.7421206694189237e-09
2000,2.7391793988584823e-07,5.743440834038438e-09
2001,2.435953778689992e-07,3.5049694258049158e-09
2002,2.523583599867152e-07,3.0668549366730247e-09
2003,2.7001660463099597e-07,4.166922806803086e-09
