year,en_ADP âne_NOUN,en_ADP ane_NOUN,en_ADP fan_NOUN
1800,6.288328968651058e-09,0.0,6.602745328265769e-08
1801,2.1430643926123594e-08,9.524730337773235e-09,7.381665989569797e-08
1802,2.6854081625060644e-08,4.475680270843441e-09,4.4756802708434407e-08
1803,2.145373123596528e-08,2.9255089017965474e-08,3.705644502360883e-08
1804,1.4831105232815389e-08,0.0,9.640218756601371e-08
1805,8.528632911009026e-09,0.0,8.812920881950959e-08
1806,5.76333825108577e-09,2.881669125542885e-09,8.356840375256525e-08
1807,1.7081731584767113e-08,2.8469551160981155e-09,8.54086552593003e-08
1808,1.1330369531492579e-08,1.3596443526608937e-08,7.251436695554503e-08
1809,2.25903047379461e-08,4.518061036407062e-09,7.906606791507897e-08
1810,7.956430891908894e-08,2.3401266702194334e-08,5.8503168975931885e-08
1811,1.7549536934780008e-08,3.7606150637969904e-08,6.016984377410495e-08
1812,4.000812481308458e-08,6.134578978134186e-08,6.934741270114841e-08
1813,4.3136125782439194e-08,4.6011867427253605e-08,6.614205805277606e-08
1814,0.0,0.0,6.60802212948397e-08
1815,5.664169577812572e-08,2.697223555614414e-09,3.506390600094278e-08
1816,2.3176038865813098e-09,0.0,5.5622493277951435e-08
1817,3.89218364205135e-08,4.670620223912181e-09,4.203558201520963e-08
1818,5.126106117359086e-08,1.1921177378582115e-09,5.841376893300776e-08
1819,5.4860564091541164e-08,3.105315005136333e-09,4.9685039749114424e-08
1820,1.6613073583471305e-08,1.0679833017945839e-08,3.203949905383752e-08
1821,3.944595405869222e-08,4.9307441463142254e-09,4.4376696761716516e-08
1822,2.4061478143266868e-08,7.017931125119503e-09,3.8097340393505874e-08
1823,1.3835761869529506e-08,9.882686891060644e-10,3.063632991739951e-08
1824,1.0105335235266466e-08,8.421112696055388e-10,3.452656205382709e-08
1825,8.453225319726698e-08,1.7610886082763955e-09,2.8177417954466932e-08
1826,4.315912249808207e-08,1.0569581432307018e-08,3.699353356978463e-08
1827,1.1982455028203276e-08,5.530363889061363e-09,2.212145500113394e-08
1828,2.7516904310687096e-08,1.8344602503717056e-09,2.2930752963112866e-08
1829,3.429270378774163e-08,5.143905634774626e-09,3.257806835410548e-08
1830,2.7135772739939057e-08,2.0873671680021744e-09,3.235419043789989e-08
1831,4.677361609140007e-09,1.5591206103948707e-09,2.8064170543018463e-08
1832,2.0294953273491956e-08,1.3529969367098715e-09,3.788391444992101e-08
1833,5.79181431703546e-08,3.4750886612755494e-09,2.4325619296661216e-08
1834,3.080395316601425e-08,4.667265462998671e-09,2.0535967815149547e-08
