year,un_DET or_NOUN,un_DET for_NOUN
1800,4.4961552170263985e-07,1.8864987794131594e-08
1801,5.762461718905598e-07,1.6668277424969347e-08
1802,6.019789964284428e-07,2.0140561218795483e-08
1803,3.335080056565687e-07,1.3652374342143503e-08
1804,6.67399774556543e-07,4.943701892301533e-09
1805,4.264316615376629e-07,1.421438877713399e-08
1806,4.2072369854651015e-07,1.152667650217154e-08
1807,4.128084847287994e-07,1.7081731584767113e-08
1808,5.053345026873046e-07,4.078933102391602e-08
1809,2.6430655797327063e-07,2.259030518203531e-09
1810,3.5803939590906e-07,4.680253518074551e-09
1811,7.420947225611485e-07,2.5070767684098882e-09
1812,4.4275655497472144e-07,4.267533171287141e-08
1813,4.486157074712338e-07,1.4378708002027452e-08
1814,2.5488085952929396e-07,9.440030979135372e-09
1815,2.8051123601713357e-07,3.506390555685357e-08
1816,3.3373494900956757e-07,2.4334840986739437e-07
1817,3.596377702308473e-07,6.383181205826816e-08
1818,4.1128063266171466e-07,4.6492590222158015e-08
1819,4.3370898339389896e-07,1.3456364911235141e-08
1820,5.339916668845035e-07,5.933240565525466e-09
1821,3.9939027973723285e-07,2.9584463767662328e-09
1822,4.210758675071702e-07,1.2030739071633434e-08
1823,3.3996441639594366e-07,1.581229902569703e-08
1824,3.9747652991195537e-07,8.421112696055388e-09
1825,3.971254782797473e-07,7.044354655150187e-09
1826,3.1796822663743285e-07,7.0463874735082754e-09
1827,3.659257501453794e-07,6.452091305675367e-09
1828,3.3754069272973197e-07,1.1923991571904935e-08
1829,2.700550321144135e-07,1.543171707085733e-08
1830,2.661393030400916e-07,5.844628048201628e-08
1831,3.3677005895071943e-07,2.9623292263636358e-08
1832,3.084832966848694e-07,1.8941957335982806e-08
1833,3.312917766784551e-07,4.40177885252524e-08
1834,4.2005388944943434e-07,2.5203233278148218e-08
1835,4.00843653380889e-07,2.2689263801112247e-08
1836,3.803944532698722e-07,1.680187500241459e-08
1837,3.0266826422931103e-07,2.435261770017405e-08
1838,4.336455154962948e-07,2.4617431648721322e-08
1839,2.712692359629898e-07,2.7965899929149884e-08
1840,3.044711236466213e-07,1.273937771939515e-08
1841,3.890852333654493e-07,7.0626033910059505e-09
1842,3.0790937222135994e-07,1.8783142152756227e-08
1843,3.142476772133307e-07,2.303695284533447e-08
1844,2.969311720946166e-07,1.5916826967554698e-08
1845,2.818015216732306e-07,1.897277535078956e-08
1846,2.359364073001302e-07,1.2879903366069811e-08
1847,2.389198110464008e-07,5.9325460100012606e-09
1848,2.622742316660265e-07,2.333114323960217e-08
1849,2.1702684072089085e-07,7.54147322368226e-09
1850,2.4033045598059743e-07,5.431196825611551e-09
1851,2.8313036226634836e-07,9.029214709244116e-09
1852,2.994851013848887e-07,1.8229528109259263e-08
1853,3.039713381003395e-07,2.0901761876856995e-08
1854,3.0342679568917674e-07,5.195664343204953e-09
1855,3.157627688210596e-07,2.9188154115900034e-08
1856,3.05454175508757e-07,1.760244366932895e-08
1857,4.0760602182388084e-07,1.5620828242024487e-08
1858,2.8089699988242955e-07,1.5170395495367472e-08
1859,2.8261562801112916e-07,2.0877910955618972e-08
1860,2.3984443742186556e-07,1.5104707040691778e-08
1861,2.801282459330423e-07,2.4994607550343773e-08
1862,3.203252283423552e-07,2.8011514913162117e-08
1863,3.156600310028068e-07,3.346396004744179e-08
1864,3.04944698381604e-07,7.048250072472229e-08
1865,2.7676245673013966e-07,2.3063536858103362e-08
1866,3.4643163537850796e-07,1.3137154752929092e-08
1867,2.9747733343299387e-07,1.067618526917613e-08
1868,2.657652117266096e-07,1.4325635011580573e-08
1869,2.1878165790134574e-07,2.8324411260882698e-08
1870,2.6204603731372345e-07,1.7202145929928747e-08
1871,1.6993883589222492e-07,2.4428708167434365e-08
1872,2.666876723900202e-07,1.69325495846806e-08
1873,2.3405277038701655e-07,1.6162211458059517e-08
1874,1.8162811832311831e-07,2.4495896866483235e-08
1875,2.385876887167626e-07,2.8035482102506393e-08
1876,1.8682186286866909e-07,1.8138044621807126e-08
1877,2.2389034581848932e-07,1.3606595294923807e-08
1878,1.7332184998331002e-07,1.4493813038640724e-08
1879,1.9549841123733813e-07,1.6495178334352545e-08
1880,1.8675932844658405e-07,3.4656368885777056e-08
1881,2.168449799722083e-07,1.9523021921319383e-08
1882,1.6571908467710728e-07,3.3276926103553706e-08
1883,1.9526757766286096e-07,3.8547968650437525e-08
1884,1.7956616193970376e-07,2.970763635090634e-08
1885,1.7983322930792411e-07,2.6427105892512515e-08
1886,1.6327263929749591e-07,4.2592862570245416e-08
1887,1.912974973983239e-07,1.5016526688782506e-08
1888,1.6739223385187074e-07,4.7554609583499996e-08
1889,2.1677373718276272e-07,3.132568338060082e-08
1890,1.8811089363968136e-07,2.5562107097698572e-08
1891,2.581559104264386e-07,4.398211694844889e-08
1892,2.062340609398916e-07,3.008885940403161e-08
1893,2.0630695130030574e-07,2.0938616174248637e-08
1894,1.7959387621502287e-07,2.7726772211522643e-08
1895,2.2028128654483226e-07,1.1435367985868083e-08
1896,2.305738274754887e-07,3.125425251937486e-08
1897,1.526598898404785e-07,3.262959613614669e-08
1898,1.9691074593097824e-07,3.621347133275776e-08
1899,2.1391728921571485e-07,3.316546859366554e-08
1900,2.429412844229262e-07,3.685647753659538e-08
1901,1.9616473878603102e-07,2.5708198236884527e-08
1902,2.3569362550546202e-07,3.1916845000257155e-08
1903,1.7064696722357553e-07,3.6181475593366486e-08
1904,1.5102696426794182e-07,3.6009989656804464e-08
1905,2.2758947837431265e-07,1.8062657147766004e-08
1906,1.9599343009657488e-07,2.5206503273533798e-08
1907,1.7279953024029737e-07,3.239991386294605e-08
1908,2.2445048664110345e-07,2.99594742347864e-08
1909,2.4644406049212364e-07,2.475442606453271e-08
1910,2.2552315703805448e-07,2.244543206852967e-08
1911,2.027062564469162e-07,2.2877609140437016e-08
1912,2.3650772540406706e-07,3.854971808436858e-08
1913,2.2378616071350166e-07,2.4393752795504042e-08
1914,2.2434091140333123e-07,6.161004001414838e-08
1915,1.9556064301262666e-07,5.301343009023185e-08
1916,2.2524296805492838e-07,3.9554864939006507e-08
1917,2.5442104623074613e-07,1.7546279540425758e-08
1918,2.1134932559618846e-07,2.6418664589300533e-08
1919,2.900472335642945e-07,3.038589824200244e-08
1920,2.83958701441378e-07,4.0890053121245273e-08
1921,2.1430874874717176e-07,4.770830841493989e-08
1922,2.700324364113271e-07,2.951174238319254e-08
1923,2.781378549698843e-07,6.475728175914242e-08
1924,3.081098132184934e-07,4.512068585427187e-08
1925,2.3756064404523158e-07,4.5092530598367375e-08
1926,2.7642422395501853e-07,3.009457361091705e-08
1927,2.0403081357756037e-07,3.790736535780326e-08
1928,2.787953921057351e-07,5.255978896556712e-08
1929,2.2280813460895388e-07,4.790374874552583e-08
1930,1.9746774748696794e-07,4.201441439199982e-08
1931,2.2696660373355826e-07,8.668070972106534e-08
1932,2.2357455264909731e-07,3.6166470818166374e-08
1933,2.1106018088801193e-07,2.523545639121494e-08
1934,2.3963159989648375e-07,5.751158482780738e-08
1935,1.9867351674918154e-07,8.377799076697556e-08
1936,1.9520790317528736e-07,4.122403041151301e-08
1937,1.825712123704193e-07,3.903246792447135e-08
1938,2.4115299090965436e-07,4.019216603978748e-08
1939,1.9117562644055397e-07,2.7529290846928234e-08
1940,1.3186070790816018e-07,3.550096039361961e-08
1941,2.508777141585483e-07,1.1806010391524069e-08
1942,1.9115534199976025e-07,6.675265740163638e-08
1943,2.467749915524564e-07,1.1612940831184915e-08
1944,2.2170985047864633e-07,6.42637232317611e-08
1945,3.071690679590233e-07,1.089252021913012e-08
1946,2.519719863869341e-07,2.5057987684817817e-08
