year,aucun_DET art_NOUN,aucun_DET phare_NOUN
1800,4.653363534501409e-07,0.0
1801,3.262220005240124e-07,0.0
1802,3.6924362234458386e-07,0.0
1803,4.07620897036054e-07,1.950339223455444e-09
1804,4.2763021212977037e-07,1.4831105232815389e-08
1805,2.9281640467893055e-07,0.0
1806,2.9969358461556794e-07,0.0
1807,3.672572095325677e-07,0.0
1808,2.9232354936681304e-07,0.0
1809,3.3885456618421017e-07,0.0
1810,4.3292344242829017e-07,0.0
1811,4.4876673888083474e-07,0.0
1812,2.90725702623007e-07,0.0
1813,3.422132679453682e-07,0.0
1814,2.3285410222229075e-07,0.0
1815,1.3486118088934518e-07,0.0
1816,3.082413133626005e-07,0.0
1817,3.3472779537024877e-07,0.0
1818,3.6359591715218187e-07,1.3113295338484932e-08
1819,4.3681430617059647e-07,1.035105001712111e-09
1820,4.010870533477373e-07,5.933240565525466e-09
1821,4.3094705048929427e-07,0.0
1822,3.699452264527281e-07,0.0
1823,2.678208073092492e-07,1.2847492847356534e-08
1824,2.4673860465895814e-07,0.0
1825,3.592620760883847e-07,1.3208164562072966e-08
1826,3.223722221390446e-07,7.0463874735082754e-09
1827,3.5763018146894865e-07,3.6869092223668076e-09
1828,2.9993424277563463e-07,9.172301251858528e-10
1829,3.523575387021083e-07,1.2002446370118491e-08
1830,3.7572610267488926e-07,2.0873671680021744e-09
1831,2.9311467653059253e-07,0.0
1832,3.0036533260613396e-07,8.117981842303834e-09
1833,1.8881314345353672e-07,5.791814139399776e-09
1834,2.389639881528183e-07,1.8669061851994684e-09
1835,2.942041064102341e-07,6.806779140333674e-09
1836,1.6197008106955124e-07,6.048674894287842e-09
1837,2.824903803100298e-07,0.0
1838,2.2155688839120558e-07,2.5248647617104325e-09
1839,2.0834595781948906e-07,0.0
1840,2.8217719427736654e-07,5.095750932326837e-09
1841,2.0353138996398457e-07,5.1364388298225094e-09
1842,1.9923546545896897e-07,6.037438549100216e-09
1843,2.539971799553342e-07,2.953455480181333e-09
1844,1.822202317924848e-07,5.488561272137815e-10
1845,2.2209307015685908e-07,0.0
1846,2.3183824837680334e-07,5.854501328173001e-10
1847,1.828302798045911e-07,3.235934187273415e-09
