year,en_ADP âme_NOUN,en_ADP ame_NOUN,en_ADP femmes_NOUN
1800,6.288328968651058e-09,1.446315653907959e-07,2.5153316451920205e-07
1801,1.904946067554647e-08,2.0478170359439218e-07,4.690929813477851e-07
1802,2.0140561218795483e-08,7.832440473976021e-08,3.75957142750849e-07
1803,4.290746247193056e-08,9.751695762005852e-08,2.2818969003246536e-07
1804,1.4831105232815389e-08,2.4471323856189997e-07,3.1639692643636863e-07
1805,2.842877711017877e-09,1.3645813323748257e-07,2.7860201612384117e-07
1806,1.2679343797117326e-07,2.0748018414451508e-07,3.2851028208824573e-07
1807,8.540865792383556e-09,2.7046074890790806e-07,2.391442421867396e-07
1808,9.064295980465431e-09,2.6286459053892486e-07,3.444432579158274e-07
1809,1.3554183553310395e-08,1.6716825657070444e-07,4.269567617232184e-07
1810,1.6380887757350138e-08,1.8487000863487424e-07,3.346381354241146e-07
1811,7.270522672797597e-08,9.777599307980722e-08,2.707643034227658e-07
1812,1.3336041604361526e-08,8.268345785822362e-08,3.0139452178445936e-07
1813,6.039057609541487e-08,7.189354045422647e-08,2.7607120500761084e-07
1814,4.405347908686963e-08,1.5733386149463513e-07,2.989343386161636e-07
1815,4.045835311217161e-08,2.886029148996272e-07,3.7761128623969853e-07
1816,3.9399267848239106e-08,1.3442102897442965e-07,2.3871319676516123e-07
1817,9.029865566390072e-08,8.25142891791586e-08,3.5029651712648047e-07
1818,8.344824209416402e-08,9.775365494846255e-08,2.8133979768085737e-07
1819,1.625114833814223e-07,1.1800196819677922e-07,3.29163384549247e-07
1820,9.374520004712394e-08,2.0054353644383127e-07,2.788623021388048e-07
1821,1.370746929296729e-07,1.4989461838421647e-07,3.145814851945872e-07
1822,1.1529458276982041e-07,1.6141241587774857e-07,3.18814585398286e-07
1823,8.103803139647425e-08,1.7195875101627678e-07,3.65659423851028e-07
1824,5.726356633317664e-08,1.1200079974571509e-07,3.5789727803603455e-07
1825,9.509878395874694e-08,1.673034146776331e-07,4.939853672780714e-07
1826,1.0041102171953753e-07,1.444509369896707e-07,2.968290669924656e-07
1827,4.7929820112813104e-08,1.281200947556016e-07,2.6730091917670507e-07
1828,1.1740545602378916e-07,1.1190207738209779e-07,2.4123150882404687e-07
1829,6.858540757548326e-08,1.0287811458287166e-07,3.6350266174878243e-07
1830,1.2106730196137505e-07,1.1376150732544943e-07,3.19367181589314e-07
1831,7.483778574624012e-08,1.683850194833525e-07,1.8709447147102765e-07
1832,7.035583848846727e-08,1.339466928484967e-07,2.665403826540569e-07
1833,6.950177322551099e-08,1.297366415409229e-07,1.760711541010096e-07
1834,6.347480763224667e-08,9.987947935385932e-08,3.2577513842113603e-07
1835,7.941242330389287e-08,1.096647750387092e-07,2.3294310835808574e-07
1836,1.424799052074377e-07,2.3522625891558846e-07,2.3925869852003956e-07
1837,1.4541991610883542e-07,1.0228099567299864e-07,2.6022512189527447e-07
1838,1.1993107307262107e-07,6.880256608887692e-08,2.916218688753247e-07
1839,9.508406151326199e-08,1.531133128063189e-07,1.8038006155407516e-07
1840,1.5733131419892743e-07,5.860113594380323e-08,2.9555355918198245e-07
1841,1.2327453191574023e-07,4.558589505876398e-08,2.876405829077555e-07
1842,1.9923547256439633e-07,8.519496930148307e-08,2.8107631244722597e-07
1843,1.7779802874429151e-07,6.143187414320295e-08,2.3627643930268505e-07
1844,2.2503100632897954e-07,2.5796237368425068e-08,2.4808296128497886e-07
1845,2.0758447760726995e-07,3.9061595735745414e-08,2.421818976472423e-07
1846,2.3066735366228386e-07,3.80542584110799e-08,3.0326316391438013e-07
