year,bien_ADV in_ADJ,bien_ADV fine_ADJ
1800,3.772997558826319e-08,1.1947824418712116e-07
1801,2.8574191901498125e-08,1.7620750725200196e-07
1802,3.8043282302169246e-08,1.8350289110458107e-07
1803,4.6808139586573816e-08,1.2092102963379148e-07
1804,3.707776485839531e-08,7.415552971679062e-08
1805,4.264316544322355e-08,1.2224374756897305e-07
1806,4.8988376022407465e-08,1.4696512096179504e-07
1807,2.2775640928784924e-08,4.839823830593559e-08
1808,6.345007363961486e-08,7.704651494577774e-08
1809,1.581321384946932e-08,2.6656559271032165e-07
1810,3.7442028144596406e-08,1.310471020588011e-07
1811,1.504245972228091e-08,1.9555199060050654e-07
1812,5.601137331723294e-08,1.3069320914382843e-07
1813,4.888760685162197e-08,1.1502966401621961e-07
1814,2.2026739543434815e-08,1.4789382873914292e-07
1815,2.966945977789237e-08,7.552225866902518e-08
1816,5.5622493277951435e-08,8.806894413737609e-08
1817,4.203558034987509e-08,1.0275364559220179e-07
1818,3.457141417584353e-08,9.656153565629211e-08
1819,4.34744116262209e-08,1.3145833577254962e-07
1820,6.170570543417853e-08,1.0561168295453172e-07
1821,2.465372084259343e-08,7.987805616949117e-08
1822,4.411270992932259e-08,8.321261191213125e-08
1823,7.313188632451784e-08,9.586206317635515e-08
1824,5.3895121254754486e-08,9.936913158981042e-08
1825,5.459374818883589e-08,7.13240879690602e-08
1826,3.082794464148719e-08,6.34174881497529e-08
1827,5.1616730445402936e-08,1.244331855332348e-07
1828,4.586150481600271e-08,7.979902250099258e-08
1829,4.6295149047637096e-08,9.687688873327716e-08
1830,3.339787468803479e-08,5.218418053232199e-08
1831,2.0268567268999504e-08,7.171954763407484e-08
1832,2.841293600397421e-08,1.27181706943702e-07
1833,2.6642345218874652e-08,7.29768601104297e-08
1834,2.240287422239362e-08,7.000897994657862e-08
1835,2.8739734148075513e-08,1.0285799589837552e-07
1836,2.9571300075303952e-08,8.064900214321824e-08
1837,4.174734513640033e-08,9.462731753728804e-08
1838,4.292270006089893e-08,7.637716237240966e-08
1839,3.985140750728533e-08,7.550793412747225e-08
1840,4.267691267045848e-08,5.095751021144679e-08
1841,3.531301828729738e-08,5.778493772368165e-08
1842,1.9453969102301016e-08,2.5491406319133603e-08
1843,2.7762482091020502e-08,3.307870244384503e-08
1844,3.1284798751585186e-08,4.555505839221041e-08
1845,3.124927516751086e-08,4.1293688468613254e-08
1846,2.4588905134237393e-08,6.088681203664237e-08
1847,3.020205241455187e-08,3.721324404182269e-08
1848,1.689496542667257e-08,3.539897619475596e-08
1849,2.76520690789539e-08,2.8490010350878947e-08
1850,3.055048125588655e-08,5.634866795389826e-08
1851,3.224719336003545e-08,6.384944128967618e-08
1852,3.580800012059626e-08,7.226705633911479e-08
1853,3.0456853039595444e-08,5.1955808544335014e-08
1854,3.273268589509826e-08,4.9358813924982314e-08
1855,3.343370380548549e-08,4.988520885262915e-08
1856,2.692138423299184e-08,4.711242240773572e-08
1857,2.880090299584026e-08,6.443592326377257e-08
1858,3.866004050223637e-08,5.0894229275399994e-08
1859,2.9025388315062628e-08,5.0412516827691434e-08
1860,3.3413442679375294e-08,4.165237399433863e-08
1861,3.678451676591976e-08,5.234719679947375e-08
1862,2.4397126097142063e-08,4.156547461775517e-08
1863,3.296449690992631e-08,4.345320192555846e-08
1864,3.2604148714199255e-08,6.041356925834407e-08
1865,3.718406915709238e-08,5.318734253023649e-08
1866,4.184427027098536e-08,5.838735361862746e-08
1867,2.426405742994575e-08,4.949867715708933e-08
1868,2.5193358510477992e-08,4.6928803953960596e-08
1869,2.3440891894210836e-08,2.6859355628516823e-08
1870,4.185855573268782e-08,3.4404294524392753e-08
1871,3.186353225714811e-08,4.248470730772169e-08
1872,5.1402384571019866e-08,5.5635521079011596e-08
1873,3.1725821969530443e-08,1.0056487553811166e-07
1874,2.4495896866483235e-08,6.034355237716227e-08
1875,3.547346949517305e-08,6.865832347102696e-08
1876,2.6602464231473277e-08,6.711076139254146e-08
1877,3.277952487223956e-08,3.463496867084359e-08
1878,3.563062378475479e-08,9.36058768274961e-08
1879,3.665595116331133e-08,6.842444122412417e-08
1880,3.914886193001621e-08,1.0332732358619978e-07
1881,3.486253774553916e-08,1.1783537701148816e-07
1882,3.394246306243076e-08,1.1447262693309312e-07
