year,un_DET futile_ADJ
1800,1.8864986905953174e-08
1801,2.3811825844433088e-09
1802,2.0140561218795483e-08
1803,2.3404069793286908e-08
1804,9.887403784603066e-09
1805,0.0
1806,0.0
1807,0.0
1808,2.2660739951163578e-09
1809,1.3554183553310395e-08
1810,1.1700633795186377e-08
1811,2.5070767684098882e-09
1812,1.600324983641599e-08
1813,0.0
1814,2.2026740431613234e-08
1815,0.0
1816,1.8540831092650478e-08
1817,1.556873407970727e-09
1818,1.0729059418679299e-08
1819,3.1053151161586356e-09
1820,2.254631326081835e-08
1821,1.97229765852569e-09
1822,4.010246357211145e-09
1823,9.882686669016039e-09
1824,1.2631669044083083e-08
1825,7.924898959288385e-09
1826,1.4973573381205085e-08
1827,1.1982455028203276e-08
1828,3.668920500743411e-09
1829,6.001223074036943e-09
1830,2.2961039292113128e-08
1831,1.2472964883158966e-08
1832,1.894195755802741e-08
1833,1.1583628278799551e-08
1834,1.4935249037506537e-08
1835,1.5126175867408165e-08
1836,1.4785650370718884e-08
1837,7.653680356156656e-09
1838,1.3886756633496589e-08
1839,9.08891817363866e-09
1840,1.7198158619446957e-08
1841,1.4767261191650505e-08
1842,2.3478928135034494e-08
1843,2.4218335781256428e-08
1844,1.701453911095996e-08
1845,1.9530798311961917e-08
1846,1.1709002656346001e-09
1847,1.1325769655456952e-08
1848,1.287235473768078e-08
1849,1.6758829879393033e-09
1850,1.1541293254424545e-08
1851,5.159551008659946e-09
1852,2.018269107395554e-08
1853,5.3747388761848924e-09
1854,1.0391328686409906e-08
1855,2.4411910715116392e-08
1856,1.0354378687793542e-08
1857,1.757343343067319e-08
1858,1.3702292633865909e-08
1859,3.1571474323754956e-08
1860,9.15436793036406e-09
1861,1.55626805886655e-08
1862,2.5300723294208183e-08
1863,1.1987090431375691e-08
1864,1.9178911347950134e-08
1865,2.5887643639865843e-08
1866,7.298419646417642e-09
1867,7.76449837758264e-09
1868,1.1855697756857353e-08
1869,5.860222973552709e-09
1870,1.3761717099214366e-08
1871,3.18635318130589e-09
1872,2.116568786902917e-08
1873,1.616221290134945e-08
1874,1.0754296120296658e-08
1875,1.3731664694205392e-08
1876,9.06902175579205e-09
1877,1.2369632429454214e-08
1878,1.0266450800600069e-08
1879,6.720257683667796e-09
1880,1.3477476912271413e-08
1881,5.5780060570498335e-09
1882,7.986462158271479e-09
1883,1.2638677659992936e-08
1884,1.3203393933736152e-09
1885,4.511945039809007e-09
1886,1.0325542199041138e-08
1887,8.487601954598745e-09
1888,1.141310668195672e-08
1889,3.132568426877924e-09
1890,5.898947996740844e-09
1891,1.211101796627645e-08
1892,6.8953633913793055e-09
1893,6.774258043407144e-09
1894,8.192000855444803e-09
1895,1.5648398132839247e-08
1896,1.0024949259612725e-08
1897,1.7480140002135158e-08
1898,5.6583546736987955e-09
1899,5.527578395003729e-09
1900,1.86877908703309e-08
1901,1.3412973398629902e-08
1902,1.9641135384773634e-09
1903,7.560307935250421e-09
1904,1.2361637935498493e-08
1905,9.289366165177171e-09
1906,9.259531807970234e-09
1907,9.257118072092396e-09
1908,7.367083609821634e-09
1909,1.1552065082298668e-08
