year,ton_DET air_NOUN,ton_DET fer_NOUN
1800,6.288328791015374e-08,1.5720822421627645e-08
1801,1.0477203105097033e-07,2.1430643926123594e-08
1802,6.042168365638645e-08,3.3567602031325805e-08
1803,1.1702035429550506e-07,5.851017448321727e-09
1804,2.447132398941676e-07,3.9549615138412264e-08
1805,2.1605870870189392e-07,2.842877711017877e-09
1806,8.068673817973604e-08,8.645007376628655e-09
1807,1.1103124819555887e-07,1.9928686256776018e-08
1808,5.4385774994614167e-08,6.798221985349073e-09
1809,6.325285362152044e-08,2.710836577435316e-08
1810,1.8018976355449468e-07,1.8721014072298203e-08
1811,1.328750656170996e-07,7.521229861140455e-09
1812,3.7340914360584065e-08,5.067695596494559e-08
1813,1.1215392459185125e-07,0.0
1814,8.496027881221835e-08,1.2586708564299443e-08
1815,1.0788894311275499e-07,2.4275012222574333e-08
1816,2.0858434979231788e-08,0.0
1817,1.3233423956648949e-07,9.341240669868967e-09
1818,8.821671215741844e-08,7.152706427149269e-09
1819,8.9019032145643e-08,2.1737204591865122e-08
1820,1.5663755448258598e-07,1.1866481131050932e-08
1821,8.185035582641831e-08,7.88919063410276e-09
1822,9.524335098376469e-08,2.8071724500478012e-08
1823,9.981513482415494e-08,3.162459771832715e-08
1824,1.6168537086969081e-07,3.115811608722652e-08
1825,7.748789787598298e-08,2.289415146350393e-08
1826,9.776862741617265e-08,1.6735169694470642e-08
1827,5.0695001418965546e-08,9.217272889383565e-09
1828,6.87922590003609e-08,2.93513645610588e-08
1829,4.286588117796697e-08,5.143905745796928e-09
1830,8.871310530622623e-08,1.5655254204105518e-08
1831,1.0446108422712541e-07,1.091384405071949e-08
1832,1.1365173968602704e-07,1.2176972430388844e-08
1833,1.0541102213323938e-07,9.266902467608418e-09
1834,4.947301412983052e-08,1.2134890203796544e-08
1835,9.983276072489389e-08,1.4369867074037757e-08
1836,6.989580292326991e-08,2.5538851033957144e-08
1837,8.001574336446993e-08,1.5307360268224102e-08
1838,7.19586488173718e-08,2.019891809368346e-08
1839,7.83045219776568e-08,1.817783634727732e-08
1840,6.624476167615967e-08,1.0191501864653674e-08
1841,7.38363050700741e-08,1.3483151928284087e-08
1842,1.1806546673653884e-07,1.542900918138912e-08
1843,9.746403284438543e-08,7.678984614845064e-09
1844,5.653218004830762e-08,5.488561161115513e-09
1845,7.756516784418466e-08,1.0602433431206038e-08
1846,6.908311700470904e-08,2.3418004424513583e-08
1847,4.0449176452739266e-08,1.0786447290911383e-08
1848,3.378993040925593e-08,1.1263310173426078e-08
1849,5.865590324560799e-08,1.0893239199560867e-08
1850,3.666057768469955e-08,7.467895635215882e-09
1851,4.385618201929731e-08,5.159551008659946e-09
1852,6.770967475588918e-08,7.161599979710331e-09
1853,4.598387448595531e-08,7.763511167269144e-09
1854,6.286754050677246e-08,1.4028294081924741e-08
1855,3.343370380548549e-08,1.963566731433275e-08
1856,6.678574049345798e-08,4.659470143053568e-09
1857,6.34596157844669e-08,1.0739319655783675e-08
1858,6.068158131533608e-08,2.5936483627475582e-08
1859,8.096555870196198e-08,1.3748868488150379e-08
1860,8.238931359372259e-08,1.6477862629926676e-08
1861,6.177912603710922e-08,1.6977470096435354e-08
1862,7.228778375889533e-08,1.0391368654438793e-08
1863,5.6938678327789205e-08,1.2486552458668143e-08
1864,6.856460998960756e-08,1.2466292886870178e-08
1865,7.76629320853317e-08,3.765475486972036e-09
1866,5.060237295850811e-08,6.811858299649032e-09
1867,5.095451882652924e-08,1.5043715606566366e-08
1868,6.421836218351018e-08,6.915823469455518e-09
1869,6.983432232487985e-08,1.6115613288292252e-08
1870,4.873941383820579e-08,1.777555125315189e-08
1871,9.134212586303647e-08,1.805600113868877e-08
1872,6.652073003543535e-08,1.2094678925045343e-08
1873,5.327544005950813e-08,1.0176207432266438e-08
1874,4.779687134970345e-08,5.377148060148329e-09
1875,8.925582317687031e-08,6.865832347102696e-09
1876,6.046014888738682e-08,1.209202959984168e-08
1877,4.7004602876654644e-08,9.277223766979148e-09
1878,6.039088651377256e-08,9.058633176906028e-09
1879,6.536978158777629e-08,5.498392852132383e-09
1880,7.829772652456768e-08,1.2835692508872398e-09
1881,4.2532295019270805e-08,4.880755410940907e-09
1882,5.790185042542362e-08,5.324308105514319e-09
1883,5.434631589196215e-08,6.319339052041073e-09
1884,5.479408571318345e-08,1.4523733327109767e-08
1885,5.156508686710026e-08,4.511945039809007e-09
1886,5.3563748991791726e-08,1.2906927748801422e-09
1887,6.594214041477642e-08,9.793386546164129e-09
1888,5.135897751529228e-08,4.438430289965822e-09
1889,6.077182668207115e-08,4.38559560889118e-09
1890,6.816562159173145e-08,4.588070645628051e-09
1891,6.501704330474922e-08,2.5496880162734215e-09
1892,6.080456893542419e-08,6.8953633913793055e-09
1893,3.448713337128595e-08,5.542575065575761e-09
1894,6.049477585534646e-08,1.0082462642557743e-08
1895,4.9954499203863634e-08,3.0093072478365457e-09
1896,7.548196956363995e-08,5.307326134129653e-09
1897,6.642453209693144e-08,1.2236098023699071e-08
1898,9.619203122923636e-08,1.5277557996462576e-08
1899,7.6833337914195e-08,6.080336234504102e-09
1900,7.475116392541281e-08,9.86300130456641e-09
1901,5.756400955903018e-08,3.353243460679778e-09
1902,4.173741263713282e-08,3.437198747846537e-09
1903,5.994244545171057e-08,7.020286574288548e-09
1904,5.4283715300584845e-08,4.837162670412454e-09
1905,5.109151568483128e-08,1.0321517862621477e-08
1906,9.928276401005576e-08,2.0576738091193647e-09
1907,8.897119219142269e-08,3.599990305858114e-09
1908,4.813161424976897e-08,1.0313916831705683e-08
1909,6.161101540058667e-08,1.6502950117569526e-09
1910,7.802459656147676e-08,5.878565967343263e-09
1911,8.459394962301303e-08,5.852411777418354e-09
1912,7.084812914115446e-08,7.814131564032323e-09
1913,7.477215291373795e-08,2.6514948014977335e-09
1914,4.687720611684654e-08,7.366418142140674e-09
1915,9.424609537234119e-08,4.712304768617059e-09
1916,6.043104061603799e-08,1.2086208034389756e-08
1917,6.799183305261636e-08,2.1932848870420685e-09
1918,5.168869243732388e-08,0.0
1919,8.839534260118853e-08,5.524709190130039e-09
1920,6.436396837727898e-08,3.786115865267448e-09
1921,9.238751808027246e-08,8.330022005509363e-09
1922,9.517536447845032e-08,2.2133805899215986e-09
1923,7.006525759578608e-08,0.0
1924,7.992807038448291e-08,1.675911143195208e-08
1925,1.1548086753521147e-07,9.898360353588487e-09
1926,8.805449525084441e-08,1.3375366592072169e-08
1927,1.4271007930943824e-07,8.919379901328739e-09
1928,7.769708032512312e-08,4.570416489713125e-09
1929,1.2588659537016156e-07,8.912325322185666e-09
1930,6.932378671109518e-08,3.1510811737689437e-09
1931,7.185374695239943e-08,9.124285327288817e-09
1932,5.4797681947604815e-08,8.767629289252454e-09
1933,7.111810784721229e-08,5.735331320977366e-09
1934,9.944711365506009e-08,4.7926320689839486e-09
1935,6.462873258783475e-08,1.196828414151696e-08
1936,9.093535968673905e-08,1.333718646634452e-08
1937,5.5400920295767264e-08,3.777335333410292e-09
1938,5.315738027533712e-08,6.4826072287971215e-09
1939,4.28233404292655e-08,3.058810094103137e-09
1940,4.3108311142958655e-08,2.5357829613881222e-08
1941,7.083606590185809e-08,8.854508237732261e-09
1942,8.192371581117186e-08,9.102635090130207e-09
1943,5.2258233296242906e-08,5.806470415592457e-09
1944,8.354284197764628e-08,9.639558484764166e-09
1945,8.931866934958066e-08,8.714016175304096e-09
1946,7.099762999729364e-08,5.568441707737293e-09
1947,1.1324827475789334e-07,1.549713246618012e-08
1948,6.631851801053301e-08,1.0871888278529696e-08
1949,8.049947064492358e-08,5.890204768377316e-09
1950,7.657460399101979e-08,1.2762433776458693e-08
1951,7.569595572576304e-08,3.1984206394497505e-09
1952,8.541291318664435e-08,3.1634410646574906e-09
1953,4.740483960929964e-08,5.386913581872932e-09
1954,8.306655985279576e-08,1.4658803948464083e-08
1955,6.663781526583534e-08,5.631364707880948e-09
1956,7.325758932807958e-08,1.5698054411927842e-08
1957,8.569986675865948e-08,1.2369053170591116e-08
1958,7.031407212032548e-08,6.617794756635931e-09
1959,7.440718263751478e-08,4.650448914844674e-09
1960,7.33608351843884e-08,1.3841666701708277e-09
1961,1.0352757295883919e-07,6.94815938118154e-09
1962,9.259256739113653e-08,6.976151933901775e-09
1963,8.1472268931293e-08,1.6811738556832267e-08
1964,8.274196883206741e-08,1.1559539936367713e-08
1965,7.004215873962494e-08,1.0396882466068291e-08
1966,9.250255139647834e-08,1.1632056873267516e-08
1967,8.628087444506605e-08,1.035370456037299e-08
1968,1.1902252072815145e-07,1.7067380397861598e-08
1969,8.311416710427011e-08,1.2262745902047456e-08
1970,6.300253296842584e-08,3.6789800095249348e-09
1971,6.37161305938605e-08,1.1818314327172175e-08
1972,6.771793703563844e-08,6.669190977248718e-09
1973,6.285052633892008e-08,6.615844538870874e-09
