year,ancien_ADJ phare_NOUN
1800,3.144164484325529e-09
1801,1.1905912922216544e-08
1802,6.713520406265161e-09
1803,1.950339223455444e-09
1804,7.4155526164076946e-09
1805,3.1271653710973624e-08
1806,2.0171682990621775e-08
1807,8.540865792383556e-09
1808,1.1330369975581789e-08
1809,4.51806094758922e-08
1810,7.020380277111826e-09
1811,1.504245972228091e-08
1812,8.00162425207418e-09
1813,8.627225156487839e-09
1814,4.090680150170556e-08
1815,0.0
1816,1.1588019432906549e-08
1817,6.227493631882908e-09
1818,4.768470773797162e-08
1819,1.449147024601416e-08
1820,1.3053129244156025e-08
1821,1.3806083831724436e-08
1822,1.303330066093622e-08
1823,1.8777104315859106e-08
1824,2.863178316658832e-08
1825,2.641632912414593e-09
1826,3.8755130660206305e-08
1827,1.2904182111750373e-08
1828,1.1006761502230233e-08
1829,4.115124596637543e-08
1830,5.218417697960831e-09
1831,3.1182412207897414e-09
1832,0.0
1833,1.0425265317692833e-08
1834,2.7070138797213872e-08
1835,1.2100940693926532e-08
1836,1.68018754465038e-08
1837,3.2006298056330706e-08
1838,1.3255540221024376e-08
1839,1.8876983975957273e-08
1840,2.0383004395441162e-08
1841,1.3483152372373297e-08
1842,1.0733224531378482e-08
1843,1.5357969118667825e-08
1844,1.6465683927435748e-08
1845,1.674068439427856e-09
1846,7.610851726624901e-09
1847,1.1325769655456952e-08
1848,1.045878850192139e-08
1849,2.513824526317876e-08
1850,8.146795238417326e-09
1851,1.0319102017319892e-08
1852,2.018269107395554e-08
1853,1.911018188138769e-08
1854,8.832629738719788e-09
1855,1.6982198758341838e-08
1856,2.329735160344626e-08
1857,1.4156376737517462e-08
1858,1.9085335978274998e-08
1859,1.6804172275897145e-08
1860,1.968189086709593e-08
1861,6.6023493339173456e-09
1862,2.1686334505943705e-08
1863,8.490855130105501e-09
1864,1.6302074357099627e-08
1865,1.2708479601997169e-08
1866,7.298419202328432e-09
1867,8.73506067478047e-09
1868,8.39778580008499e-09
1869,1.2208798194635051e-08
1870,1.490852596930381e-08
1871,1.911811864374613e-08
1872,1.5118347462816928e-08
1873,8.97900703789034e-09
1874,8.364453130127458e-09
1875,1.4303817408301e-08
1876,6.04601479992084e-09
1877,1.2988113695655557e-08
1878,1.388990406026025e-08
1879,2.6270098985037293e-08
1880,1.6044616302224313e-08
1881,3.555978822511463e-08
1882,8.652000893505374e-09
1883,3.033282780506852e-08
1884,3.1688145440966764e-08
1885,1.9981470977814553e-08
1886,9.680196200179125e-09
1887,3.917354773896875e-09
1888,8.242799331981132e-09
1889,9.397705447167226e-09
1890,5.898947996740844e-09
1891,1.6572972327821844e-08
1892,4.513329066035965e-08
1893,2.9560400349737392e-08
1894,2.3945849747519787e-08
1895,2.828748724148511e-08
1896,7.66613794667137e-09
1897,5.7684463428131494e-08
1898,2.319925584970406e-08
1899,1.0502398950507086e-08
1900,3.322274011452464e-08
1901,2.4031577727789966e-08
1902,7.365425602756659e-09
1903,1.4580595175672784e-08
1904,1.2361637935498493e-08
1905,2.012696076469922e-08
1906,3.395161785046952e-08
1907,2.777135388321028e-08
1908,1.7189861090116665e-08
1909,2.6404721686912325e-08
1910,1.7635697346918278e-08
1911,7.980560989828689e-09
1912,8.8560158095774e-09
1913,4.772690687104841e-09
1914,4.419850752057641e-08
1915,2.3561523843085297e-09
1916,8.789969641043172e-09
1917,5.483212217605171e-09
1918,4.594550517822427e-09
1919,1.749491218561161e-08
1920,5.300562211374427e-09
1921,4.543648568500203e-09
1922,1.1066903393697203e-08
1923,7.431163684401554e-09
1924,7.734974771800296e-09
1925,6.598906754362588e-09
1926,8.916910765321973e-09
1927,7.804457524684949e-09
1928,1.2568645679778001e-08
1929,2.0052731031228177e-08
1930,1.155396367469308e-08
1931,7.983749661377715e-09
1932,5.479768305782784e-09
1933,1.0323596200123575e-08
1934,2.516131836216573e-08
1935,4.787313656606784e-09
1936,1.33371855781661e-08
1937,2.1404900518717795e-08
