year,son_DET or_NOUN,son_DET for_NOUN
1800,1.25452167765161e-06,6.288328968651058e-09
1801,1.0381955606320048e-06,1.6668277424969347e-08
1802,9.95838888684375e-07,1.1189200677108602e-08
1803,1.0044246694373982e-06,3.900678446910888e-09
1804,1.2977217114240602e-06,9.887403784603066e-09
1805,9.950072372699736e-07,2.842877755426798e-08
1806,7.578790048867745e-07,8.645007376628655e-09
1807,9.394952158459091e-07,1.9928686256776018e-08
1808,1.0741191260876803e-06,1.8128591960930862e-08
1809,9.82678247218871e-07,2.9367397402779716e-08
1810,9.407309633502337e-07,0.0
1811,1.0178731670862362e-06,2.0056614147279106e-08
1812,6.107906798114016e-07,5.3344164641089264e-09
1813,8.655982277616658e-07,1.4378708002027452e-08
1814,9.471498465529749e-07,3.1466771410748606e-09
1815,1.1220449911419905e-06,1.0788894222457657e-08
1816,1.0614625640670283e-06,3.7081662185300956e-08
1817,9.761595762824982e-07,4.3592454090912724e-08
1818,8.750144031566265e-07,3.337929754820834e-08
1819,1.1613878356797613e-06,1.8631890696951814e-08
1820,1.301752971194503e-06,1.0679833017945839e-08
1821,8.924646834884697e-07,2.070912508145284e-08
1822,8.431543250253526e-07,1.1028177482330648e-08
1823,9.872803836685762e-07,3.063632902922109e-08
1824,1.142745000848322e-06,1.1789557774477544e-08
1825,1.0997997854644836e-06,1.4088708866211164e-08
1826,1.026130223347188e-06,1.4973572604048968e-08
1827,6.885303113213226e-07,2.3964910056406552e-08
1828,7.989074619629832e-07,4.1275356466030644e-08
1829,9.207591245008473e-07,1.457439946506156e-08
1830,7.723258761416218e-07,3.444155893816969e-08
1831,6.89131281594868e-07,5.456922025359745e-08
1832,8.104451931778556e-07,6.088486514954639e-08
1833,1.0911778209887757e-06,5.6759780875381693e-08
1834,9.455880087827495e-07,5.694063887062839e-08
1835,8.417716941266917e-07,7.563087933704082e-08
1836,8.078341666717392e-07,9.005805168271763e-08
1837,9.170500074873189e-07,7.931995327226105e-08
1838,9.076888827230789e-07,5.5547026533986354e-08
1839,7.858418245021426e-07,6.991475487438947e-08
1840,8.917564064958583e-07,4.0766007458614695e-08
1841,8.539329705570253e-07,7.383631128732304e-08
1842,1.0042272644561479e-06,1.0800306426972384e-07
1843,9.297478165137818e-07,8.033399012674636e-08
1844,9.270180119091975e-07,1.0647809034480815e-07
1845,8.05226888278554e-07,1.1048851433770324e-07
1846,8.418772874385638e-07,9.835562053694957e-08
1847,8.612977966393487e-07,8.844887133818702e-08
1848,8.302668921267298e-07,9.734718275922205e-08
1849,8.320759299351721e-07,1.1814974953949786e-07
1850,8.106061244461671e-07,9.165144376765966e-08
1851,8.010203007557948e-07,8.126292527776968e-08
1852,7.747549211067906e-07,1.3997671999277372e-07
1853,8.181546871099954e-07,1.4511793722249422e-07
1854,6.785537687292731e-07,1.257350845662586e-07
1855,8.761753029773445e-07,1.0985360177073744e-07
1856,6.947788167011026e-07,1.532447981844598e-07
1857,8.630508023799166e-07,1.5816090126463678e-07
1858,8.015841483910435e-07,1.6932119706325466e-07
1859,9.57837786197402e-07,1.8331823525841173e-07
1860,9.07655541837471e-07,2.0368467801290535e-07
1861,8.328392091527803e-07,2.1268996874823642e-07
1862,8.588691873256948e-07,2.3448349395494006e-07
1863,8.161210391932627e-07,1.8979558547016495e-07
1864,7.091402398629043e-07,2.833684220604482e-07
1865,8.458199216576645e-07,2.508747911633691e-07
1866,8.037992778042735e-07,2.3257629777617694e-07
1867,8.201251535666643e-07,2.096414561947313e-07
1868,6.871364561789051e-07,2.025348351253342e-07
1869,7.676892104235833e-07,2.788489439353725e-07
1870,7.012741516376764e-07,2.717939082685916e-07
1871,6.691341827291808e-07,2.8995813750043453e-07
1872,6.839540471759165e-07,1.9956219432515354e-07
1873,5.596914229855088e-07,1.8017873060216516e-07
1874,6.10007602652729e-07,1.8401796353373356e-07
1875,6.60264239726871e-07,2.111243446734079e-07
1876,6.511557675281665e-07,1.711022150630015e-07
1877,6.957918161631937e-07,1.5894977423158707e-07
1878,5.284202395650084e-07,1.7996484302784665e-07
1879,6.763023017164471e-07,2.266559704366955e-07
1880,6.052028771463824e-07,2.5607207021494105e-07
1881,6.066081423838909e-07,1.5409241882480273e-07
1882,6.442412558982369e-07,1.863507890220717e-07
1883,5.207135540530317e-07,2.3318361286328582e-07
1884,6.03395125864381e-07,2.3039922325551743e-07
1885,5.240301841347161e-07,2.784514663289883e-07
1886,6.434103374530764e-07,2.0005738576855947e-07
1887,4.642065440929599e-07,2.500578091257921e-07
1888,5.788981156662487e-07,2.85961732515716e-07
1889,4.836685678633046e-07,2.029904351275036e-07
1890,4.771593222763215e-07,2.5365474698446633e-07
1891,5.341596658325898e-07,2.434952079966024e-07
1892,5.353309795452788e-07,2.33815512729052e-07
1893,5.129961102579017e-07,2.4756835159678303e-07
1894,4.801772890417055e-07,3.06254804627315e-07
1895,6.157042493626363e-07,3.0634748782176757e-07
1896,4.876842885082056e-07,2.830574032941513e-07
1897,4.876959378563583e-07,2.8725696665787837e-07
1898,4.6002423870206144e-07,3.202628988674405e-07
1899,5.162758043297799e-07,2.8798683615605114e-07
1900,5.684203263633947e-07,2.7824043513646757e-07
1901,4.4989349268220735e-07,3.297355988252093e-07
1902,4.104997359810625e-07,2.71538709739616e-07
1903,3.866557785059399e-07,3.207730969734257e-07
1904,3.568751072435816e-07,3.224775184662576e-07
1905,4.2576262693216904e-07,3.3906187013599265e-07
1906,4.0381847998816056e-07,3.354008413225529e-07
1907,3.908560906040748e-07,3.620561699335667e-07
1908,4.543034899384679e-07,3.1629346608497144e-07
1909,4.2357574336904236e-07,3.4931244385916216e-07
1910,4.6440669576597315e-07,3.853132568565343e-07
1911,4.080726885291597e-07,3.655096918464551e-07
1912,4.3550760508992425e-07,3.240259900394449e-07
1913,4.5923891800470074e-07,3.03861298789343e-07
1914,5.156492521862788e-07,3.455519674844254e-07
1915,7.056676145644758e-07,3.263270969000587e-07
1916,8.735032057671788e-07,3.8456116158158693e-07
1917,7.204940737359777e-07,4.4523682163344347e-07
1918,6.133725038992566e-07,4.514145928169455e-07
1919,5.312928510470272e-07,3.830464834209124e-07
1920,6.125935283485262e-07,3.3393541798432125e-07
1921,4.369475385956889e-07,3.846955678454833e-07
1922,5.179310766934009e-07,4.360359753263765e-07
1923,5.509677052373263e-07,4.1720676335899043e-07
1924,5.053516742847819e-07,3.9835120446696237e-07
1925,5.279125154800113e-07,4.4432638901525934e-07
1926,5.305561736612674e-07,3.845417779757554e-07
1927,4.86106193520186e-07,4.6269283870969957e-07
1928,4.821789429954038e-07,3.9991144262785383e-07
1929,3.7654574125411955e-07,3.498087721709453e-07
1930,4.190937912262882e-07,4.033383902424248e-07
1931,4.5621427080533294e-07,3.706740869802161e-07
1932,5.446889931315368e-07,3.802959156473662e-07
1933,3.590317374513319e-07,3.6935531966264534e-07
1934,4.52903742953481e-07,4.3013872641495254e-07
1935,4.1769310410444405e-07,3.674263098218944e-07
1936,4.38914678824176e-07,3.8192851548046747e-07
1937,4.0669312006968994e-07,4.4320736947156547e-07
1938,4.200729367687117e-07,4.4211381577952125e-07
1939,3.8235127419739e-07,4.4046865355085174e-07
1940,4.057252613876017e-07,3.8797477941443503e-07
1941,4.899494241428215e-07,4.781434199685464e-07
1942,3.9444752530926053e-07,3.914133230864536e-07
1943,4.412917617990786e-07,3.8032382576602686e-07
1944,4.3378013181438746e-07,4.1128782868327107e-07
1945,4.5530733450149796e-07,4.5095032419339987e-07
1946,4.329463472174666e-07,4.6078855575615307e-07
1947,3.7073909719964604e-07,4.780269478033006e-07
1948,4.533577246945697e-07,4.403114530759922e-07
1949,3.7402802854913375e-07,3.720646191140986e-07
1950,3.935083658923588e-07,4.115885019473353e-07
1951,4.2219152396327786e-07,3.699506407883746e-07
1952,3.4481507549255497e-07,4.281190513211186e-07
1953,3.436851003790764e-07,4.4064952930966683e-07
1954,3.3617524453077863e-07,4.954675887347548e-07
1955,3.2286490858624006e-07,4.223523433211085e-07
1956,3.505898824585074e-07,4.186148032658821e-07
1957,2.9155624492460674e-07,4.4351889982863213e-07
1958,3.069002305622348e-07,4.036854761579889e-07
1959,2.666257157279972e-07,4.5419380967359757e-07
1960,3.4604165533025366e-07,4.401649960072973e-07
1961,3.119723412936537e-07,4.84981512727245e-07
1962,3.7227282811969076e-07,4.027142210816237e-07
1963,3.4464063247696686e-07,4.2417309487063903e-07
1964,3.473945788812216e-07,4.1005947082339844e-07
1965,3.5130519604464894e-07,4.2408336753396725e-07
1966,4.1266106931558966e-07,4.165384268617345e-07
1967,3.860452744142151e-07,4.4520930941871484e-07
