year,mon_DET or_NOUN,mon_DET fort_ADJ
1838,9.278878199125984e-08,5.870310637590137e-08
1839,1.0836786323853431e-07,6.64190160648559e-08
1840,1.0127805277759805e-07,5.4779321967401984e-08
1841,1.1107548747446572e-07,4.1091511082669285e-08
1842,1.422152213770289e-07,3.7566284305512454e-08
1843,8.919435912080331e-08,4.784597917861788e-08
1844,7.46444339672081e-08,3.1284798307495976e-08
1845,1.2778722091599803e-07,4.0177642213201636e-08
1846,8.606117085641074e-08,6.966856846979397e-08
1847,1.2512278502185836e-07,4.422443389273667e-08
1848,9.010648333029891e-08,4.666228548000362e-08
1849,5.530413860199701e-08,2.26244205592252e-08
1850,1.1405512978512888e-07,2.851378244628222e-08
1851,6.578427780290497e-08,4.321124014161626e-08
1852,9.375185161530908e-08,4.6224872818356744e-08
1853,7.70379240400132e-08,5.1358613806229414e-08
1854,8.313062949127925e-08,2.5458756436336216e-08
1855,1.475328552658084e-07,4.6701046585440054e-08
1856,1.0250834381331231e-07,3.7793482121628585e-08
1857,9.323682181872073e-08,4.4421734290978065e-08
1858,7.634134790990288e-08,7.242640398530398e-08
1859,1.5989423940432346e-07,6.61982533234351e-08
1860,9.200139317044886e-08,4.897586691754441e-08
1861,9.007490908707894e-08,4.291526889410591e-08
1862,1.084316711974509e-07,6.234821059436513e-08
1863,1.2536498195103718e-07,3.546180793456699e-08
1864,1.1027873991764636e-07,5.178306272668465e-08
1865,7.53095128480652e-08,5.742350239756888e-08
1866,1.196940804248925e-07,7.63901214506646e-08
1867,1.0142376005717324e-07,4.804283371129259e-08
1868,5.829051508143834e-08,6.718228995339359e-08
1869,1.4455216934550208e-07,3.4672985815831225e-08
1870,8.429052034131246e-08,7.683625602439292e-08
1871,8.072094637157079e-08,6.478918201935358e-08
1872,6.10781268894911e-08,6.652072936930153e-08
1873,7.183205408267668e-08,5.3275439504396616e-08
1874,8.42419886071255e-08,7.587753447779733e-08
1875,1.1900776364370813e-07,7.437985072300535e-08
1876,9.61316373171428e-08,6.590156420571702e-08
1877,6.617753400828263e-08,6.308512334740612e-08
1878,4.5897075418022126e-08,3.865016917625752e-08
1879,9.713827386903517e-08,8.247589011745049e-08
1880,6.417846365458502e-08,3.78652940113966e-08
1881,8.227558789819511e-08,5.647731238234144e-08
1882,8.119569905318258e-08,5.2577541209686274e-08
1883,7.835980098125361e-08,5.7505984862871173e-08
1884,7.790002776175697e-08,4.4891541151059755e-08
1885,5.47879024370701e-08,3.2872741195788535e-08
1886,7.227879655902214e-08,6.130790564107258e-08
1887,7.051238926081282e-08,4.7661150137656705e-08
1888,4.818867194167353e-08,6.974676036719529e-08
1889,7.392861539612383e-08,4.8868066038210145e-08
1890,6.554386544621593e-08,5.440140915524694e-08
1891,4.84440720871504e-08,4.716922807901369e-08
1892,6.080456849133498e-08,4.952124643686773e-08
1893,5.419406545748018e-08,4.126139119264849e-08
1894,5.6713854723611234e-08,4.348062065950842e-08
1895,6.680662156810513e-08,5.8982423389863925e-08
1896,5.66114787270422e-08,4.8355636383945466e-08
1897,6.059781965106481e-08,3.5542952803169214e-08
1898,4.470100434250668e-08,4.5266838277768784e-08
1899,6.356714976618605e-08,3.2612712530522003e-08
1900,6.281174180777782e-08,2.8550791841830403e-08
1901,3.409130805431815e-08,2.9061443085343086e-08
1902,2.700656170917526e-08,3.633609901854129e-08
1903,3.6181477369723325e-08,2.7001101798873606e-08
1904,2.6335664315979557e-08,2.4723275870996986e-08
1905,3.6641388589941926e-08,3.870569353914277e-08
