year,on_PRON eût_VERB,on_PRON fût_VERB
1800,1.0073903126794903e-05,4.464713470042625e-07
1801,1.0205749049418955e-05,4.0956339830700017e-07
1802,8.799187412478204e-06,4.788977889802482e-07
1803,8.801880881037505e-06,5.070882025393075e-07
1804,9.55370398969535e-06,7.118930511751387e-07
1805,8.963593700173078e-06,5.42989653240511e-07
1806,8.87554108430777e-06,5.849788067280315e-07
1807,1.0004200589719403e-05,6.832692065472656e-07
1808,9.134544143307721e-06,3.9429687603842467e-07
1809,9.225880603480618e-06,4.6536027298316185e-07
1810,8.871420732248225e-06,4.516444676028186e-07
1811,8.200648267120414e-06,4.0113229715643683e-07
1812,8.495058295920899e-06,5.147712158759532e-07
1813,9.596350082574645e-06,5.492666446116345e-07
1814,1.0802542419696692e-05,5.003216756449547e-07
1815,9.221807545145566e-06,6.958836706871807e-07
1816,8.649297683405166e-06,5.933065949648153e-07
1817,1.0502668374101631e-05,6.507730745397566e-07
1818,1.080177912626823e-05,5.889061753805436e-07
1819,1.1429629239501082e-05,5.051312541581865e-07
1820,1.2093131090296083e-05,6.704561883452698e-07
1821,1.071845144906547e-05,5.433680030364485e-07
1822,1.0879798082896741e-05,7.168315505623468e-07
1823,1.2530259027698776e-05,9.517027592664817e-07
1824,1.1527661399668432e-05,6.812680339862709e-07
1825,1.189439240079082e-05,6.489611337201495e-07
1826,1.0186434224124241e-05,5.725189566874178e-07
1827,1.063304648596386e-05,5.77001287638268e-07
1828,1.0629780035742442e-05,8.548584560230665e-07
1829,1.1411754940127139e-05,6.927126037226117e-07
1830,1.182075993710896e-05,5.802880878036376e-07
1831,1.1546846963028656e-05,4.911229893878044e-07
1832,1.0836152796400711e-05,4.924908694192709e-07
1833,1.0542260383772373e-05,5.189465355215361e-07
1834,1.0113964094671246e-05,5.143326688994421e-07
1835,1.0088403314512107e-05,5.233656565906131e-07
1836,1.062214528246841e-05,5.752962124461192e-07
1837,1.0409005199107924e-05,5.795923243567813e-07
1838,1.0983792890328914e-05,5.478956381921307e-07
1839,1.0379544278293906e-05,5.341486826182518e-07
1840,1.050425373705366e-05,5.210405333855306e-07
1841,1.0741578080342151e-05,4.7447852580262406e-07
1842,1.0065080914500868e-05,5.245863121672301e-07
1843,9.77771014731843e-06,4.84957411117648e-07
1844,1.0220798458249192e-05,5.466607149173797e-07
1845,9.813388942347956e-06,4.7097123001549335e-07
1846,1.0165170579057303e-05,5.415413966147753e-07
1847,9.811352583710686e-06,5.285359065965167e-07
1848,8.92295520316111e-06,4.296148290450219e-07
1849,9.758666465131682e-06,4.147810273025243e-07
1850,9.772759995030356e-06,4.596150233737717e-07
1851,9.467775953453383e-06,4.3211238676121866e-07
1852,8.763194273342378e-06,4.531339641289378e-07
1853,9.067184237210313e-06,4.5506121182370407e-07
1854,8.761968388171226e-06,4.6501196493409225e-07
1855,8.464034181088209e-06,3.948361211314477e-07
1856,8.792420203462825e-06,4.928684234073444e-07
1857,1.0172088650506339e-05,5.540512688639865e-07
1858,9.931715567290667e-06,3.6213202747603646e-07
1859,1.0760780469354359e-05,5.081989229438477e-07
1860,1.1115233064629138e-05,4.741962413845613e-07
1861,1.0294005733157974e-05,4.1547639284544857e-07
1862,1.0555823109825724e-05,5.403511522672488e-07
1863,9.855385769697023e-06,3.9357612990897906e-07
1864,9.2840316483489e-06,3.485767194888467e-07
1865,9.276248874812154e-06,4.622121139163937e-07
1866,9.475781325818389e-06,4.330395597662573e-07
1867,8.915100124795572e-06,4.037539156342973e-07
1868,8.954015811468707e-06,3.527070191466919e-07
1869,9.35291586756648e-06,3.7407755826279754e-07
1870,9.099362159759039e-06,4.0883767837840423e-07
1871,1.013897576740419e-05,4.768908752339485e-07
1872,9.270571126762661e-06,3.785634419273265e-07
1873,8.239735279857996e-06,4.657111389860802e-07
1874,8.359673074664897e-06,4.1045564103114884e-07
1875,8.36773347145936e-06,4.0966133951769734e-07
1876,8.32052546684281e-06,4.286624459837185e-07
1877,8.022324664125335e-06,3.587193191378901e-07
1878,7.903355481175822e-06,3.973720481553755e-07
1879,7.953730346343946e-06,3.445659331191564e-07
1880,7.670610102650244e-06,3.4592190445437154e-07
1881,7.694859277762589e-06,3.7930442431388656e-07
1882,7.844702622605837e-06,3.54066486352167e-07
1883,7.618594963787473e-06,3.342930199323746e-07
1884,7.597892818012042e-06,3.4988994457307854e-07
1885,7.543327228631824e-06,2.977883752919297e-07
1886,7.422774388032849e-06,3.975333697781025e-07
1887,7.288238521141466e-06,3.035949873719801e-07
1888,7.782470220263349e-06,3.2020105322771997e-07
1889,7.055170499370433e-06,3.001000550284516e-07
1890,6.709725653308851e-06,2.851158171779389e-07
1891,6.671896244370146e-06,3.0341286105795007e-07
1892,6.4584484107399476e-06,3.3160429779854894e-07
1893,6.088826580707973e-06,3.153109275899624e-07
1894,5.879966238353518e-06,2.848295821422653e-07
1895,6.30871181783732e-06,2.9250466582197987e-07
1896,6.014379664520675e-06,2.836470969214133e-07
1897,6.069687515264377e-06,3.0823315455563716e-07
1898,5.81961796797259e-06,3.015903189407254e-07
1899,6.099130018810683e-06,2.9904200005148596e-07
1900,5.645270107379474e-06,3.135396013931313e-07
1901,5.573090561483696e-06,2.9955640457046684e-07
1902,4.827791030947992e-06,2.278371766806231e-07
1903,5.6545704865129665e-06,2.6353075099905254e-07
1904,5.574023816734552e-06,2.0369829201172251e-07
1905,5.6835439181668335e-06,2.62166565789812e-07
1906,5.602016926786746e-06,3.256268712448218e-07
1907,5.026615099268383e-06,3.157705918965803e-07
1908,5.5204012596732355e-06,2.6816184117706143e-07
1909,5.739176231145393e-06,2.2223973417112575e-07
1910,5.845966484230303e-06,2.4209003868236323e-07
1911,5.472004886541981e-06,3.0911374437891936e-07
1912,5.8725808003146085e-06,2.8235064064574544e-07
1913,5.218141950535937e-06,2.460587325003871e-07
1914,4.902016371488571e-06,2.3170733243205177e-07
1915,4.89608453335677e-06,2.2501255614315596e-07
1916,5.425608719633601e-06,2.175517437308372e-07
1917,5.5512042536065564e-06,1.7984936562243092e-07
1918,5.7787959804045386e-06,2.7911895017496136e-07
1919,5.591005447058706e-06,2.1178051667902764e-07
1920,5.8207747315464076e-06,2.4306862655976147e-07
1921,5.490999228641158e-06,1.9386233418572374e-07
1922,6.134015848147101e-06,1.6526576018804917e-07
1923,5.812231506752141e-06,2.7389145884626487e-07
1924,5.944327995166532e-06,2.3462756360004278e-07
1925,5.33411628111935e-06,1.7707066035654861e-07
1926,5.8784733028005576e-06,2.2849583558581799e-07
1927,6.264749572437722e-06,2.1740989097907004e-07
1928,5.758724682891625e-06,1.8738707296961366e-07
1929,5.82531833970279e-06,2.462029726757464e-07
1930,5.009168489777949e-06,2.079713539160366e-07
1931,4.784547058989119e-06,2.0985856963307015e-07
1932,4.840827273255854e-06,2.2357454554366996e-07
1933,4.641030045604566e-06,1.6632459676202416e-07
1934,4.729129841507529e-06,1.6654396972626273e-07
1935,4.893831260233128e-06,1.8909888410689746e-07
1936,4.333372999099083e-06,1.200346702034949e-07
1937,4.3653406009980245e-06,1.485751965901727e-07
1938,4.696000587500748e-06,1.9058865063925623e-07
1939,4.637156052922364e-06,1.758815812991088e-07
1940,3.557703280421265e-06,1.6482589160204952e-07
1941,4.312145165386028e-06,1.3872062254449702e-07
1942,4.4633255811277195e-06,1.69915864489667e-07
1943,4.694531298810034e-06,2.29355578085233e-07
1944,4.89368244416255e-06,2.0564391434163554e-07
1945,5.271979716781061e-06,2.1785039905353187e-07
1946,4.774938702212239e-06,1.7122958695381385e-07
1947,5.310747837938834e-06,2.1338358635603072e-07
1948,4.791241053681006e-06,1.5655518836865667e-07
1949,3.793291966758261e-06,1.364564212735786e-07
1950,4.54768064628297e-06,1.808011518278363e-07
1951,5.0204541821585735e-06,2.1002961148042232e-07
1952,4.2358477685411344e-06,1.5079069726198213e-07
1953,3.816089588326577e-06,1.7884553926705848e-07
1954,4.751407118419593e-06,1.1824768364476768e-07
1955,3.7683215623474098e-06,1.482925995333062e-07
1956,3.7849754335184116e-06,1.4389883062904119e-07
1957,3.829988827419584e-06,1.62564688821476e-07
1958,3.670394448818115e-06,1.2821976724808337e-07
1959,3.3878519616337144e-06,1.2788733272373065e-07
1960,3.772546165237145e-06,1.2388291281695274e-07
1961,3.8006430713721784e-06,1.4591134345209866e-07
1962,3.753169721676386e-06,1.4713339169247774e-07
1963,3.875752327076043e-06,1.338473083478675e-07
1964,3.594408553908579e-06,1.5879157899689744e-07
1965,3.3445129474785062e-06,1.1436570446221594e-07
1966,3.957668809562165e-06,1.1299712809886842e-07
1967,3.794879376073368e-06,1.7305477229001553e-07
1968,4.013529178337194e-06,1.5719955115400808e-07
1969,3.5834469827022986e-06,1.4987800511789828e-07
1970,2.957899994271429e-06,1.4026110761733435e-07
1971,3.2448979254695587e-06,1.120170622925798e-07
1972,3.0155003969412064e-06,9.131661471428743e-08
1973,2.748883389358525e-06,9.978899129237107e-08
1974,2.049958311545197e-06,8.775892013090925e-08
1975,2.0064429691046826e-06,7.881842378765214e-08
1976,1.980879801521951e-06,7.998937689990271e-08
1977,1.979300122911809e-06,7.404744906125416e-08
1978,2.7445531713965465e-06,9.445540172237088e-08
1979,2.49528147833189e-06,1.129430842183865e-07
1980,2.1768441342828737e-06,7.16328969474489e-08
1981,2.132975282620464e-06,7.211126273887203e-08
1982,2.098756510804378e-06,6.642027727821187e-08
1983,1.9678525404742686e-06,7.767838638983449e-08
1984,2.0348720681795385e-06,8.582532728951264e-08
1985,1.9087365217274055e-06,7.098358167922925e-08
1986,2.0489151211222634e-06,7.253327538592202e-08
1987,1.9890709381797933e-06,8.310711052672559e-08
1988,1.917697886710812e-06,7.25583007010755e-08
1989,2.270984964525269e-06,8.726114231194515e-08
1990,1.7353953012388956e-06,6.211462277860846e-08
1991,1.8223295796815364e-06,7.209602159718997e-08
1992,1.8436273307997908e-06,7.713921945651236e-08
1993,1.8356933537688747e-06,7.367145826719934e-08
1994,1.7639354155107867e-06,7.64864367397422e-08
1995,1.7205436506628757e-06,7.645655841770349e-08
1996,1.5053419701871462e-06,7.046281780276331e-08
1997,1.4571684232578264e-06,7.048495120898224e-08
1998,1.63880599757249e-06,8.153500630214694e-08
