year,on_PRON eut_VERB,on_PRON fut_VERB
1800,5.929894314249395e-06,4.329514467826812e-06
1801,6.338708203657006e-06,4.874280875810655e-06
1802,6.118254759712727e-06,4.77555090583337e-06
1803,5.84906729272916e-06,4.692516313298256e-06
1804,5.180999664844421e-06,4.563036895888217e-06
1805,5.964357342236326e-06,5.188251861909521e-06
1806,6.129310122560128e-06,5.466526204145339e-06
1807,5.394980007622507e-06,4.711710857918661e-06
1808,5.309411108100903e-06,4.724764266939019e-06
1809,6.39757422504772e-06,5.351643380890891e-06
1810,5.94626214933669e-06,5.2652853810286615e-06
1811,5.294946163303393e-06,4.8436724000566755e-06
1812,5.590468617810984e-06,4.6969536242613685e-06
1813,6.223104946911917e-06,5.107317178953963e-06
1814,6.721302270307206e-06,5.383964435168309e-06
1815,6.51109769478353e-06,5.478060870700574e-06
1816,4.994436494598631e-06,4.584220391734561e-06
1817,6.2788705008642864e-06,5.891209070796322e-06
1818,6.5864506950674695e-06,6.013041797814367e-06
1819,6.886553592266864e-06,5.955993970019335e-06
1820,6.812546871515224e-06,6.359247436193982e-06
1821,6.403064276128134e-06,5.34591265477502e-06
1822,8.401466288887605e-06,5.659460271090211e-06
1823,7.708495559199946e-06,6.709356171086256e-06
1824,7.4358423489684355e-06,6.026148184901103e-06
1825,7.584128184134897e-06,7.037309842417017e-06
1826,6.572518032044172e-06,6.174397185532143e-06
1827,5.951593379904807e-06,5.602258625003742e-06
1828,6.473810344687081e-06,5.996850518386054e-06
1829,6.829392077634111e-06,6.688791927444981e-06
1830,6.741152219547075e-06,5.7580024304115796e-06
1831,4.992304184270324e-06,4.8270374009007355e-06
1832,5.789473789263866e-06,4.841023041990411e-06
1833,5.417662919171562e-06,4.598700570568326e-06
1834,5.154527798367781e-06,4.414299610289163e-06
1835,5.631475232803496e-06,4.90163722588477e-06
1836,5.711293511012627e-06,4.824826532967563e-06
1837,6.700448921037605e-06,5.068127961749269e-06
1838,6.978726105444366e-06,6.120903321971127e-06
1839,6.307009698502952e-06,5.1219549277448095e-06
1840,5.6779405213092105e-06,4.6377701892197365e-06
1841,5.287963972477883e-06,4.281221890778397e-06
1842,6.060917598915694e-06,4.8037886699603405e-06
1843,5.129561486683087e-06,3.951723385853256e-06
1844,5.679014179804653e-06,4.032446099699882e-06
1845,5.694064725503267e-06,4.097561259186477e-06
1846,5.426537086350436e-06,4.291349455343152e-06
1847,5.063697926743771e-06,3.617234995090257e-06
1848,4.845636908612505e-06,3.7056290125292435e-06
1849,4.795539098267909e-06,3.3366829939041054e-06
1850,5.515380507858936e-06,4.2947187921527075e-06
1851,5.200182386033703e-06,3.7587329302368744e-06
1852,4.107503059458395e-06,3.2064436368273164e-06
1853,4.636607968677708e-06,3.685279239107331e-06
1854,5.385305939853424e-06,3.830763375844981e-06
1855,5.199206270845025e-06,3.5965114193459158e-06
1856,5.794310254714219e-06,3.6033236483490327e-06
1857,7.3940220772783505e-06,3.9266858493647305e-06
1858,5.994753337290604e-06,3.4544459595053922e-06
1859,5.51329605968931e-06,4.196969143777096e-06
1860,4.991419018551824e-06,3.516192577990296e-06
1861,4.3820735982080805e-06,3.0634901122539304e-06
1862,4.632291279449419e-06,3.3790018392210186e-06
1863,4.422237225298886e-06,3.459773836311797e-06
1864,4.7103408178372774e-06,3.289662913630309e-06
1865,4.395721816763398e-06,3.2378383139075595e-06
1866,4.833013349525572e-06,3.2901274380492396e-06
1867,4.213696229271591e-06,2.8913051437484683e-06
1868,4.1534461843184545e-06,3.0222148552638828e-06
1869,4.215453714095929e-06,2.862719043150719e-06
1870,4.3429686229501385e-06,3.2018929232435767e-06
1871,4.152880364927114e-06,2.7392017045713146e-06
1872,4.466564746508084e-06,3.0018991878932866e-06
1873,4.214745899844274e-06,2.98761472095066e-06
