year,certain_ADJ enfant_NOUN
1800,2.5153315874604232e-08
1801,7.143547975374531e-09
1802,2.0140561218795483e-08
1803,3.315576679874255e-08
1804,0.0
1805,5.685755422035754e-09
1806,8.645007376628655e-09
1807,1.7081731584767113e-08
1808,2.4926813946279935e-08
1809,6.7770915546105925e-09
1810,9.360507036149102e-09
1811,2.0056614147279106e-08
1812,2.400487364440096e-08
1813,0.0
1814,5.978686612451156e-08
1815,2.697223555614414e-09
1816,6.952811659743929e-09
1817,2.6466848268569265e-08
1818,4.768470951432846e-09
1819,2.0702100145264524e-08
1820,5.933240565525466e-09
1821,3.057061304101438e-08
1822,5.012807946513931e-09
1823,2.0753642582249654e-08
1824,1.0947446504872005e-08
1825,4.842993694964548e-08
1826,3.6112735912752214e-08
1827,9.217272889383565e-09
1828,1.6510142586412258e-08
1829,1.2002446203585038e-08
1830,2.817945610189554e-08
1831,6.236482441579483e-09
1832,4.058990921151917e-09
1833,1.1583628278799551e-08
1834,1.8669061851994684e-09
1835,6.806779140333674e-09
1836,2.688300027031687e-09
1837,4.174734669071256e-09
1838,1.0730675237269338e-08
1839,1.11863602825224e-08
1840,7.006657642971703e-09
1841,3.852329122366882e-09
1842,8.720744570922534e-09
1843,2.3627644840651385e-09
1844,5.488561272137815e-10
1845,1.1160455892778032e-09
1846,7.025401371762996e-09
1847,5.393223645455691e-10
1848,0.0
1849,5.02764896381791e-09
1850,2.0366988096043315e-09
1851,7.094382858952031e-09
1852,3.906327261660181e-09
1853,7.166318205520383e-09
1854,2.5978321716024766e-09
1855,3.714855978387277e-09
1856,2.5885946719483854e-09
1857,1.122747095294585e-08
1858,8.319249067412215e-09
1859,8.14747713739905e-09
1860,2.7463103458025273e-09
1861,5.187560159214399e-09
1862,3.1625904395315985e-09
1863,6.992469103739296e-09
1864,1.1986819981046892e-08
1865,1.882737743486018e-09
1866,1.9462451650298362e-09
1867,1.1161466417775046e-08
1868,1.1855697534812748e-08
1869,9.767038400276817e-09
1870,9.17447806614291e-09
1871,9.55905954391767e-09
1872,7.256807155187062e-09
1873,3.591602570907071e-09
1874,1.672890553860995e-08
1875,1.7736734192475012e-08
1876,4.232210137899983e-09
1877,1.3606595405946109e-08
1878,1.2078177347163432e-08
1879,4.887460214320072e-09
1880,2.1820677709172287e-08
1881,4.8807553554297556e-09
1882,1.9966155395678697e-09
1883,1.579834751908038e-08
1884,7.922036360241691e-09
1885,3.222817901438191e-09
1886,1.9360391623202133e-09
1887,3.264462311580729e-09
1888,6.34061447790657e-09
1889,6.265136853755848e-09
1890,6.554386478008212e-10
1891,2.5496880162734215e-09
1892,5.014809900671935e-09
1893,1.847525021858587e-09
1894,8.192001299534013e-09
1895,7.222337172763105e-09
1896,4.717623180994224e-09
1897,4.078699600285063e-09
1898,6.790025763869778e-09
1899,2.7637891975018647e-09
1900,4.1528424032932776e-09
1901,3.912117241267055e-09
1902,4.4192554615740676e-09
1903,3.7801541896698154e-09
1904,1.6123875568041512e-09
1905,9.289366387221776e-09
1906,2.0576737536082135e-09
1907,4.6285588695127444e-09
1908,4.911389073214423e-09
1909,2.2003934230241384e-09
1910,4.809735609789811e-09
1911,6.384448969498635e-09
1912,3.6465947483854677e-09
1913,1.5378670392696137e-08
1914,0.0
1915,1.1780761921542648e-09
1916,1.0987462051303964e-09
1917,2.1932848870420685e-09
1918,0.0
1919,1.012863304339362e-08
1920,4.543339038320937e-09
1921,1.8174593885422752e-08
1922,5.1645547283207804e-09
1923,2.1231896241147297e-09
1924,9.024137215263295e-09
1925,1.0998177923937646e-09
1926,8.916910876344275e-09
1927,2.2298449753321847e-09
1928,5.713020612141406e-09
1929,6.684243825105796e-09
1930,7.352522479742163e-09
1931,0.0
1932,5.4797681947604815e-09
1933,0.0
1934,3.5944740517379614e-09
1935,1.3165112555668657e-08
1936,2.424942913137329e-09
1937,3.777335444432595e-09
1938,1.2965214457594243e-09
1939,4.588215141154706e-09
1940,5.0715658339584024e-09
1941,0.0
1942,0.0
1943,5.806470415592457e-09
1944,3.2131861615880553e-09
1945,4.357008087652048e-09
1946,6.960552134671616e-09
1947,8.344609669919123e-09
1948,3.2615663503321457e-09
1949,4.908504047662632e-09
1950,2.1270722960764488e-09
1951,1.0661401761424827e-08
1952,0.0
1953,4.30953106533849e-09
1954,3.9090144454689835e-09
1955,3.754243138587299e-09
1956,5.232684952005684e-09
1957,5.301022620862739e-09
1958,8.272243445794913e-10
1959,4.650448692800069e-09
1960,3.4604167309382206e-09
1961,4.168895617606694e-09
1962,6.341956571009888e-09
1963,3.879631838010766e-09
1964,6.083968384640315e-09
1965,1.0944086470399128e-08
1966,8.308612131635584e-09
1967,4.930335584241163e-09
1968,4.042274071025531e-09
1969,7.72098804335819e-09
1970,3.2191074805787423e-09
