year,aucun_DET phare_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,1.950339223455444e-09
1804,1.4831105232815389e-08
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,1.3113295338484932e-08
1819,1.035105001712111e-09
1820,5.933240565525466e-09
1821,0.0
1822,0.0
1823,1.2847492847356534e-08
1824,0.0
1825,1.3208164562072966e-08
1826,7.0463874735082754e-09
1827,3.6869092223668076e-09
1828,9.172301251858528e-10
1829,1.2002446370118491e-08
1830,2.0873671680021744e-09
1831,0.0
1832,8.117981842303834e-09
1833,5.791814139399776e-09
1834,1.8669061851994684e-09
1835,6.806779140333674e-09
1836,6.048674894287842e-09
1837,0.0
1838,2.5248647617104325e-09
1839,0.0
1840,5.095750932326837e-09
1841,5.1364388298225094e-09
1842,6.037438549100216e-09
1843,2.953455480181333e-09
1844,5.488561272137815e-10
1845,0.0
1846,5.854501328173001e-10
1847,3.235934187273415e-09
1848,1.6090443422100975e-09
1849,0.0
1850,6.788996032014438e-10
1851,0.0
1852,5.208436348880241e-09
1853,1.1943863675867306e-09
1854,5.195664343204953e-09
1855,0.0
1856,1.1907535402144731e-08
1857,0.0
1858,7.34051397444091e-09
1859,1.018434669930457e-09
1860,4.119465657481669e-09
1861,2.8295783494058924e-09
1862,4.517986262886353e-10
1863,9.989241656072068e-10
1864,9.10998321224099e-09
1865,0.0
1866,0.0
1867,9.7056229719783e-10
1868,8.397785578040384e-09
1869,1.0255389870650333e-08
1870,2.981705371496446e-08
1871,2.1242354542039266e-09
1872,2.4189357183956872e-09
1873,2.9930022904522957e-09
1874,4.779687312606029e-09
1875,5.149374260327022e-09
1876,1.813804439976252e-09
1877,1.2369631985365004e-09
1878,5.435179861734696e-09
1879,1.221865053580018e-09
1880,1.1552123480029763e-08
1881,5.5780060570498335e-09
1882,0.0
1883,0.0
1884,2.6406787867472303e-09
1885,0.0
1886,1.2906927748801422e-09
1887,4.570247291724172e-09
1888,6.340614699951175e-10
1889,1.8795410228200637e-09
1890,0.0
1891,3.1871099093194744e-09
1892,3.761107425503951e-09
1893,3.0792082772457263e-09
1894,1.2603078580752936e-09
1895,1.2037229435435393e-08
1896,9.435246750566506e-09
1897,6.409385022720926e-09
1898,2.26334195829736e-09
1899,6.633094074004475e-09
1900,5.191053142894475e-10
1901,5.588738916095792e-10
1902,1.4730851538580225e-09
1903,8.640352433531007e-09
1904,8.061937784020756e-09
1905,1.186974607492175e-08
1906,2.572092316910357e-09
1907,5.142843373384665e-10
1908,4.911389073214423e-10
1909,5.5009836685826485e-09
1910,2.137660271017694e-09
1911,8.51259862599818e-09
1912,6.772247651554153e-09
1913,1.0605979650080144e-08
1914,7.366417920096069e-09
1915,2.3561523843085297e-09
1916,6.592477008737774e-09
1917,5.483212328627474e-09
1918,5.743188147278033e-09
