year,en_ADP oie_NOUN,en_ADP foi_NOUN
1800,3.144164484325529e-09,1.9588144497539872e-06
1801,1.666827853519237e-08,1.3882294638278836e-06
1802,2.0140561218795483e-08,3.8088039389094774e-06
1803,9.751696339321825e-09,6.806684069715629e-07
1804,1.2359254952798437e-08,7.341397463278554e-07
1805,3.695740957709859e-08,6.02690079176682e-07
1806,1.4408345627714425e-08,2.5877389759898506e-06
1807,0.0,2.08397113965475e-06
1808,1.0877154998922833e-07,1.5907839383544342e-06
1809,0.0,9.036122321504081e-07
1810,2.3401266702194334e-08,7.628813420978986e-07
1811,1.504245972228091e-08,9.000405611914175e-07
1812,2.6672082320544632e-09,6.668020660072216e-07
1813,5.751483289628823e-09,7.476928090000001e-07
1814,1.1642705288750221e-07,2.0799535889182152e-06
1815,0.0,3.096412604985943e-06
1816,2.3176038865813098e-09,2.5377762398193227e-06
1817,4.670620334934483e-09,2.5781823183024244e-06
1818,4.768470951432846e-09,2.6357723186265503e-06
1819,4.140420006848444e-09,1.5143586028498746e-06
1820,2.3732962262101864e-09,8.579466008740155e-07
1821,1.577838126820552e-08,1.419068212271668e-06
1822,1.0025615893027862e-09,9.724847416237026e-07
1823,1.9765373782121287e-09,9.813507801936794e-07
1824,1.9368560089105813e-08,1.013901965052355e-06
1825,7.924898959288385e-09,9.421824245237076e-07
1826,3.5231937367541377e-09,1.7281265723978478e-06
1827,1.8434546111834038e-09,1.4001037355049206e-06
1828,7.337841001486822e-09,1.5647945919572415e-06
1829,9.430493719264632e-09,1.955541478082523e-06
1830,2.0873671680021744e-09,1.0322030732368148e-06
1831,1.5591206103948707e-09,1.9644919575512176e-06
1832,2.0294953273491956e-08,2.129617106882975e-06
1833,2.3167257001688313e-09,1.6101243377475427e-06
1834,3.733812370398937e-09,1.7119529616138607e-06
1835,7.563087933704082e-09,1.7334596904561295e-06
1836,2.016224964762614e-09,2.2958082293023097e-06
1837,1.3915781860163179e-09,1.4068855307414196e-06
1838,4.418513332993257e-09,1.132401820314044e-06
1839,2.0974426639952526e-09,1.85134260277664e-06
1840,5.732719632334238e-09,1.1115106715586798e-06
1841,2.3113974734201292e-08,9.97111186507027e-07
1842,1.341653010911159e-09,1.4134315113878415e-06
1843,1.7720733214154905e-09,1.2634882295969874e-06
1844,3.2931368743049916e-09,1.2662110577821295e-06
1845,3.9061593959388574e-09,1.2828943647957836e-06
1846,2.9272506640865004e-09,1.4700652508636836e-06
