year,bien_ADV utile_ADJ,bien_ADV futile_ADJ
1800,4.307505321321514e-07,6.288328968651058e-09
1801,3.047913708087435e-07,7.143547975374531e-09
1802,4.3637882640723547e-07,8.951360541686881e-09
1803,5.012371957491268e-07,5.851017448321727e-09
1804,4.0785539567878004e-07,2.2246657849223084e-08
1805,5.174037482902349e-07,2.55858996212055e-08
1806,3.054569219784753e-07,2.0171682990621775e-08
1807,3.1601200589648215e-07,1.1387820464392462e-08
1808,1.9714843801921234e-07,2.2660739951163578e-09
1809,3.6596293284674175e-07,9.036122072814123e-09
1810,3.2761775514700275e-07,4.680253518074551e-09
1811,3.2591998433417757e-07,2.5070767684098882e-09
1812,3.200649985046766e-07,1.8670457180292033e-08
1813,3.8822511783109803e-07,2.0130190847567064e-08
1814,3.3984113656515547e-07,5.034683425719777e-08
1815,2.697223635550472e-07,4.315557688983063e-08
1816,4.032630727124342e-07,6.952811659743929e-09
1817,2.926921922608017e-07,1.5568733857662664e-08
1818,2.443841253807477e-07,1.1921177378582115e-09
1819,4.1404200601391494e-07,5.175524897538253e-09
1820,3.1446174375560076e-07,1.0679833017945839e-08
1821,3.993902737420285e-07,4.339054981983281e-08
1822,3.278376539128658e-07,2.105379337535851e-08
1823,3.103163805917575e-07,8.894418535021487e-09
1824,2.560018401709385e-07,1.3473780313688621e-08
1825,3.6542587622534484e-07,2.1133063299316746e-08
1826,2.818555060457584e-07,2.025836387531399e-08
1827,2.3411872973611025e-07,1.2904182611350734e-08
1828,3.733126732186065e-07,5.870272801189458e-08
1829,2.5976723350140674e-07,1.1145129263923081e-08
1830,2.4839670231813216e-07,2.6092090266160994e-08
1831,3.6795245250687003e-07,2.0268567268999504e-08
1832,2.692463851872162e-07,4.058990654698391e-08
1833,3.046494327918481e-07,2.7800709290204395e-08
1834,2.2962946388815908e-07,5.0406466556296436e-08
1835,2.6697699695432675e-07,2.949604294144592e-08
1836,2.5740473574842326e-07,1.344150035720304e-08
1837,3.005808935085952e-07,2.0177884030303517e-08
1838,2.8909701654811215e-07,3.092959488526503e-08
1839,2.92942814894559e-07,2.516931019158619e-08
1840,2.5606149733903294e-07,6.497082694068013e-08
1841,2.52969613256937e-07,3.274479709602929e-08
1842,2.991886276504374e-07,2.6162233268678392e-08
1843,2.280067690207943e-07,2.5990408047960045e-08
1844,2.2557986767424154e-07,2.030767731753258e-08
1845,2.30463413686266e-07,6.138250796539069e-08
1846,2.6228167371300515e-07,1.9319854160926297e-08
1847,3.0417780294555996e-07,2.9123407685460734e-08
1848,3.218088693301979e-07,2.011305433313737e-08
1849,2.8908982585562626e-07,1.8434713311421547e-08
1850,1.9212858148875966e-07,3.4623880651452055e-08
1851,2.818404709614697e-07,1.3543821175687754e-08
1852,2.597707577933761e-07,5.338647213193326e-08
1853,2.3350253286480438e-07,2.7470886010405593e-08
1854,3.2732685895098257e-07,4.2604447969551984e-08
1855,3.051488874916686e-07,2.812676669350367e-08
1856,2.1588878951206425e-07,2.7439103433835044e-08
1857,2.5579106477380265e-07,2.6848299583548396e-08
1858,2.593648389392911e-07,3.572383538985591e-08
1859,3.3251890840801934e-07,2.953460587207246e-08
1860,3.28184086129113e-07,1.6477862629926676e-08
