year,bon_ADJ acteur_NOUN,bon_ADJ facteur_NOUN
1800,5.030663263738688e-08,3.144164484325529e-09
1801,1.285838611142509e-07,0.0
1802,2.2378401354217203e-08,0.0
1803,4.095712213825209e-08,1.950339223455444e-09
1804,9.39303390623536e-08,4.943701892301533e-09
1805,4.5486042488107614e-08,0.0
1806,1.123850950079941e-07,0.0
1807,1.9643989901396708e-07,0.0
1808,1.2010191596800723e-07,0.0
1809,6.551188391767937e-08,0.0
1810,3.9782154725998e-07,0.0
1811,9.27618373225414e-08,0.0
1812,1.0935553973467904e-07,0.0
1813,1.0352669921331881e-07,0.0
1814,1.2586708342254838e-07,0.0
1815,2.966945977789237e-08,0.0
1816,6.025770460382773e-08,0.0
1817,1.0586739307427706e-07,0.0
1818,6.199012148044858e-08,0.0
1819,8.073819124376769e-08,0.0
1820,8.662531314485022e-08,0.0
1821,1.5383922402634198e-07,0.0
1822,1.3534581455587613e-07,0.0
1823,1.1463917104492793e-07,3.063632902922109e-08
1824,1.1115868581157429e-07,0.0
1825,1.338427408903442e-07,0.0
1826,6.165589183648734e-08,0.0
1827,5.622536392024813e-08,0.0
1828,1.0823315221841767e-07,0.0
1829,7.630126930280312e-08,0.0
1830,7.514521493945381e-08,0.0
1831,1.4655733138191351e-07,4.677361609140007e-09
1832,1.7859559009458792e-07,1.3529969367098715e-09
1833,6.255159235024621e-08,0.0
1834,7.467624874024636e-08,0.0
1835,1.096647750387092e-07,8.31939672707449e-09
1836,8.93859737338687e-08,0.0
1837,6.470838798122713e-08,6.957891152126194e-09
1838,7.258985990077349e-08,9.468243078458727e-09
1839,7.410963576148788e-08,9.788065469251706e-09
1840,3.630722389402763e-08,1.6561189752906103e-08
1841,4.6227948580224165e-08,1.4125206782011901e-08
1842,4.024958855097793e-08,6.708265054555795e-10
1843,4.312044954435379e-08,4.134837805480629e-09
1844,5.3787900355928286e-08,4.335963410539989e-08
1845,5.245414413934668e-08,0.0
1846,4.6836011069473216e-08,2.9272506640865004e-09
1847,4.638172157456211e-08,5.393223645455691e-10
1848,1.930853166243196e-08,0.0
1849,1.4245005175439474e-08,4.022119171054328e-08
1850,1.5614691761811628e-08,2.5119284430275002e-08
1851,3.740674614505224e-08,1.9348316282474798e-09
1852,5.4037528229855525e-08,1.3021090872200602e-09
1853,5.1955808544335014e-08,7.763511611358354e-09
1854,2.0263090760863633e-08,8.313063126763609e-09
1855,8.066544410212373e-08,0.0
1856,9.318940968894296e-08,1.5531567143511893e-09
1857,5.564920191325484e-08,6.3459617560823744e-09
1858,7.634134790990288e-08,3.9149408159744326e-09
1859,5.855999418713509e-08,1.5276520048956854e-09
1860,6.087654469411063e-08,1.0527522853465143e-08
1861,4.008569121083383e-08,1.4147891747029462e-09
1862,5.421583537668084e-08,1.445755604123633e-08
1863,4.5950511839976116e-08,7.491931519609807e-09
1864,5.274200842730892e-08,2.6371003158942585e-08
1865,3.106517354467542e-08,1.2237795665726026e-08
1866,3.989802560555589e-08,4.865613023596893e-09
1867,4.998396008204509e-08,2.038180824115443e-08
1868,4.4952853883728494e-08,6.9158236915001225e-09
1869,5.4695412643468444e-08,1.953407657850903e-09
1870,4.529898500749141e-08,2.1789386295267832e-08
1871,7.859671313781291e-08,0.0
1872,3.386510050162883e-08,2.4189357183956872e-09
1873,4.2500630570430076e-08,2.3944017879529156e-09
1874,3.644511714639975e-08,4.182226565063729e-09
1875,6.636971744411468e-08,1.5448122780981066e-08
1876,5.139112668750556e-08,3.627608879952504e-09
1877,5.751878928705878e-08,3.0924081073635534e-09
1878,5.91830682239447e-08,3.925407554561389e-08
1879,5.742765785132775e-08,2.443730107160036e-09
1880,8.022308151112156e-08,1.6686400261534118e-08
1881,5.9266315022288296e-08,1.4642266066289267e-08
1882,4.9249848643739824e-08,6.655385131892899e-09
1883,5.434631644707366e-08,4.423537092179686e-09
1884,4.02703532742521e-08,7.922036360241691e-09
1885,5.8010721781798225e-08,7.090199094506033e-09
1886,4.001147502208369e-08,7.744156427236248e-09
1887,7.442974159221905e-08,5.223139698529167e-09
1888,2.789870379160675e-08,2.53624587998047e-09
1889,4.385595797629094e-08,1.8795409673089125e-09
1890,2.2284914802384037e-08,6.554386478008212e-10
1891,2.103492668936724e-08,1.2748440081367107e-09
1892,5.202865338560514e-08,6.268512375839919e-10
1893,3.079208354961338e-08,8.621783287310336e-09
1894,2.331569493030372e-08,6.301539290376468e-10
1895,3.1296796265678495e-08,3.0093072478365457e-09
1896,3.125425251937486e-08,1.179405795248556e-09
1897,2.505486840220783e-08,6.992056267307589e-09
1898,1.5277558773618694e-08,1.4711722506888236e-08
1899,2.5979618456517528e-08,3.3165470370022376e-09
1900,3.581826801823951e-08,0.0
1901,3.5209055282425794e-08,5.58873880507349e-09
1902,2.4060391012881155e-08,1.718599307309887e-08
1903,2.3220946943069976e-08,4.860198465905796e-09
1904,3.815983973254333e-08,4.837162670412454e-09
1905,3.4061010012464976e-08,1.186974607492175e-08
1906,3.549487459508782e-08,1.18316245689698e-08
1907,2.4685648525313297e-08,1.6971383742792057e-08
1908,5.451641738041246e-08,6.875944702500192e-09
1909,2.80550155329351e-08,2.475442606453271e-08
1910,3.847788387911777e-08,1.336037680488289e-08
1911,5.373578004785884e-08,2.2345570727111408e-08
1912,2.031674206648404e-08,1.7712032729377825e-08
1913,2.8105845761849935e-08,2.6514948459066545e-08
1914,3.147469485043075e-08,2.74566485103378e-08
1915,7.068456930880984e-09,8.246533234057551e-09
1916,2.6369908923129515e-08,1.4283700444650549e-08
1917,2.3029491202919417e-08,2.0836205649743533e-08
1918,3.9053680289669046e-08,4.020231614276781e-08
1919,4.511845830279526e-08,3.314825391953491e-08
1920,3.6346713638835126e-08,2.4988365154854364e-08
1921,5.982470302479115e-08,1.8931869405491852e-08
1922,4.352981974875547e-08,2.8036154731125862e-08
1923,5.307974149104666e-08,2.441668023323018e-08
1924,4.1253198190815965e-08,1.5469949654622894e-08
1925,5.939016034517408e-08,1.2097995494286806e-08
1926,6.130376140056626e-08,5.350146603522177e-08
1927,7.469980389807063e-08,1.2264147031260109e-08
1928,5.0274582719112004e-08,3.1992914983902665e-08
1929,4.121950469837543e-08,6.572839827967414e-08
1930,7.772666976713083e-08,4.4115133435163045e-08
1931,3.307553342324354e-08,3.193499864551086e-08
1932,4.8221959980665474e-08,1.4247397261968331e-08
1933,4.588265012372972e-08,3.785318369864399e-08
1934,8.14747487254408e-08,2.036868629318178e-08
1935,3.949533944336281e-08,1.196828414151696e-08
1936,2.66743711563322e-08,9.699771652549316e-09
1937,4.658713570471207e-08,2.7700460591972842e-08
1938,4.019216381934143e-08,7.779128452511941e-09
1939,3.5176316082186077e-08,6.117620188206274e-09
1940,4.81798743123818e-08,7.607348528892999e-09
1941,4.132103725851266e-08,8.854508237732261e-09
1942,5.76500234217292e-08,1.8205270624349623e-08
1943,6.67744117777147e-08,1.4516175816936538e-08
1944,8.996921252446555e-08,1.6065930807940276e-08
1945,6.535512397931598e-08,1.089252066321933e-08
1946,6.40370814153357e-08,1.3921104269343232e-08
1947,7.6293572348618e-08,9.536696765621855e-09
1948,5.979538197919965e-08,8.697510267552389e-09
1949,6.675565422664675e-08,1.3743811422273211e-08
1950,6.274863295629984e-08,1.2762433776458693e-08
1951,4.477788584367204e-08,1.9190522948520083e-08
1952,4.5342655852209646e-08,9.490323193972472e-09
1953,5.925604995571376e-08,2.1547654327491728e-08
1954,8.20893053532501e-08,1.8567819282111486e-08
1955,9.010183399382754e-08,1.595553378308523e-08
1956,5.058262164681082e-08,1.744228228517386e-08
1957,5.9194753987412696e-08,2.120408987282829e-08
1958,5.211513337544105e-08,3.1434524316864554e-08
