year,en_ADP eau_NOUN
1800,3.1787503758096136e-06
1801,2.576439555923571e-06
1802,1.4859258499200223e-06
1803,2.201932985057553e-06
1804,3.030489324373775e-06
1805,2.771805839074659e-06
1806,1.8154515828427975e-06
1807,1.3608445215140819e-06
1808,1.4004336890138802e-06
1809,2.3855361632740824e-06
1810,1.8884823020925978e-06
1811,1.5669229469494894e-06
1812,1.2935960285176407e-06
1813,4.155446731601842e-06
1814,1.2838443126383936e-06
1815,1.4484090797850513e-06
1816,2.1762300548289204e-06
1817,1.3918448757976876e-06
1818,1.5902850138971303e-06
1819,1.3725492635785486e-06
1820,9.97971028482425e-07
1821,1.6942037053269132e-06
1822,1.7294187273364514e-06
1823,1.5199573006885458e-06
1824,1.6134852103277808e-06
1825,9.906123521474797e-07
1826,1.0745741292339517e-06
1827,1.295948550250614e-06
1828,1.5776357807917307e-06
1829,1.1325165587550146e-06
1830,1.4121038334202751e-06
1831,1.3642305702887825e-06
1832,1.2853470745533002e-06
1833,1.4502702546659307e-06
1834,1.1350789714814624e-06
1835,1.5663155323863975e-06
1836,1.5007434512881446e-06
1837,1.0840394311095736e-06
1838,1.4972448525440996e-06
1839,1.4038881772648892e-06
1840,1.4242623365134932e-06
1841,1.6276090946121258e-06
1842,1.3577528821251406e-06
1843,1.7366319041145495e-06
1844,1.482460447732592e-06
1845,1.506103540216408e-06
1846,1.391614934398433e-06
1847,1.3439913750801225e-06
1848,1.6235256907748408e-06
1849,1.2527224966252248e-06
1850,1.2641111135636152e-06
1851,1.2840832823712844e-06
1852,9.987177236325806e-07
1853,1.5377724897902567e-06
1854,1.4958318388380576e-06
1855,1.4493245217295225e-06
1856,1.6701612384206754e-06
1857,1.3028747867793733e-06
1858,1.2777388309626048e-06
1859,1.353499639922262e-06
1860,1.8111916695318087e-06
1861,1.883084323139883e-06
1862,1.8085498547648626e-06
1863,1.7695941867401643e-06
1864,1.517531341921341e-06
1865,1.7208223508369258e-06
1866,1.852338885832694e-06
1867,1.6955722994538291e-06
1868,2.0530117073036536e-06
1869,1.8576907141465426e-06
1870,2.1290523042338805e-06
1871,2.2368199523725707e-06
1872,1.9557096111455508e-06
1873,2.254329380946274e-06
1874,2.2464530360366552e-06
1875,1.9190002786828586e-06
1876,2.4728200003210077e-06
1877,2.013776033038539e-06
1878,2.335919546680998e-06
1879,2.146816937553808e-06
1880,2.432363761073475e-06
1881,2.5191669088542312e-06
1882,2.059841768264903e-06
1883,2.4588548654946862e-06
1884,2.280226148343445e-06
1885,2.480925262560163e-06
1886,2.509752055068759e-06
1887,2.944544934990745e-06
1888,2.8526426163466567e-06
1889,2.7836001859071757e-06
1890,2.89048454860108e-06
1891,2.7166926770405553e-06
1892,3.2270301826287096e-06
1893,3.2183885432246484e-06
1894,3.520670052381547e-06
1895,3.2428293863517865e-06
1896,3.2221366303986088e-06
1897,3.4051314283800593e-06
1898,3.4408455000800586e-06
1899,3.4834797926208694e-06
1900,3.6404855165983463e-06
1901,4.084809301474479e-06
1902,4.2861866802468285e-06
1903,4.779194757276173e-06
1904,4.806527314826781e-06
1905,4.8232454261665225e-06
1906,5.007863460804174e-06
1907,4.5509021333600685e-06
1908,4.656979236017378e-06
1909,4.872221001761545e-06
1910,5.38262861482508e-06
1911,4.311099131015794e-06
1912,4.8046492082676195e-06
1913,5.361322720887074e-06
1914,5.214084865201585e-06
1915,4.38362137167303e-06
1916,4.108212152686974e-06
1917,4.176014220647062e-06
1918,4.414214593850829e-06
1919,5.395798947205321e-06
1920,4.749303581519371e-06
1921,5.319854864183071e-06
1922,5.671419106789699e-06
1923,5.074423363282676e-06
1924,5.249469680279617e-06
1925,5.724551691344004e-06
1926,6.046779901680566e-06
1927,5.221181787362639e-06
1928,5.745013311297953e-06
1929,6.141706258233626e-06
1930,6.183471313647715e-06
1931,7.438573604190424e-06
1932,7.076572863695674e-06
1933,7.257488171319437e-06
1934,6.84747317336587e-06
1935,8.338303565835758e-06
1936,8.8195175464989e-06
1937,8.696685426912154e-06
1938,7.62354610372995e-06
1939,8.986784109765722e-06
1940,8.90566941080806e-06
1941,8.515085184512827e-06
1942,9.093532824522299e-06
1943,9.513901794377944e-06
1944,8.685242278261285e-06
1945,7.61169307139653e-06
1946,6.964728676450704e-06
1947,7.451736657060337e-06
1948,8.904076075566536e-06
1949,1.0255828883032336e-05
1950,1.000255775096548e-05
1951,9.75518294410449e-06
1952,1.1146911987225394e-05
1953,1.0788910842052246e-05
1954,1.1238416121273076e-05
1955,1.0398314707060763e-05
1956,1.0689503376681841e-05
1957,1.202006853873172e-05
1958,1.2178396730178065e-05
1959,1.144552912535346e-05
1960,1.12657321125198e-05
1961,1.199738642299053e-05
1962,1.1731351079902197e-05
1963,1.2621735876905404e-05
1964,1.2107096566182918e-05
1965,1.113451425283074e-05
1966,1.1951107566687824e-05
1967,1.2112848139622656e-05
1968,1.1193955401722633e-05
1969,1.2181448965975505e-05
1970,1.1858732534619776e-05
1971,1.1779776514231344e-05
1972,1.1121132260427657e-05
1973,1.302163599348205e-05
1974,1.202128431998517e-05
1975,1.197583124223911e-05
1976,1.2197808473501937e-05
1977,1.330797223886293e-05
1978,1.1307915684710679e-05
1979,1.2330693010653704e-05
1980,1.1343581405753866e-05
1981,1.1329692057415741e-05
1982,1.2385828924266207e-05
1983,1.1197686518471528e-05
1984,1.1788224739461839e-05
1985,1.2007053783236188e-05
1986,1.1037047073614303e-05
1987,1.193320315451274e-05
1988,1.1320294731831382e-05
1989,1.021778618337521e-05
1990,1.128688012386192e-05
1991,1.1207707771632158e-05
1992,1.0600581731523562e-05
1993,1.0196573356324734e-05
1994,1.0445936752034868e-05
1995,1.04306267019183e-05
1996,9.974224809639054e-06
1997,1.0570824201749929e-05
1998,1.0249570138398667e-05
1999,9.188846185281818e-06
2000,9.242522168051437e-06
2001,9.386308008174638e-06
2002,8.724764299472554e-06
2003,1.0066451999080073e-05
2004,8.588902609574234e-06
2005,9.093971073070861e-06
2006,9.61403758381607e-06
2007,8.219840257339683e-06
2008,9.740596006224678e-06
2009,9.427669930062166e-06
2010,8.433387488793187e-06
2011,8.046019292606843e-06
2012,7.813440756621048e-06
2013,6.205802995040699e-06
2014,4.880263917428351e-06
2015,4.7656369064341675e-06
2016,4.501021731329047e-06
2017,4.617656377270407e-06
2018,5.414368375866729e-06
2019,4.471881438483649e-06
