year,en_ADP air_NOUN,en_ADP fer_NOUN
1800,9.023752340908686e-07,4.964635536452988e-06
1801,4.4528114284680953e-07,5.476720161823323e-06
1802,2.506380951672327e-07,5.865379080205457e-06
1803,4.5442902552039754e-07,5.800308827019762e-06
1804,3.8808059343864443e-07,4.214505679556169e-06
1805,2.7575912708854844e-07,6.248645149753429e-06
1806,3.7749865100522584e-07,6.394423962774454e-06
1807,2.0498076924724273e-07,4.677547167375451e-06
1808,2.062127402169267e-07,6.204510555107845e-06
1809,2.4397530085096264e-07,8.069257091847248e-06
1810,1.7550951270095538e-07,6.243458301469218e-06
1811,2.0808736911348547e-07,7.230409210023936e-06
1812,1.3869483117545656e-07,9.44725161389215e-06
1813,2.0992913585260453e-07,9.400799171999097e-06
1814,1.3530711839848664e-07,8.713149327377323e-06
1815,2.8320846801044297e-07,6.262953320401721e-06
1816,1.7150268938337376e-07,6.915729954926064e-06
1817,1.3077736582545185e-07,5.705941021005856e-06
1818,2.2888661255215936e-07,7.784528861520812e-06
1819,1.3870406800897683e-07,7.543845185864484e-06
1820,1.8511710120350244e-07,7.576747975690523e-06
1821,8.776724769177235e-08,5.062888249085518e-06
1822,1.0426640528748976e-07,7.624480986123672e-06
1823,9.586206450862278e-08,1.1726796401489992e-05
1824,1.4905369027928828e-07,1.2369772775855381e-05
1825,1.1270966804310945e-07,1.1369587809895165e-05
1826,9.776862741617265e-08,1.235936360899359e-05
1827,1.6222400611720644e-07,1.4612142877012957e-05
1828,1.4033620721054518e-07,1.1801083019236103e-05
1829,1.3717081515096652e-07,1.1506916962389369e-05
1830,1.8786305133744463e-07,1.6586220226599835e-05
1831,1.7306238930814288e-07,1.5466475815628655e-05
1832,1.1094574858816486e-07,1.533080830995459e-05
1833,1.4247862734073635e-07,1.5162970157689415e-05
1834,1.474855890748472e-07,1.5880837963777594e-05
1835,1.1722786297241328e-07,1.2625819181266706e-05
1836,1.9624590608113834e-07,1.1540872037585359e-05
1837,9.253994626146067e-08,1.263483409275068e-05
1838,1.7484688585867048e-07,1.1520326552272309e-05
1839,1.3143973565110656e-07,1.684456037764903e-05
1840,1.1720227499623093e-07,1.2782054000126664e-05
1841,1.4703056194775854e-07,1.3445270269585308e-05
1842,1.1739464067517247e-07,1.2115126992284786e-05
1843,1.9729083622355148e-07,1.2783146303263493e-05
1844,1.5203314940315238e-07,1.416158556821756e-05
1845,1.9419193170167048e-07,1.4101794477028307e-05
