year,ces_DET huiles_NOUN,ces_DET tuiles_NOUN
1800,1.6758396270688536e-06,2.2009150946189493e-08
1801,8.929434542892523e-07,2.8574191013319705e-08
1802,3.625301019383187e-07,6.265952379180817e-08
1803,7.450295669286788e-07,7.021221426484203e-08
1804,3.0403766970721335e-07,1.730295728918918e-08
1805,3.013450289302e-07,2.842877755426798e-08
1806,2.939302419235901e-07,2.5935022129885965e-08
1807,5.039110675397751e-07,4.27043254092041e-08
1808,3.013878515645274e-07,1.11037628869326e-07
1809,9.216844745196795e-07,4.743964154840796e-08
1810,4.0484193419842995e-07,2.106114127542469e-08
1811,2.707642892119111e-07,9.777599174753959e-08
1812,4.827646975513744e-07,3.787435645108417e-07
1813,1.437870835729882e-07,7.476928232108548e-08
1814,3.838946192047388e-07,1.856539526556844e-07
1815,2.0229176178609976e-07,1.3486118000116676e-08
1816,1.5064425440414198e-07,6.952811482108245e-08
1817,7.581973378023577e-07,5.7604317760251433e-08
1818,2.992215435426715e-07,4.410835607870922e-08
1819,1.5837106381866306e-07,7.659777345736529e-08
1820,2.515694017546366e-07,3.322614716694261e-08
1821,1.7652063899475934e-07,6.212737657662615e-08
1822,1.5539704634193185e-07,5.012807946513931e-09
1823,3.2415213269132437e-07,4.941343334508019e-08
1824,1.2463246790161975e-07,9.347435181439323e-08
1825,1.9812247131767435e-07,8.981551680165012e-08
1826,1.2507337476819202e-07,7.751026309676945e-08
1827,3.73299549494277e-07,6.267745611410191e-08
1828,3.4212684596468534e-07,2.5682443727248483e-08
1829,2.8120016892785316e-07,4.715246859632316e-08
1830,2.5883353416134014e-07,1.565525380442523e-07
1831,4.1316694421311695e-07,7.639690835503643e-08
1832,4.221350309308036e-07,2.3406846594298258e-07
1833,2.884323535568001e-07,9.961920710566119e-08
1834,1.6335429364744414e-07,1.0267984329459523e-07
1835,1.6260639057463777e-07,6.579886502322552e-08
1836,1.7675573005249134e-07,2.5538851033957144e-08
1837,1.5585676038654128e-07,1.0297678798565357e-07
1838,2.3165634033261995e-07,4.229148409251593e-08
1839,3.642558432659371e-07,2.37710154893378e-08
1840,1.7898825310780353e-07,4.649872797912735e-08
1841,2.2664535670458008e-07,7.447836480878323e-08
1842,2.7705135963174143e-07,4.159124422642435e-08
1843,2.8825725628678356e-07,3.485077387788138e-08
1844,4.1658180194303895e-07,6.860701695643456e-08
1845,1.657327644011275e-07,6.138250796539069e-08
1846,1.908567419661722e-07,6.84976653175795e-08
1847,1.4345974630458613e-07,5.824681537092147e-08
1848,1.568818301933561e-07,9.895622632427603e-08
1849,1.390982848903377e-07,6.116972883773997e-08
1850,3.0957822616528574e-07,9.572484316322516e-08
1851,2.786157509149234e-07,9.67415818564632e-08
1852,2.656302591219628e-07,4.7526981461487594e-08
1853,2.591818493158371e-07,4.419229604479824e-08
1854,2.551071283107831e-07,8.105236215527611e-08
1855,1.8415072133848298e-07,6.04990830765928e-08
1856,2.386684272437378e-07,7.403380486437072e-08
1857,1.9574851695125517e-07,7.615154373752375e-08
1858,1.7029992704920005e-07,3.572383411309943e-08
1859,2.0725144977973287e-07,4.582956059095977e-08
1860,1.7530614115912613e-07,5.6757080812985805e-08
1861,2.8767378523752996e-07,7.639861010488858e-08
1862,3.5963169509045656e-07,9.849210513834805e-08
1863,3.0567079889465276e-07,4.395266373080631e-08
1864,3.495356786231696e-07,7.192091899810293e-08
1865,3.7042866196657087e-07,7.013198022320921e-08
1866,2.6663559182793506e-07,1.1774783104101516e-07
1867,3.0281544383115033e-07,1.20835004224773e-07
1868,3.7049056800242397e-07,1.585699536121865e-07
1869,3.110801642947081e-07,6.250904416305048e-08
1870,2.758077499720457e-07,1.5195229252640274e-07
1871,3.5580944057755914e-07,6.903765026322617e-08
1872,3.059953570527796e-07,6.410179764770874e-08
1873,3.6933648317472034e-07,7.302925375540781e-08
1874,3.058999986649269e-07,7.946230162758638e-08
1875,1.899546973049837e-07,1.52764769723035e-07
1876,3.0411454332579524e-07,7.557518522105511e-08
1877,2.486296075687733e-07,8.473197787850495e-08
1878,2.294853729267743e-07,8.817069385713694e-08
1879,2.2115757047913576e-07,8.186495925599502e-08
1880,3.4720548924838113e-07,2.6954954268632036e-08
1881,1.854687035063307e-07,5.6477309939850784e-08
1882,2.1563447916150835e-07,8.3857855770475e-08
1883,2.2686426603968357e-07,9.036654446958892e-08
1884,1.6768310828751964e-07,6.139578090369469e-08
1885,1.8112236688239136e-07,5.4787903103203917e-08
1886,2.174817321787259e-07,7.808691293575976e-08
1887,2.1349583079199874e-07,6.659502993500155e-08
1888,2.9420453273587555e-07,7.228300979988944e-08
1889,2.499789601984048e-07,7.392861434141196e-08
1890,3.460716015979415e-07,4.653614560368169e-08
1891,3.9775132165686955e-07,6.756673265329027e-08
1892,3.642005665938086e-07,6.08045693795134e-08
1893,2.9683568314453623e-07,7.759604958579303e-08
1894,2.016492537393333e-07,5.8604314290278126e-08
1895,2.4315202296065763e-07,5.838055905371675e-08
1896,1.957813626773941e-07,5.012474657561938e-08
1897,1.9810826401567283e-07,5.010973680441566e-08
1898,1.906865652046008e-07,8.261198036763062e-08
1899,1.9733455047798998e-07,6.522542506104401e-08
1900,1.8324417538906346e-07,4.879590065343109e-08
1901,1.905760029785597e-07,6.930036366981085e-08
1902,3.417557579155073e-07,7.41452854668978e-08
1903,1.7658720707913744e-07,5.130209146386733e-08
1904,2.230469497987997e-07,6.664535412426176e-08
1905,1.687568165209541e-07,6.554163789473932e-08
1906,1.2706135876783264e-07,5.7100447925506614e-08
1907,1.7228525983625786e-07,6.685696440911215e-08
1908,2.5686565408022943e-07,6.777716876626982e-08
1909,2.414931756788974e-07,6.106091987589934e-08
1910,2.388835298461345e-07,6.893954207498609e-08
1911,2.601662956180917e-07,3.724261876669743e-08
1912,2.1619097623215566e-07,3.3861237369592345e-08
1913,2.630282907034598e-07,4.0302722048579653e-08
1914,2.296983048211132e-07,2.8795998474606677e-08
1915,2.4150561728220055e-07,4.358881877664089e-08
1916,2.4062542536285036e-07,2.8567401777479517e-08
1917,4.046610655450422e-07,1.2063066989753679e-08
1918,2.9060531403501955e-07,2.756730399511298e-08
1919,3.802841348488073e-07,2.2098835428252528e-08
1920,2.9380259292111077e-07,6.663564100506392e-08
1921,4.149865553415566e-07,5.755288245978818e-08
1922,4.5669420956073736e-07,6.935259477813815e-08
1923,4.4586980862959535e-07,4.564857603028827e-08
1924,3.2100144409241693e-07,5.672314795646116e-08
1925,3.2554607543033853e-07,4.8391981977147225e-08
1926,4.0349019769791994e-07,3.232380141326985e-08
1927,3.155230530182962e-07,4.1252131488533905e-08
1928,3.724889410250398e-07,7.883968677901976e-08
1929,3.3309814995163833e-07,2.6736974412244763e-08
1930,3.8968370574821165e-07,4.516549489963495e-08
1931,4.539331897035481e-07,6.729160517693344e-08
1932,3.748161567784791e-07,5.808554437436442e-08
1933,3.6017879523342344e-07,4.129438302413746e-08
1934,4.6368715800326754e-07,5.511526701695857e-08
1935,5.289981643841202e-07,7.061287732312849e-08
1936,3.504042496160764e-07,5.8198629027117477e-08
1937,4.4824381717489814e-07,4.40689147396256e-08
1938,4.0321815575339315e-07,3.5006078924482154e-08
1939,4.221157823280919e-07,5.6587985852729616e-08
1940,4.184041806354344e-07,5.0715660115940864e-08
1941,5.578339994372072e-07,3.8369532440185594e-08
