year,aux_ADP oies_NOUN,aux_ADP toits_NOUN
1800,1.2576657582030748e-07,3.772997558826319e-08
1801,6.429192911383552e-08,6.667310969987739e-08
1802,7.608656460433849e-08,9.622712582313397e-08
1803,1.09218993626925e-07,2.3404069793286908e-08
1804,5.9324420931261557e-08,6.179627121127851e-08
1805,1.2224374756897305e-07,5.401467717547348e-08
1806,5.4751713385314815e-08,7.492339904047185e-08
1807,3.131650672116848e-08,8.256169792275614e-08
1808,1.3369836260324064e-07,5.6651849433819734e-08
1809,8.132509776714869e-08,1.0391540428145163e-07
1810,3.042164786748458e-08,8.190443878675069e-08
1811,4.011322829455821e-08,7.52123057168319e-08
1812,3.7340914360584065e-08,1.0668833283489221e-07
1813,5.751483289628823e-09,2.300593315851529e-08
1814,5.349351184236184e-08,6.608021863030444e-08
1815,2.1038344355517324e-07,4.315557688983063e-08
1816,1.274682119856152e-07,3.9399267848239106e-08
1817,9.496928132790572e-08,3.7364962679475866e-08
1818,7.152706604784953e-08,3.695565098382758e-08
1819,4.554461963124368e-08,7.14222423425781e-08
1820,2.3732961373923445e-08,6.882559233645225e-08
1821,5.029359129160582e-08,6.508582117703554e-08
1822,5.6143449000956025e-08,4.411270992932259e-08
1823,1.1068609673259289e-07,5.5343047478118024e-08
1824,3.115811697540494e-08,4.968456579490521e-08
1825,6.163809995740621e-08,5.107157008410468e-08
1826,2.554315425840059e-08,5.9013494535520294e-08
1827,5.7147094167930845e-08,4.885154680778214e-08
1828,6.970948840390179e-08,6.879226077671774e-08
1829,9.85915242779356e-08,6.601345603485242e-08
1830,4.0703659109908585e-08,1.1063045946002603e-07
1831,5.456921980950824e-08,6.548306430431694e-08
1832,3.51779220197912e-08,1.3259369779916597e-07
1833,6.486831871654886e-08,1.2278646011054661e-07
1834,4.947301501800894e-08,1.3348379468425264e-07
1835,4.689114518896531e-08,9.756383434478266e-08
1836,4.0324502126320994e-08,1.0081124912630912e-07
1837,6.818733133684418e-08,1.3359149875213916e-07
