year,avez_VERB en_PRON,avez_VERB tant_ADV
1800,6.288328968651058e-09,6.351212391564331e-07
1801,4.7623651688866175e-09,6.31013392649038e-07
1802,4.475680270843441e-09,7.161088433349505e-07
1803,9.751696339321825e-09,4.895351253253466e-07
1804,0.0,5.957160738034872e-07
1805,0.0,7.50519689063367e-07
1806,5.76333825108577e-09,6.685472158096673e-07
1807,5.693910232196231e-09,4.6690064436916145e-07
1808,0.0,4.872059093941061e-07
1809,4.518061036407062e-09,5.218360570324876e-07
1810,2.3401267590372754e-09,1.0179551281908061e-06
1811,0.0,5.214719749346841e-07
1812,0.0,5.067695383331738e-07
1813,2.8757416448144113e-09,4.888760827270744e-07
1814,2.8320094713762956e-08,4.3738810973081854e-07
1815,1.6183340889597275e-08,5.691141495844931e-07
1816,2.3176038865813098e-09,8.15796568076621e-07
1817,4.670620334934483e-09,8.095741463876038e-07
1818,2.384235475716423e-09,6.425514698094048e-07
1819,9.315945348475907e-09,5.548162675950152e-07
1820,5.933240565525466e-09,7.820011092007917e-07
1821,3.94459531705138e-09,1.165627963928273e-06
1822,3.0076847679083585e-09,9.624591257306747e-07
1823,3.9530747564242574e-09,7.392249585791433e-07
1824,2.5263338088166165e-09,7.301104574253259e-07
1825,3.522177216552791e-09,8.030564231376047e-07
1826,5.284790383086602e-09,6.782148034290003e-07
1827,2.2121454890111636e-08,5.428973963716999e-07
1828,9.172301251858528e-10,6.604057034564903e-07
1829,3.429270423183084e-09,5.383954544413427e-07
1830,2.0873671680021744e-09,5.677638910128735e-07
1831,6.236482441579483e-09,5.378965965974203e-07
1832,0.0,5.249627861303452e-07
1833,1.1583628500844156e-09,6.081405103941506e-07
1834,1.8669061851994684e-09,5.24600636708783e-07
1835,5.294161553592858e-09,7.865611451052246e-07
1836,1.0753200108126748e-08,7.708700309194683e-07
1837,6.262101948095733e-09,5.434112608782016e-07
1838,6.312161904276081e-09,6.419468832064013e-07
1839,7.690622361167243e-09,5.397419045038987e-07
1840,8.917564464638872e-09,4.4078245764467283e-07
1841,1.1556987367100646e-08,5.720708600165381e-07
1842,4.024959032733477e-09,6.050855176908954e-07
1843,7.088293507706567e-09,5.836027980876679e-07
