year,vos_DET erreurs_NOUN,vos_DET terreurs_NOUN
1800,4.15029701716918e-07,2.515331631869344e-08
1801,1.6430159632818686e-07,2.3811825400343878e-08
1802,2.1707049313590687e-07,4.0281122437590966e-08
1803,2.3599105136717924e-07,7.996391104825307e-08
1804,2.1505103187102748e-07,6.179627121127851e-08
1805,4.3211740985427127e-07,8.528632911009026e-09
1806,1.3543844712415876e-07,3.7461699520235925e-08
1807,1.8505208743135881e-07,2.8469550272802735e-08
1808,2.0847880621843728e-07,1.8128591960930862e-08
1809,1.4683698701389858e-07,7.002994628635406e-08
1810,2.1061141186606847e-07,2.574139346123161e-08
1811,1.6295999216708879e-07,3.259199843341776e-08
1812,1.4936366454776362e-07,8.801787032552966e-08
1813,1.121539270343419e-07,4.026038391558018e-08
1814,3.7445457223839185e-07,1.2901376633678296e-07
1815,3.0478625490104605e-07,8.091670444798638e-09
1816,2.5261883251914696e-07,3.9399266071882266e-08
1817,2.646684894580531e-07,9.185553118129519e-08
1818,3.349850861145143e-07,7.033494853203592e-08
1819,2.939698197090834e-07,7.659776990465161e-08
1820,2.622492276671551e-07,4.390597929671003e-08
1821,3.1063689298616026e-07,6.212737657662615e-08
1822,2.8372491556183377e-07,4.411270992932259e-08
1823,2.6287946308656274e-07,4.4472090454661384e-08
1824,2.661071487608524e-07,2.6105448469593284e-08
1825,2.3158314932381074e-07,3.2580140141291736e-08
1826,1.9641805293346692e-07,4.1397527628106445e-08
1827,2.184493694268319e-07,3.133872894522938e-08
1828,2.760862732320568e-07,8.530239847814869e-08
1829,1.5260253993787387e-07,5.058173746519401e-08
1830,1.8890672648375073e-07,1.0332467148543856e-07
1831,1.3720261904381914e-07,9.510635834431014e-08
1832,1.6912461830997927e-07,1.0012177087403984e-07
1833,1.8533805246079282e-07,6.71850450828515e-08
1834,1.586870297387577e-07,5.0406467000385646e-08
1835,1.8680827196249083e-07,8.546289365085613e-08
1836,2.392586964106158e-07,3.763620171071125e-08
1837,1.6768516963860947e-07,6.331680868498779e-08
1838,1.9252094163313416e-07,3.029837802870361e-08
1839,1.2304996355183562e-07,4.404629383447656e-08
1840,2.0128216249304387e-07,2.54787554387903e-08
1841,2.3178180841298968e-07,2.3113974734201292e-08
1842,1.7240241323435157e-07,2.884553973458992e-08
1843,2.1264879990212648e-07,3.898561229398467e-08
1844,2.0636990294420343e-07,3.84199286829201e-08
1845,1.7689322229230697e-07,5.9150417452968895e-08
1846,1.8266044810033577e-07,5.913046408068112e-08
1847,1.6557196591548973e-07,3.020205241455187e-08
1848,1.1987380638123213e-07,3.298540768303937e-08
1849,1.533432905098664e-07,5.027649052635752e-08
1850,1.473212094538212e-07,1.765138968323754e-08
1851,1.5349663673447367e-07,2.644269869733762e-08
1852,1.6536785740761673e-07,4.557381916292513e-08
1853,1.3854881997232837e-07,3.344281895856227e-08
1854,1.8496564813119676e-07,3.533051895487915e-08
1855,1.427566047595974e-07,4.2986190607052777e-08
1856,1.7032951937778762e-07,3.882891785877973e-08
1857,1.269192400066288e-07,1.903788604540324e-08
1858,1.595338365856236e-07,3.1808895073481835e-08
1859,1.1253703013913707e-07,3.208069276894321e-08
1860,1.4280813909195444e-07,4.165237399433863e-08
1861,1.2544463301455977e-07,3.112536062221949e-08
1862,1.5632232241991062e-07,1.536115412648087e-08
1863,1.2236821467226378e-07,3.6960195182178524e-08
1864,1.5534918240689422e-07,2.924784148206072e-08
1865,1.8968582682354906e-07,3.388928049297135e-08
1866,1.0655692439520692e-07,3.503241430280468e-08
1867,1.3345232119377215e-07,2.135237053835226e-08
1868,1.3535255050101114e-07,2.1241458703080696e-08
1869,1.2941325766568923e-07,3.7603098412830605e-08
1870,1.3819057986808048e-07,4.6445794765759274e-08
1871,1.2532989046576404e-07,4.460894587055009e-08
1872,1.0703790376265232e-07,5.1402384571019866e-08
1873,7.90152583363124e-08,1.077480804578812e-08
1874,8.005975926650422e-08,3.047050645132998e-08
1875,9.097227859911072e-08,3.89063856687244e-08
1876,8.343500534913062e-08,4.1112900639461714e-08
1877,1.2369632107489537e-07,6.370360328133984e-08
1878,9.481369456221245e-08,3.5026713862684744e-08
1879,7.39228364077249e-08,4.581993806596074e-08
1880,7.95812904463844e-08,4.171599954361227e-08
1881,1.0110135889584981e-07,2.7192779805673695e-08
1882,9.916523735498117e-08,2.3293848183669752e-08
1883,7.709593730087505e-08,1.0742875922176154e-08
1884,6.073561564789998e-08,2.5086448474098688e-08
1885,7.090199560799704e-08,9.023890079618013e-09
1886,7.227879755822286e-08,1.6133659630490627e-08
1887,7.05123837096977e-08,1.697520485288706e-08
1888,6.404020780337305e-08,1.7119660356001987e-08
1889,7.455513073573172e-08,2.004843729919159e-08
1890,5.833404115307417e-08,8.520702365899524e-09
1891,7.075384544918961e-08,1.529812809764053e-08
1892,4.701384148653176e-08,7.522214851007902e-09
1893,4.926733160326435e-08,1.2316832997960603e-08
1894,6.112493267096397e-08,1.1972924207626079e-08
1895,5.2963808894190834e-08,9.027921521465032e-09
1896,5.484236798025677e-08,6.486732040400511e-09
1897,4.3700350005337896e-08,1.0488084178916779e-08
1898,6.16760653660009e-08,9.619203211741478e-09
1899,3.758753308602536e-08,7.185851913504848e-09
1900,5.3467847038746186e-08,1.557315920663882e-08
1901,7.377135347041985e-08,7.824234593556412e-09
1902,5.646826517491377e-08,7.856454153909453e-09
1903,3.294134431897078e-08,8.100330184390714e-09
1904,4.1384613069794796e-08,7.524475265086039e-09
1905,4.902721234545382e-08,1.2901897328276846e-08
1906,3.9610220603503166e-08,7.716276506641861e-09
1907,3.702847217734728e-08,1.131425531042396e-08
1908,6.77771674340022e-08,8.840500109741356e-09
1909,7.646366984026542e-08,1.8153245739949142e-08
1910,4.0081129304425644e-08,1.4963622119168463e-08
1911,5.3203741856577835e-08,1.5961122201701983e-08
1912,5.62617508137464e-08,1.927485904218429e-08
1913,5.939348568517744e-08,2.4924052155483878e-08
1914,7.031581061855974e-08,1.4063162190325329e-08
1915,3.2986132936230206e-08,1.531499083107235e-08
1916,7.251725264723063e-08,9.888715624128963e-09
1917,5.373548150888752e-08,7.676496771580332e-09
1918,2.8715939848211747e-08,2.6418664589300533e-08
1919,5.340552139410093e-08,1.9336482248721865e-08
1920,7.7993985936331e-08,1.3630017114962811e-08
1921,3.710646367949266e-08,8.330022005509363e-09
1922,4.7218785992342305e-08,2.065821974595039e-08
1923,4.140219900250486e-08,1.5923921736771263e-08
1924,7.219309572370491e-08,7.734974438733389e-09
1925,6.488924952918751e-08,8.798542117105512e-09
1926,8.24814272437635e-08,6.687683296036084e-09
1927,4.6826745148109694e-08,1.1149224876660924e-08
1928,4.4561559775502246e-08,1.0283437101854531e-08
1929,5.013182802215965e-08,1.893869061575515e-08
1930,2.8359730563920493e-08,1.0503603875555712e-08
1931,2.2810714206400462e-08,3.4216069977333063e-09
1932,4.60300545457315e-08,1.0959536611565568e-08
1933,4.244144946596862e-08,1.1470662197865522e-08
1934,4.073737258636356e-08,9.585264137967897e-09
1935,1.6755597798123745e-08,1.3165112555668657e-08
1936,3.273672888326473e-08,1.091224310911798e-08
1937,3.273690818428321e-08,1.1332006444320086e-08
1938,4.40817279345751e-08,3.8895642262559704e-09
1939,1.988226472349197e-08,0.0
1940,2.2822046474857416e-08,0.0
1941,4.132103725851266e-08,8.854507793643052e-09
1942,3.6410540360520827e-08,9.102635090130207e-09
1943,5.2258233296242906e-08,5.806470415592457e-09
1944,6.747690761699232e-08,6.4263723231761105e-09
1945,5.2284096163646154e-08,6.535512131478072e-09
1946,6.682130138102593e-08,1.5313215584455975e-08
1947,4.887557025767819e-08,1.4305045148432782e-08
1948,5.3272248834446145e-08,1.195907639583993e-08
1949,4.9085039810492503e-08,1.5707213196769487e-08
1950,5.530387880980925e-08,9.571825110299415e-09
1951,6.929911000597144e-08,8.529121409139861e-09
1952,3.374337198547295e-08,2.003512733494972e-08
1953,4.417269350298625e-08,3.232148326759443e-09
