year,leurs_DET toutes_ADJ
1800,6.288328968651058e-09
1801,1.1905912922216544e-08
1802,1.3427040812530322e-08
1803,7.801356671777171e-09
1804,9.887403784603066e-09
1805,2.842877711017877e-09
1806,1.152667650217154e-08
1807,8.540865792383556e-09
1808,2.4926813502190726e-08
1809,2.9367396514601296e-08
1810,4.680253518074551e-09
1811,0.0
1812,5.3344164641089264e-09
1813,5.751483289628823e-09
1814,0.0
1815,1.3486117778072071e-08
1816,4.6352077731626196e-09
1817,3.113746815941454e-09
1818,7.152706427149269e-09
1819,9.315945126431302e-09
1820,4.746592452420373e-09
1821,7.889190412058156e-09
1822,4.010246357211145e-09
1823,5.929612356680991e-09
1824,5.894778887238772e-09
1825,7.044354433105582e-09
1826,1.3211975957716504e-08
1827,9.217272944894717e-09
1828,4.586150625929264e-09
1829,1.1145129097389628e-08
1830,2.0873671680021744e-09
1831,7.795603051974354e-09
1832,0.0
1833,3.4750886612755494e-09
1834,1.2134890647885754e-08
1835,3.781543966852041e-09
1836,5.376600220596828e-09
1837,1.1828414581138702e-08
1838,2.5248647617104325e-09
1839,6.9914749545318955e-09
1840,5.095750932326837e-09
1841,5.778493683550323e-09
1842,3.3541325272778977e-09
1843,9.4510577697271e-09
1844,1.3721402902788782e-08
1845,6.696273757711424e-09
1846,7.025401593807601e-09
1847,5.9325460100012606e-09
1848,3.218088684420195e-09
1849,2.513824481908955e-09
1850,8.82569484161877e-09
1851,4.514607132577453e-09
1852,1.0416872697760482e-08
1853,1.0152283902442605e-08
1854,8.832629405652881e-09
1855,2.1227748447927297e-09
1856,2.070875637638636e-09
1857,4.881509085841174e-10
1858,8.319249178434518e-09
1859,5.09217357169689e-09
1860,1.190067794309968e-08
1861,6.130753071875716e-09
1862,4.969784916930564e-09
1863,1.4484400623349103e-08
1864,2.8768367688059016e-09
1865,3.2947909955893806e-09
1866,5.838735384067206e-09
1867,6.308654931785895e-09
1868,1.975949626142892e-09
1869,4.88351925564956e-09
1870,1.0321288268499984e-08
1871,9.55905954391767e-09
1872,1.028047680318167e-08
1873,1.0774807712721213e-08
1874,4.182226287507973e-09
1875,5.721527140956084e-09
1876,6.04601479992084e-09
1877,4.947852683123699e-09
1878,1.1474268646338714e-08
1879,6.10932526790009e-09
1880,1.0910338410496934e-08
1881,9.064259565150223e-09
1882,9.317538740560849e-09
1883,8.215140845369007e-09
1884,2.6406787867472303e-09
1885,1.1602144356359645e-08
1886,9.034849313138693e-09
1887,7.834709769838355e-09
1888,1.5851536971922542e-08
1889,8.14467782106476e-09
1890,7.2098250147867304e-09
1891,5.099376032546843e-09
1892,1.0029620023388475e-08
1893,1.354851614232544e-08
1894,8.822155450616265e-09
1895,5.416752824061177e-09
1896,8.255840344695287e-09
1897,8.740070001067579e-09
1898,5.6583548957434004e-09
1899,1.0502398950507086e-08
1900,7.786579381274805e-09
1901,1.2295225282343836e-08
1902,1.0802624572647801e-08
1903,4.860198243861191e-09
1904,6.987012746151322e-09
1905,8.257214301199411e-09
1906,1.5432552735727967e-08
1907,1.182853937020667e-08
1908,1.3260750497678941e-08
