year,soyez_VERB en_ADP,soyez_VERB tant_ADV
1800,2.0122652699683385e-07,0.0
1801,6.572063853127474e-07,2.3811825844433088e-09
1802,2.2825969381301547e-07,0.0
1803,2.7304750460643845e-07,0.0
1804,3.9549615848955e-07,1.730295728918918e-08
1805,3.3261667908845993e-07,0.0
1806,6.743105700479646e-07,0.0
1807,1.7366426163789583e-07,0.0
1808,2.22075257738652e-07,0.0
1809,1.2650571079575457e-07,0.0
1810,3.603795164508483e-07,0.0
1811,2.6575014544505393e-07,7.521229861140455e-09
1812,2.1337666566978442e-07,0.0
1813,1.6104152678053651e-07,8.627225156487839e-09
1814,1.4160046646338742e-07,0.0
1815,1.6183341244868643e-07,0.0
1816,2.0858435334503156e-07,0.0
1817,2.1796228111270466e-07,0.0
1818,4.172412104708201e-07,7.152706427149269e-09
1819,3.5090059213871427e-07,0.0
1820,4.0227371300716186e-07,0.0
1821,3.7375039596554416e-07,9.86148829262845e-10
1822,3.1480433904107485e-07,0.0
1823,4.081549604961765e-07,9.882686891060644e-10
1824,2.913704975071596e-07,3.3684450784221553e-09
1825,3.0554886620848265e-07,1.7610886082763955e-09
1826,2.589547420939198e-07,7.0463874735082754e-09
1827,3.336652980578947e-07,9.217272889383565e-09
1828,3.824849557076959e-07,0.0
1829,2.297611132462407e-07,1.714635211591542e-09
1830,1.9203777412712952e-07,2.0873671680021744e-09
1831,2.1204040479005926e-07,4.677361609140007e-09
1832,2.0700852587651752e-07,1.3529969367098715e-09
1833,2.108220371610514e-07,3.475088550253247e-09
1834,2.00692412022363e-07,9.334530925997342e-10
1835,3.1991862670111004e-07,0.0
1836,3.635925907019555e-07,1.1425274948351216e-08
1837,3.103219228250964e-07,0.0
1838,2.789975610539841e-07,8.205810475558906e-09
1839,2.9713768867623003e-07,0.0
1840,2.0828882441037422e-07,8.280595042986505e-09
1841,2.7544152203518024e-07,0.0
1842,2.36130929920364e-07,7.379091560011375e-09
1843,2.6462961955076025e-07,5.906911071384968e-10
1844,2.3820355465886678e-07,1.2623690537338916e-08
1845,3.119347411484341e-07,3.3481367123222583e-09
1846,2.4881632043616264e-07,1.1123552745573306e-08
1847,1.7851570532911865e-07,1.6179670936367074e-09
1848,2.2607072480695933e-07,4.82713291560799e-09
1849,2.32109798048441e-07,8.379414939696517e-10
1850,2.545873485360062e-07,8.82569484161877e-09
1851,2.5088317556765105e-07,7.739326512989919e-09
1852,2.884171692585369e-07,5.208436348880241e-09
1853,2.2932218257665227e-07,1.1943863675867306e-08
1854,3.190137931596837e-07,1.7145692865483397e-08
1855,2.8710530841635773e-07,1.0613874223963649e-09
1856,2.485050742961903e-07,6.212626857404757e-09
1857,2.650659496339358e-07,1.9526036343364694e-09
1858,2.911737340127729e-07,2.936205500958522e-09
1859,2.749773670984723e-07,5.092173349652285e-09
1860,2.572377297838102e-07,3.661747127736703e-09
1861,2.971057142531208e-07,1.3676294763342867e-08
1862,4.671597935157479e-07,3.162590411776023e-09
1863,3.401336812203226e-07,9.989241656072068e-10
1864,2.8432737053663004e-07,1.102787461348953e-08
1865,3.2618430623188033e-07,9.41368871743009e-10
1866,2.5009251203300664e-07,1.0217787171917792e-08
1867,2.906834026816796e-07,9.220341823379385e-09
1868,2.3513800329055812e-07,1.4819622196071691e-09
1869,2.515012340609246e-07,1.953407657850903e-09
1870,2.328023782638411e-07,5.734048791339319e-09
1871,2.8783389893760614e-07,8.496942038860311e-09
1872,2.6729239266387594e-07,6.652073114565837e-09
1873,2.909198144607217e-07,1.7958012854535355e-09
1874,2.037341744198784e-07,2.9873046258899194e-09
1875,2.345826146665786e-07,5.149374260327022e-09
1876,2.3095776668924373e-07,3.627608879952504e-09
1877,2.2512730879498122e-07,1.2369631985365004e-09
1878,2.0532901601200138e-07,3.0195443923020093e-09
1879,2.510932688437606e-07,9.163987790827832e-09
1880,2.37460312746407e-07,5.134277003548959e-09
1881,2.3009275196272938e-07,2.789003084036068e-09
1882,2.15634472056081e-07,5.324308105514319e-09
1883,2.5024581873367424e-07,6.319338829996468e-09
1884,2.099339582173343e-07,7.922036360241691e-09
1885,2.1721791654272238e-07,1.2891271161663553e-08
1886,1.755342111664504e-07,1.936039106809062e-09
1887,2.3438839491518593e-07,2.6115698492645834e-09
1888,1.7183066347570275e-07,2.53624587998047e-09
1889,1.5349584714385855e-07,5.012109394186837e-09
1890,1.7434668109217455e-07,1.9663159989136147e-09
1891,1.5808065256806003e-07,5.736798147637501e-09
1892,1.5107114847978664e-07,3.761107425503951e-09
1893,1.250158589982675e-07,6.158416554491453e-10
1894,1.4304494300176884e-07,1.2603078580752936e-09
1895,1.3120579467340576e-07,1.2037228991346183e-09
1896,1.2501701007749944e-07,5.897029087265082e-09
1897,1.637306468182942e-07,5.2440420894583895e-09
1898,1.5956560162067035e-07,5.6583548957434e-10
1899,1.475863484756701e-07,1.1055156790007459e-09
1900,1.3548648780670192e-07,5.191053142894475e-10
1901,1.005972976031444e-07,0.0
1902,1.1637372665518342e-07,0.0
1903,1.3338544135876873e-07,0.0
