year,trois_DET airs_NOUN,trois_DET terres_NOUN
1800,4.087413785214267e-08,9.432493897065797e-09
1801,8.096020565062645e-08,2.3811825400343878e-08
1802,1.7902721083373763e-08,4.2518962573012686e-08
1803,2.145373123596528e-08,2.7304748684287006e-08
1804,1.1123329102247226e-07,3.9549615138412264e-08
1805,0.0,5.685755422035754e-09
1806,1.613734639249742e-07,3.7461699520235925e-08
1807,2.2775641372874134e-08,1.1957211620838848e-07
1808,1.5862518409903714e-08,7.931259204951857e-08
1809,8.132509776714869e-08,4.743964154840796e-08
1810,2.106114083133548e-08,1.1700633795186377e-08
1811,8.524060923775778e-08,1.0028307073639553e-08
1812,7.20146218213813e-08,8.001624962616916e-08
1813,1.552900432688631e-07,8.91479885467561e-08
1814,4.090680105761635e-08,6.293354282149721e-09
1815,1.0788894222457657e-08,0.0
1816,1.3905623319487859e-08,5.7940098940889584e-08
1817,1.5568734412774177e-08,1.71256075987003e-08
1818,1.1921177378582115e-08,4.6492591110336434e-08
1819,2.5877625819958894e-08,2.6912729822470283e-08
1820,3.441279616822612e-08,2.0173017034608165e-08
1821,4.5362847478358503e-08,7.790575529131871e-08
1822,3.308453244699194e-08,1.804610860745015e-08
1823,7.906149623870817e-09,2.7671523739059012e-08
1824,3.452656205382709e-08,1.51580028528997e-08
1825,1.8491430608946757e-08,7.044354433105582e-09
1826,2.2019961409824873e-08,1.4092774947016551e-08
1827,1.1982455361270183e-08,2.6730091917670507e-08
1828,1.7427372434042354e-08,1.834460228167245e-08
1829,4.972442174677738e-08,2.229025836131271e-08
1830,5.0096812920230605e-08,5.3227864116323076e-08
1831,4.989186042081428e-08,3.274153215215847e-08
1832,3.5177921020590475e-08,5.141388470519814e-08
1833,4.2859427118457916e-08,2.3167257001688313e-09
1834,2.0535967593104942e-08,6.534171492766916e-08
1835,3.327758690829796e-08,7.563087933704082e-09
1836,2.419469957715137e-08,5.376600054063374e-09
1837,1.87863058442872e-08,2.5048407792382932e-08
1838,1.704283669745621e-08,8.2058102535143e-09
1839,4.824117816326634e-08,1.6080392239992136e-08
1840,2.9300568360479673e-08,1.3376346252869098e-08
