year,ses_DET tissus_NOUN
1800,2.5153315874604232e-08
1801,9.524730160137551e-08
1802,2.2378401354217203e-09
1803,2.9255089017965474e-08
1804,7.662737999680758e-08
1805,3.4114531644036106e-08
1806,6.916005901302924e-08
1807,4.839823830593559e-08
1808,1.201019195207209e-07
1809,6.777091243748146e-08
1810,2.574139390532082e-08
1811,5.264861169251844e-08
1812,1.2802598803318688e-07
1813,8.627225156487839e-09
1814,3.461344899591268e-08
1815,3.776112933451259e-08
1816,7.879853569647821e-08
1817,1.0898114055635233e-07
1818,1.2040388930323331e-07
1819,1.0972112873819384e-07
1820,2.254631326081835e-08
1821,8.875339796432513e-08
1822,8.120748873352568e-08
1823,1.1068609317987921e-07
1824,1.2126402015866233e-07
1825,9.597932959515276e-08
1826,7.134467239211517e-08
1827,1.0231173308561381e-07
1828,1.5409465459192973e-07
1829,2.8034284849098867e-07
1830,1.6907674504906822e-07
1831,1.309661337156598e-07
1832,1.5424165056288075e-07
1833,1.783878786909554e-07
1834,1.325503324878241e-07
1835,2.1857323417862062e-07
1836,1.6801875180050274e-07
1837,2.9431877823782315e-07
1838,1.9062728995322686e-07
1839,2.4400248399558677e-07
1840,1.8217310182588875e-07
1841,2.0738371153683488e-07
1842,2.3478927779763126e-07
1843,2.4277405463735136e-07
1844,2.2009131095401813e-07
1845,2.3827573558676818e-07
1846,2.511581098652016e-07
1847,2.006279231636654e-07
1848,2.099802829391706e-07
1849,1.7429182719297387e-07
1850,1.5343130410627737e-07
1851,2.3024496131895944e-07
1852,2.506559915183004e-07
1853,2.0304568071338736e-07
1854,1.9899394931854886e-07
1855,2.5632507316686315e-07
1856,2.69213850989658e-07
1857,1.7426986875790362e-07
1858,2.0602375627731817e-07
1859,2.3627684520022285e-07
1860,1.6432090621520956e-07
1861,2.329686108470952e-07
1862,2.3538708582293566e-07
1863,2.4673427301280526e-07
1864,2.790531548058084e-07
1865,3.101810541750183e-07
1866,2.690683884587486e-07
1867,3.052418318105765e-07
1868,3.023202843621675e-07
1869,2.5003617398766664e-07
1870,3.692727390536277e-07
1871,2.7084001263943946e-07
1872,2.7333973662280187e-07
1873,2.8493381537542106e-07
1874,4.241972417773354e-07
1875,3.0610170220768396e-07
1876,3.778759383177288e-07
1877,4.6880905757440416e-07
1878,4.118658365470651e-07
1879,4.850804011802268e-07
1880,3.9854824329665917e-07
1881,3.3746935290679403e-07
1882,3.853468006909111e-07
1883,3.5641070295078237e-07
1884,3.7761707183392446e-07
1885,2.687830049641349e-07
1886,3.0137677242692007e-07
1887,4.1654538707192046e-07
1888,3.57610666412711e-07
1889,3.640044323738323e-07
1890,3.1133336020339186e-07
1891,4.289850021876873e-07
1892,4.2500515196053357e-07
1893,2.83903006104147e-07
1894,2.9743265717030454e-07
1895,3.7616340398116677e-07
1896,3.620775794743736e-07
1897,4.6671975439949165e-07
1898,3.593055222239627e-07
1899,4.040659664639179e-07
1900,4.469496710512999e-07
1901,4.560411075438253e-07
1902,3.559955723542174e-07
1903,3.80175493752688e-07
1904,4.783416489573256e-07
1905,3.339010974379164e-07
1906,4.1153475383026716e-07
1907,3.4765622158872134e-07
1908,2.8387828532316917e-07
1909,3.465619782261342e-07
1910,3.153048773185674e-07
1911,3.798747183481055e-07
1912,3.2402599359215856e-07
1913,3.1711878589746334e-07
1914,2.4041309698574764e-07
1915,2.3561523909698678e-07
1916,3.1314265758197735e-07
1917,3.8382484124355187e-07
1918,2.4810572352151894e-07
1919,3.0017585750385933e-07
1920,3.6498155697728407e-07
1921,3.756082849193376e-07
1922,2.715080320569996e-07
1923,2.67521903296597e-07
1924,2.44940863591836e-07
1925,3.497420548725927e-07
1926,2.730803867478926e-07
1927,2.553172377961488e-07
1928,2.8336583124399795e-07
1929,3.13045420696767e-07
1930,2.709929702859881e-07
1931,2.509178562704051e-07
1932,2.4330170633746206e-07
1933,3.016784151377294e-07
1934,2.8036897425920415e-07
1935,2.8843564248148823e-07
1936,2.2551969358630686e-07
1937,1.8886677732865564e-07
1938,2.437460295823257e-07
1939,2.401165817289552e-07
1940,2.8654345562983963e-07
1941,2.6858672619312074e-07
1942,2.639764318246307e-07
1943,2.438717532360357e-07
1944,2.538417049890995e-07
1945,1.8081584007845208e-07
1946,2.1299289176823777e-07
1947,2.3841741425556506e-07
1948,3.065872498098088e-07
1949,1.9928527450474576e-07
1950,1.2868787857556185e-07
1951,2.1429417307317067e-07
1952,2.140595167787751e-07
1953,2.0470271722139444e-07
1954,2.120640405500751e-07
1955,1.86773600141521e-07
1956,1.5785266027634748e-07
1957,1.837687810812838e-07
1958,1.7040822053449034e-07
1959,1.402885351220462e-07
1960,1.5502667238820322e-07
1961,1.528594983923881e-07
1962,1.2430234264115825e-07
1963,1.50659034137135e-07
1964,1.4114806562437465e-07
1965,1.4172592699424058e-07
1966,1.2185964193278664e-07
1967,1.1142558609122943e-07
1968,1.244122119770097e-07
1969,9.673944378896238e-08
1970,1.0761016189242412e-07
1971,1.1664162646862763e-07
1972,1.0414197787467216e-07
1973,1.1246935982534012e-07
1974,8.663380079987348e-08
1975,8.167416520876714e-08
1976,8.798831130363283e-08
1977,1.0108064718572507e-07
1978,8.376233751050677e-08
1979,1.0884670187394363e-07
1980,7.276992541882521e-08
1981,7.527404166651763e-08
1982,9.497478348219346e-08
1983,9.40982083363906e-08
1984,8.69851257689902e-08
1985,7.639758659028217e-08
1986,8.931783335164312e-08
1987,8.738467871527433e-08
1988,1.0733831556919426e-07
1989,9.384688837155153e-08
1990,1.1169734537297415e-07
1991,9.202500300675709e-08
1992,7.769020982095753e-08
1993,8.918123950429901e-08
1994,8.967375419999257e-08
1995,5.964696003779579e-08
1996,8.59432809363625e-08
1997,8.534912154800622e-08
1998,8.677994989270132e-08
1999,7.815043767678276e-08
2000,7.333932072750571e-08
2001,1.025203588689294e-07
2002,1.0076809608960957e-07
2003,8.833876274927377e-08
2004,1.0571499320377598e-07
2005,8.737274148629126e-08
2006,1.0459440513699292e-07
2007,8.588130961939555e-08
2008,9.196069816752583e-08
2009,9.441020898393049e-08
2010,1.8422792313899095e-07
2011,1.3804539245043657e-07
2012,1.4910627310626978e-07
2013,1.5507534811831647e-07
2014,1.4053738817132455e-07
2015,1.5316535995069103e-07
2016,1.578361148446561e-07
2017,1.3257271946898186e-07
2018,1.4430398920239895e-07
2019,1.4566139805438638e-07
