year,rares_ADJ erreurs_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,2.384235475716423e-09
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,8.805443041381977e-10
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,4.6334514003376626e-09
1834,9.334530925997342e-10
1835,0.0
1836,0.0
1837,1.3915781860163179e-09
1838,6.312161904276081e-10
1839,2.7965900706306e-09
1840,2.5478754661634184e-09
1841,1.926164561183441e-09
1842,2.0124795163667386e-09
1843,2.3627644285539873e-09
1844,1.3172547497219966e-08
1845,5.580227946389016e-10
1846,8.781752214304106e-09
1847,8.629157832729106e-09
1848,5.63165514222419e-09
1849,4.1897072478036534e-09
1850,8.82569484161877e-09
1851,1.483370937194195e-08
1852,6.510545436100301e-10
1853,1.2541057081705276e-08
1854,4.676098175337984e-09
1855,2.1227748447927297e-09
1856,2.5885946719483854e-09
1857,1.9526036343364694e-09
1858,1.468102750479261e-09
1859,8.656694916453489e-09
1860,1.8308735638683515e-09
1861,7.073945429425521e-09
1862,1.3553959066214816e-09
1863,7.991393324857654e-09
1864,5.753673537611803e-09
1865,6.118897832863013e-09
1866,8.271541673821048e-09
1867,1.94112459439566e-09
1868,1.1361710683388537e-08
1869,1.953407657850903e-09
1870,4.013834153937523e-09
1871,2.1242354542039266e-09
1872,1.2094679036067646e-08
1873,1.2570609442263958e-08
1874,7.766991494406739e-09
1875,1.6592428764283795e-08
1876,3.02300739996042e-09
1877,8.658742167710898e-09
1878,7.850815109122777e-09
1879,8.55305515301552e-09
1880,6.417846254436199e-09
1881,1.673401861523871e-08
1882,1.0648616211028639e-08
1883,1.1374810426900694e-08
1884,9.242375753615306e-09
1885,1.2891271161663553e-08
1886,2.0005737511041843e-08
1887,1.5016526688782506e-08
1888,6.974675947901687e-09
1889,5.6386229019267375e-09
1890,6.554386478008212e-10
1891,7.649063604731055e-09
1892,1.3790726782758611e-08
1893,1.4780200174868696e-08
1894,1.2603078580752936e-08
1895,9.027921521465032e-09
1896,9.435246361988447e-09
1897,1.631479840114025e-08
1898,2.2067583316243145e-08
1899,2.2110313580014918e-08
1900,8.824790675987515e-09
1901,1.2854099118442264e-08
1902,2.9461704187383475e-09
1903,7.560307935250421e-09
1904,2.956043942958786e-08
1905,4.1286072338664326e-09
1906,4.115347618238729e-09
1907,7.71426478252124e-09
1908,9.331639461152008e-09
1909,9.351672325408344e-09
1910,1.2291546447329438e-08
1911,4.788336838146279e-09
1912,4.688478938419394e-09
1913,8.484783542428431e-09
1914,4.018046340092951e-09
1915,2.0027295377644805e-08
1916,3.2962386153911893e-09
1917,1.864292187292449e-08
