year,suis_VERB en_ADP,suis_VERB tant_ADV
1800,1.7890296248879167e-06,5.973912209356058e-08
1801,2.7335975119058276e-06,9.28661236798689e-08
1802,1.8462180833012098e-06,3.1329761895904085e-08
1803,1.963991508091567e-06,4.290746247193056e-08
1804,2.5904998892656295e-06,4.943701981119375e-08
1805,2.402231757514528e-06,4.8328921309348516e-08
1806,3.143901039948105e-06,6.916005901302924e-08
1807,1.8078164885082515e-06,3.9857372513552036e-08
1808,1.5477285160159227e-06,2.945896149242344e-08
1809,1.3938217762188287e-06,8.584316191218022e-08
1810,2.4384121388720814e-06,4.680253518074551e-09
1811,1.9981400782853598e-06,1.0028307073639553e-08
1812,2.123097829098697e-06,7.734903562095496e-08
1813,1.7455752185924212e-06,2.8757416004054903e-08
1814,1.5166983757808339e-06,1.8880061958270744e-08
1815,2.055284312518779e-06,1.0519171667056071e-07
1816,1.8146838556276634e-06,8.806894413737609e-08
1817,2.9471614197973395e-06,9.029865566390072e-08
1818,2.607161604828434e-06,5.96058882251782e-08
1819,2.214089590779622e-06,6.210630232317271e-08
1820,3.0010330647201044e-06,5.102586797534059e-08
1821,4.298622570786392e-06,1.34116234562498e-07
1822,3.0979153962107375e-06,7.318699601910339e-08
1823,3.015207767020911e-06,8.20263039713609e-08
1824,3.082127250308986e-06,2.5515970492051565e-07
1825,2.6900629563897382e-06,7.57268097117958e-08
1826,1.918378984555602e-06,6.253669226907732e-08
1827,2.344874246773543e-06,7.465990847776993e-08
1828,2.511376123948139e-06,6.879226077671774e-08
1829,1.980403567358735e-06,6.086955295359076e-08
1830,2.635301143527613e-06,7.931995327226105e-08
1831,2.8719000511046033e-06,5.3010101197514814e-08
1832,2.9874172469135374e-06,6.088486514954639e-08
1833,2.559981794547639e-06,6.602667923516492e-08
1834,2.2356200588546926e-06,7.374279675786966e-08
1835,2.7869978111993987e-06,1.3991711966809817e-07
1836,3.0922171845304547e-06,8.064900214321824e-08
1837,2.4596145067334874e-06,9.601889416899212e-08
