year,les_DET oies_NOUN,les_DET toits_NOUN
1800,1.2576657759666432e-06,2.138031788945227e-06
1801,1.1977348979286262e-06,1.4953826692476468e-06
1802,1.163676898841004e-06,1.976012896420798e-06
1803,2.1687771649681054e-06,2.090763679518659e-06
1804,1.3867083934471225e-06,2.0293897335932343e-06
1805,2.2146017630841897e-06,1.9416854684095597e-06
1806,5.79215488016871e-07,2.515697104854553e-06
1807,5.523092792003581e-07,1.8761434290581747e-06
1808,9.789439445739845e-07,2.3567170472915677e-06
1809,1.5790623262290637e-06,2.1076754563864597e-06
1810,8.284048975681912e-07,2.0335702259899335e-06
1811,6.86939027438882e-07,1.855236845926811e-06
1812,3.040617375660304e-07,2.0884240541363397e-06
1813,4.486156939265129e-07,1.8117171833864631e-06
1814,4.6256154684343187e-07,2.6243286583849113e-06
1815,5.772058635500343e-07,1.6183341742248558e-06
1816,7.207747927395758e-07,2.3546855061340466e-06
1817,6.896949305001954e-07,2.059743550830717e-06
1818,1.624856460047397e-06,1.8251322302376138e-06
1819,3.560761119292266e-07,1.926330426726963e-06
1820,6.028172503391716e-07,1.823878136519852e-06
1821,3.8361188581248484e-07,1.7583033198320663e-06
1822,7.128213184159904e-07,1.810626216069977e-06
1823,6.453394680860924e-07,1.6504087412272384e-06
1824,4.7326652907742073e-07,1.7591704448705059e-06
1825,8.04817498867294e-07,2.039340614601315e-06
1826,4.862007410011415e-07,2.0610683364452598e-06
1827,7.521294603796136e-07,1.8443763707409744e-06
1828,6.741641236374107e-07,1.6647726894802872e-06
1829,5.332515518041703e-07,1.7969377381632512e-06
1830,5.604580937124126e-07,2.052925637485714e-06
1831,5.347783620379687e-07,2.436905447211757e-06
1832,4.7354891563600177e-07,2.5179273279718473e-06
1833,5.444305370971847e-07,2.7731206273529097e-06
1834,6.823541847111869e-07,2.551127238348272e-06
1835,6.239547474251594e-07,2.6485932949071866e-06
1836,6.431757593183818e-07,2.5787517472508625e-06
1837,5.656765456052426e-07,2.28010077307772e-06
1838,5.655697066231369e-07,2.2206185832374103e-06
1839,5.949745203182033e-07,2.2498566778494933e-06
1840,4.834593818614508e-07,2.2682461136014354e-06
1841,4.25040309615099e-07,2.1817023707626504e-06
1842,4.320122641843227e-07,2.33783029557344e-06
1843,4.690087438419255e-07,2.3096022090385304e-06
1844,4.7476054065853646e-07,2.1520649156059335e-06
1845,6.679532877917893e-07,2.36099444350657e-06
1846,3.9225158054989606e-07,2.286182805733006e-06
1847,7.286245065074581e-07,2.313693052258259e-06
1848,5.044354058902911e-07,2.182668566774737e-06
1849,4.047257355921374e-07,2.1752961032461826e-06
1850,4.4332145066050543e-07,2.260735634251887e-06
1851,5.559416085265667e-07,2.287615970431034e-06
1852,5.162862439789251e-07,2.063843005828403e-06
1853,6.819946207770045e-07,2.3230814178987202e-06
1854,4.494249861153321e-07,1.965519828672768e-06
1855,5.046897229021852e-07,2.632240693856147e-06
1856,4.902798327321989e-07,2.3209338309015948e-06
